Type,carbon_isotopes,silicon_29_28,silicon_30_28
M,44.63,32,45
M,44.7,-32.0,-9.0
M,44.65,115,92
M,44.66,50,48
M,44.66,5,36
M,44.66,17,36
M,44.68,74,78
M,44.68,79,120
M,44.69,52.66,67.89
M,44.69,117,99
Z,44.69,-45,61
M,44.70,2,1
M,44.70,80,70
M,44.71,41,34
M,44.71,18,18
M,44.72,93,90
M,44.72,107,96
M,44.72,-25,7
Z,44.72,-60,15
M,44.72,-26,-3
M,44.73,60,58
M,44.73,99,90
M,44.73,-8,7
M,44.73,50,41
M,44.73,36,83
M,44.74,49,50
M,44.74,46,68
M,44.74,-58,-13
M,44.74,-27,9
M,44.74,12,28
M,44.75,40,63
M,44.76,113,102
M,44.76,117,73
M,44.76,-48,-9
M,44.76,98,92
M,44.77,-6,27
M,44.77,92,93
M,44.78,56,53
M,44.78,-50,-5
M,44.78,31,49
M,44.79,14,49
M,44.79,124,89
M,44.80,-58,-56
M,44.82,65,56
M,44.82,68,63
M,44.82,106,82
M,44.83,48,50
M,44.83,-40,-2
M,44.83,42,44
M,44.84,20,9
M,44.84,-27,4
M,44.84,15,46
M,44.84,21,39
M,44.84,-17,21
M,44.85,108,89
M,44.85,20,63
M,44.85,42,51
M,44.85,-7,27
M,44.85,-22,8
M,44.85,72,72
M,44.86,100,123
M,44.86,36,45
M,44.86,63,55
M,44.86,75,58
M,44.9,70.5,68.4
M,44.9,50.1,45.9
M,44.88,25,66
M,44.88,111.91,98.50
M,44.88,121,85
Z,44.89,-80,67
M,44.89,101,92
M,44.89,40,40
Z,44.89,-75,31
M,44.89,2,55
M,44.90,98,120
M,44.90,17,35
M,44.90,89.2,72.2
Z,44.9,33,104
M,44.91,33,54
M,44.91,74,51
M,44.91,67,80
M,44.91,59,74
M,44.92,5,5
M,44.92,-30,12
M,44.94,57,94
M,44.95,5,-1
M,44.95,-3,-8
M,44.96,6,16
M,45.0,52.1,51.7
M,44.97,22,9
M,44.97,35,38
Z,44.97,5,60
M,44.97,49,51
M,44.98,43,36
M,44.99,55,26
M,44.99,100,83
M,44.99,99,84
M,45.00,17,120
M,45.00,40,38
M,45.0,-11.7,-11.5
Z,45,-23,41
M,45,98,104
M,45.00,29,37
M,45.01,48,35
M,45.01,59,77
M,45.02,86,67
M,45.02,49,22
M,45.0,51.5,54.0
M,45.03,49,48
M,45.03,64,61
M,45.03,17,43
M,45.04,30,25
M,45.04,60,83
M,45.0,53.0,37.2
M,45.07,51,77
M,45.07,18,51
M,45.09,75,78
M,45.09,45,48
M,45.10,36,41
M,45.1,156,-446
M,45.1,-53,-14
M,45.10,0.7,10.0
M,45.1,36,39
M,45.10,38,96
M,45.12,60,31
M,45.1,66.6,61.9
M,45.13,-4,-6
M,45.14,42,57
M,45.14,125,109
M,45.15,30,42
M,45.15,167,144
Z,45.15,-60,14
M,45.16,18,42
M,45.16,50,80
Z,45.16,-133,-26
M,45.16,56,66
M,45.17,17,16
M,45.17,39,64
M,45.18,40,42
M,45.19,57,43
M,45.2,-35.8,-32.9
M,45.19,32,50
M,45.20,38,58
M,45.20,115.53,106.15
M,45.21,18,-42
M,45.21,-45,33
M,45.22,12,27
M,45.23,-35,-14
M,45.24,42,33
M,45.24,-6,32
M,45.2,190.6,164.7
M,45.25,3,7
M,45.25,33,31
M,45.3,141,104
M,45.26,28,40
M,45.26,52,40
M,45.26,150,134
M,45.28,18,27
Z,45.29,3,57
M,45.29,61,60
M,45.29,81,88
M,45.30,34,29
X,45.3,-180,-269
M,45.3,14,23
M,45.3,92.9,76.4
M,45.3,108,89
M,45.3,101,95
M,45.30,44,41
M,45.30,37,91
M,45.31,39,9
M,45.32,28,39
M,45.32,22,19
M,45.33,10,13
M,45.33,53,27
M,45.34,14,15
M,45.3,111.0,106.0
M,45.34,7,60
M,45.34,35,48
M,45.35,19,19
M,45.36,71,50
M,45.36,59,52
M,45.36,42,84
M,45.37,116,92
M,45.38,-16,3
Z,45.38,-57,6
M,45.38,1,46
M,45.39,72,57
M,45.39,52,29
M,45.40,17,28
M,45.40,-47,-13
M,45.40,53,60
M,45.41,39,54
M,45.42,20,6
M,45.4,52.6,34.3
M,45.42,52,88
M,45.42,-26,-1
M,45.42,36,24
M,45.44,65,69
M,45.44,40,20
M,45.44,23,26
M,45.44,-3,41
M,45.45,41,46
M,45.45,38,45
M,45.45,40,46
M,45.46,79,68
M,45.46,6,10
M,45.46,140,107
M,45.46,29,32
M,45.46,41,39
M,45.48,67,54
M,45.48,85,85
M,45.48,26,30
M,45.48,15,12
M,45.48,-62,-18
M,45.49,30,59
M,45.50,35,36
M,45.50,52,71
M,45.5,-18.2,2.6
M,45.50,17,87
M,45.50,-6,-9
M,45.51,42,38
M,45.51,28,4
M,45.52,38,67
M,45.52,28,47
M,45.52,43,83
M,45.52,1,98
M,45.53,81,83
M,45.53,37,52
M,45.53,78,89
M,45.53,55,63
M,45.54,29,42
M,45.55,50,21
M,45.55,55,60
M,45.55,57,38
M,45.57,11,9
M,45.58,51,43
M,45.59,4,25
M,45.61,1,20
M,45.61,48,65
M,45.61,36,28
M,45.61,-41,14
M,45.61,35,47
M,45.62,84,60
M,45.62,69,51
M,45.62,19,17
M,45.63,40,39
M,45.6,-1.6,25.9
M,45.63,19,25
M,45.63,23,12
M,45.64,72,52
M,45.64,125,96
M,45.64,21.41,31.70
M,45.65,0,17
M,45.65,9,18
M,45.66,48,57
M,45.66,64,72
M,45.67,7,1
M,45.67,57,43
M,45.68,-22,16
M,45.69,39,40
M,45.69,75,55
M,45.70,27,49
M,45.70,-20,13
M,45.7,53,28
M,45.7,28,41
M,45.7,6,44
M,45.7,61,50
Z,45.7,10,113
M,45.70,45,61
M,45.70,53,40
M,45.71,-23,-58
M,45.71,32,20
M,45.71,95,74
M,45.72,7,34
M,45.72,-30,7
M,45.72,30,48
M,45.72,34,34
Z,45.72,-112,0
M,45.73,28,11
M,45.73,24,18
M,45.74,70,42
M,45.74,8,18
M,45.74,16,32
Z,45.75,-77,67
M,45.75,46,48
M,45.76,111,115
M,45.76,66,66
M,45.77,11,12
M,45.77,128,109
M,45.78,128,105
M,45.79,10,40
M,45.79,71,30
M,45.79,63,60
M,45.8,28,68
M,45.82,39,54
M,45.82,50,27
M,45.82,-13,25
M,45.82,132,107
M,45.83,80,54
M,45.83,-70,-4
M,45.84,24,39
M,45.85,37,50
M,45.86,55,53
M,45.86,30,56
M,45.87,72,68
M,45.87,40,31
M,45.87,-49,12
M,45.88,76,48
Z,45.88,-48,133
M,45.89,20,4
M,45.90,39,35
M,45.9,50,61
M,45.9,62.8,64.6
M,45.9,63,66
M,45.90,83,66
M,45.90,52,64
M,45.91,-5,2
M,45.91,58,43
M,45.91,70,67
M,45.91,15,-1
M,45.92,36.85,49.35
M,45.92,34,57
M,45.9,45.7,58.9
M,45.93,42,43
M,45.94,90.96,81.72
M,45.94,84,64
M,45.94,6,18
M,45.9,64.0,72.8
M,45.95,62,58
M,45.96,62,53
M,45.96,59,92
M,45.96,118,91
M,45.97,53,43
M,45.97,48,62
M,45.97,24,-13
M,45.98,130,132
M,45.98,75,85
M,45.98,81,88
M,45.99,41,44
M,45.99,29,-5
M,45.99,-16,6
M,46.00,-10,-16
M,46.00,26,34
M,46,60,48
Z,46,-26,131
M,46.00,70,75
M,46.00,12,0
M,46.01,35,76
M,46.01,39,79
M,46.01,133,126
M,46.02,27,55
M,46.02,38,49
M,46.02,22,31
M,46.02,35,22
M,46.03,114,78
M,46.03,162,147
M,46.03,140,158
M,46.03,160,124
M,46.03,64,74
M,46.04,25,19
M,46.04,40,43
M,46.05,-14,12
M,46.05,56,47
M,46.05,18,31
M,46.05,5,31
M,46.06,39,41
M,46.06,40,40
M,46.06,43,66
M,46.06,-25,-25
M,46.07,48,46
M,46.08,23,35
M,46.08,79,60
M,46.1,39.5,56.8
M,46.09,89,77
M,46.10,65,62
M,46.10,88,62
M,46.10,78,83
Z,46.10,-69.0,36.3
M,46.1,162.3,136.4
Z,46.10,-107,191
M,46.11,15,22
M,46.11,80,74
M,46.13,79,78
M,46.13,63,57
M,46.14,-10,20
M,46.14,132.30,102.62
M,46.14,94,57
M,46.14,38,42
M,46.14,3,65
M,46.14,36,47
M,46.15,-18,29
M,46.16,99,87
M,46.16,8,33
M,46.20,-28,0
Z,46.2,-51.9,-0.4
M,46.20,47,31
M,46.21,53,55
M,46.2,47.7,48.3
M,46.22,64,95
M,46.22,66,61
M,46.2,145.6,126.8
M,46.22,27,87
M,46.23,20,62
M,46.23,-14,-48
M,46.23,-8,3
M,46.23,25,39
M,46.23,51,53
M,46.24,69,57
M,46.25,66,79
M,46.25,152,62
M,46.25,33,37
M,46.26,40,55
M,46.26,89,56
M,46.27,35.51,40.23
M,46.28,-16,19
M,46.28,27,60
M,46.28,54,43
M,46.29,-18,7
M,46.29,46,53
M,46.30,34,22
Z,46.3,-59.0,-115.7
M,46.3,-8,27
M,46.30,54,82
M,46.31,29,-1
M,46.31,59,59
M,46.31,41,33
M,46.32,-37,1
M,46.32,89,68
M,46.3,-29.4,2.4
M,46.32,-7,46
M,46.33,59,64
M,46.33,107,76
M,46.34,42,104
M,46.34,103,116
M,46.35,67,52
M,46.35,55,53
M,46.35,16,40
M,46.36,-30,15
M,46.36,86,68
M,46.36,82.38,79.08
M,46.37,34,72
M,46.37,-25,2
M,46.37,-29,-12
M,46.37,44,50
M,46.37,49,58
M,46.37,22,40
M,46.38,84,76
M,46.38,123,154
M,46.4,42.5,38.7
M,46.38,9,28
U,46.39,203,226
M,46.39,42,-10
M,46.39,-27,5
M,46.39,31,31
M,46.39,-1,2
M,46.39,40,18
M,46.39,96,35
M,46.4,-13,35
M,46.4,98,98
Z,46.4,45,102
M,46.41,-5,13
M,46.41,88,100
M,46.41,21,37
Z,46.42,-60,17
M,46.43,50,34
M,46.43,54,34
M,46.4,99.9,83.0
M,46.44,-15,-2
M,46.44,23,44
M,46.45,22,14
M,46.45,74,76
M,46.46,33,33
M,46.46,47,76
M,46.47,41,32
M,46.47,8,29
M,46.47,-78,-59
M,46.47,73,78
M,46.48,154,125
M,46.48,10,52
M,46.48,-12,15
M,46.48,39,41
M,46.49,78,77
M,46.5,148.6,119.4
M,46.49,51,58
M,46.50,62,62
M,46.5,-69,-2
Z,46.5,-2,63
M,46.5,133,112
M,46.5,122,125
M,46.50,54,96
M,46.50,63,45
M,46.51,11,6
M,46.52,90,73
M,46.52,-34,-16
M,46.53,32,39
Z,46.5,-114.0,82.0
M,46.53,18,56
M,46.53,100,90
M,46.53,40,41
M,46.54,69,62
M,46.54,-36,-58
M,46.54,12,39
M,46.55,-10,1
M,46.55,93,62
M,46.55,82,86
M,46.55,29,36
M,46.55,-5,23
M,46.56,8,23
M,46.57,99,76
M,46.57,100,90
M,46.57,31,12
M,46.58,62,85
M,46.58,30,19
M,46.6,66.3,53.8
M,46.59,77.81,68.78
M,46.59,62,59
M,46.60,-54,-47
M,46.6,42,11
M,46.6,12.8,34.8
M,46.6,59,73
M,46.60,104,72
M,46.61,48,62
M,46.61,21,18
M,46.61,-13,18
M,46.61,0,-10
M,46.61,46,50
M,46.62,77,50
M,46.62,15,27
M,46.62,-6,17
M,46.62,112,95
M,46.62,43,40
M,46.63,17,43
M,46.63,28,56
M,46.63,-13,17
M,46.64,27,32
M,46.64,20,1
M,46.64,4,65
M,46.64,126,110
M,46.64,53,46
M,46.66,14,29
M,46.66,-32,-8
M,46.66,40,40
M,46.66,10,34
M,46.67,116,98
M,46.67,29,62
M,46.67,12,68
M,46.67,-43,8
Z,46.68,-61,63
M,46.69,41,70
M,46.70,45,30
M,46.70,78,75
M,46.7,144.4,142.8
M,46.71,81,68
M,46.71,16,32
M,46.72,26,4
M,46.72,43,41
M,46.74,87,84
M,46.75,-17,45
M,46.75,59,83
M,46.75,-6,-23
M,46.75,-31,-6
M,46.75,87,70
M,46.77,53,41
M,46.77,30,76
M,46.78,21,24
M,46.8,55.9,38.5
M,46.78,-12,21
M,46.79,-23,35
M,46.80,-71,-70
M,46.80,46,37
M,46.80,33,31
M,46.80,-12,31
M,46.8,57,56
Z,46.8,-62.0,70.7
M,46.8,138,127
M,46.80,64,59
M,46.81,10,4
M,46.81,100,94
M,46.81,-73,-34
M,46.83,43,16
M,46.84,69,89
M,46.84,32,16
M,46.85,33,50
M,46.85,28,38
M,46.85,58,26
M,46.87,93,92
M,46.88,91,68
M,46.89,49,51
M,46.89,41,48
M,46.89,83,70
M,46.89,105,91
M,46.9,139.4,123.0
M,46.90,5,31
M,46.9,32,19
M,46.9,44,45
M,46.90,54,4
M,46.90,32,32
M,46.91,98,63
M,46.91,32,24
M,46.91,63,44
M,46.91,75,59
M,46.93,12,25
M,46.93,-77,4
M,46.93,56,16
M,46.95,-29,21
M,46.96,19,30
M,46.96,72,96
M,46.97,-12,36
M,46.97,58,69
M,46.97,100,74
M,46.98,-17,2
M,46.98,3,63
M,46.99,17,22
M,46.99,87,131
M,46.99,106,64
M,46.99,67,67
M,46.99,42,49
M,47.00,9,11
Z,47,-75,68
Z,47,-90,74
M,47.0,128,113
M,47.00,53,14
M,47.00,63,51
M,47.00,45,62
M,47.00,35,77
M,47.00,87,73
M,47.01,40,35
M,47.01,-15,31
M,47.01,35,54
M,47.01,27,23
M,47.01,19,-7
M,47.02,105,107
M,47.02,132,63
M,47.03,96,75
M,47.03,99,85
M,47.03,30,35
Z,47.0,-104.2,109.1
M,47.04,45,52
M,47.04,-7,24
M,47.0,37.6,37.3
M,47.05,-59,-8
M,47.05,21,49
M,47.05,88,90
M,47.06,29,99
M,47.06,-3,13
M,47.06,39,41
M,47.06,22,72
M,47.07,36,52
M,47.07,7,7
M,47.07,117,35
M,47.08,-13,5
M,47.08,1,14
M,47.08,68,66
M,47.08,83,66
M,47.1,95.5,75.9
M,47.08,25,22
M,47.1,148.7,98.9
M,47.10,-5,4
M,47.10,-1,22
M,47.10,-41,-13
M,47.1,32,67
M,47.1,33,87
M,47.10,56,73
M,47.11,46,35
M,47.11,-7,20
M,47.11,57,58
M,47.11,39,80
M,47.12,97,122
M,47.13,-19,-1
M,47.13,143,118
M,47.14,39,-1
M,47.14,-33,-53
M,47.14,-70,-25
M,47.14,-13,26
M,47.14,99,83
M,47.15,24,33
M,47.15,7,23
M,47.15,13,24
M,47.15,27,38
M,47.15,107,96
M,47.16,33,48
M,47.17,-2,46
M,47.17,-33,14
M,47.2,35.3,51.7
M,47.17,12,55
M,47.19,30,8
M,47.19,-37,20
Z,47.19,-75,28
M,47.20,34,40
Z,47.20,-38,70
M,47.20,81,59
M,47.20,1,9
M,47.2,14,31
M,47.2,65.4,68.4
M,47.2,60,73
M,47.2,49,77
M,47.21,14,-3
M,47.2,96.9,100.3
M,47.21,-61,-19
Z,47.2,-121.0,28.9
M,47.22,2,-40
M,47.22,27,37
M,47.23,18,39
M,47.23,26,26
M,47.23,40,57
M,47.24,73,67
M,47.24,108,106
M,47.24,58,50
M,47.24,91,77
M,47.24,-9,-2
M,47.24,-20,10
M,47.25,29,14
M,47.3,2.0,36.6
M,47.26,18,40
M,47.27,75,74
M,47.28,21,20
X,47.28,-200,-224
M,47.28,12,3
M,47.28,14,18
M,47.28,60,55
M,47.29,40,21
M,47.30,130,104
M,47.30,-1,-21
M,47.30,75,55
M,47.31,20,49
M,47.31,72,91
M,47.31,-20,37
M,47.31,81,71
M,47.31,120,93
M,47.31,-21,5
M,47.31,129,123
M,47.31,-17,-14
M,47.32,13,34
M,47.33,66,56
M,47.33,-2,34
M,47.3,48.8,61.1
M,47.34,58,17
Z,47.34,-32,30
M,47.35,82,61
M,47.4,116.2,107.5
M,47.35,24,45
M,47.4,107.1,74.3
M,47.36,0,16
M,47.36,22,27
M,47.36,8,28
M,47.37,-6,21
M,47.37,118.01,99.38
M,47.37,31,18
M,47.38,-46,-19
M,47.38,-14,-16
M,47.38,54,56
M,47.38,24,9
M,47.39,28,30
M,47.39,43,65
M,47.39,70,61
M,47.40,-26,7
Z,47.40,-77,80
M,47.4,0.9,11.8
M,47.4,29,23
M,47.4,20,28
M,47.4,36,57
M,47.4,91,73
M,47.4,54,76
M,47.40,112,103
M,47.41,82,76
M,47.42,95,82
M,47.42,23,9
M,47.42,112,75
M,47.4,86.9,96.8
M,47.43,5,12
M,47.43,76,-9
M,47.43,21,20
M,47.43,65,62
M,47.44,22,48
M,47.45,35,49
M,47.45,75,72
M,47.46,49,47
M,47.5,56.3,62.8
M,47.46,68,56
M,47.46,7,17
M,47.5,32.3,56.8
M,47.47,12,32
M,47.49,1,28
Z,47.49,-80,3
M,47.5,64,64
M,47.5,67,65
M,47.5,57,71
M,47.5,45,73
M,47.50,128.3,104.9
M,47.50,85,7
M,47.51,25,14
M,47.51,37,45
M,47.51,-12,-8
M,47.52,-8,37
M,47.52,13,28
M,47.53,28,51
M,47.53,86,73
M,47.54,32,40
M,47.54,56,65
M,47.55,66,55
M,47.55,43,48
M,47.6,63.1,105.1
M,47.55,33,34
M,47.56,16,43
M,47.56,77,70
M,47.56,35,-10
M,47.56,33,57
M,47.56,75,76
M,47.56,-29,25
M,47.56,27,41
M,47.57,34,19
M,47.58,29,80
M,47.58,48,66
M,47.59,-1,37
M,47.6,29.1,47.9
M,47.60,48,41
M,47.6,69,73
M,47.60,143,121
M,47.60,90,81
M,47.61,25,14
M,47.61,46,99
M,47.61,-48,-23
M,47.61,64,62
M,47.61,35,48
M,47.62,3,56
M,47.62,32,50
M,47.62,43,55
M,47.62,74,73
M,47.63,60,79
M,47.63,43,53
M,47.64,25,45
M,47.64,74,68
M,47.64,129,98
M,47.64,-3,-3
M,47.65,34,56
M,47.66,74,59
M,47.66,8,11
M,47.66,19,4
M,47.67,15,52
M,47.68,48.1,63.1
M,47.68,105,98
M,47.70,3,23
M,47.70,-12,21
M,47.7,-7,-3
M,47.70,132,104
M,47.71,20,-5
M,47.71,33,40
M,47.71,28,38
M,47.71,-29,12
M,47.71,57,42
M,47.72,63,70
M,47.72,80,58
M,47.72,29,34
M,47.72,-41,32
M,47.73,81,80
M,47.74,146,111
M,47.74,81,70
M,47.74,44,62
M,47.75,58,61
M,47.75,-6,31
M,47.75,28,37
M,47.76,17,30
M,47.76,59,75
M,47.76,-45,-49
M,47.76,45,36
M,47.77,121,119
M,47.78,9,28
M,47.8,111.6,108.5
M,47.78,97,98
M,47.78,7,109
M,47.78,33,18
M,47.79,38,61
M,47.79,161,114
M,47.79,-3,8
M,47.8,-71.1,-10.4
M,47.79,28,52
M,47.79,49,61
M,47.8,-17.3,6.8
M,47.80,70,70
M,47.8,38,29
M,47.80,-7,33
M,47.80,124,103
M,47.81,-37,-26
M,47.81,25,25
M,47.82,98,66
M,47.82,38,85
M,47.83,-80,-106
M,47.83,36,105
M,47.84,-17,12
M,47.84,62,58
M,47.84,80,63
M,47.84,61,66
M,47.85,36,10
M,47.85,-5,20
M,47.85,38,41
M,47.85,20,25
M,47.86,14,27
M,47.86,47.3,55.7
M,47.86,-27,-15
M,47.88,50,8
M,47.88,25,26
M,47.88,-28,-18
M,47.88,67,93
M,47.89,11,26
M,47.90,131,97
M,47.9,57,66
M,47.9,76,96
M,47.90,35,30
M,47.92,-42,13
M,47.92,54,62
M,47.92,99,79
M,47.92,71,70
M,47.92,3,24
M,47.92,24,18
M,47.93,81,78
M,47.93,4,5
M,47.94,67,76
M,47.94,17,65
M,47.95,11,12
M,47.95,33,47
M,47.95,112,58
Z,47.96,-27,25
M,47.96,12,1
M,48.0,24.3,66.6
M,47.97,83,87
M,47.97,-94,-54
M,47.97,39,26
Z,47.97,-74,52
M,47.97,114,112
M,47.98,119,101
M,47.98,-26,8
M,47.98,19,7
M,47.99,88,80
M,47.99,53,50
M,47.99,14,25
M,48,55,65
M,48,51,74
M,48.00,59,60
M,48.00,5,38
M,48.01,-38,-3
M,48.01,34,41
M,48.01,73,56
M,48.02,40,47
M,48.03,109,79
M,48.0,77.3,78.3
M,48.03,107,90
M,48.03,53,66
M,48.04,32,32
M,48.04,74,61
M,48.05,58,24
M,48.05,25,26
M,48.05,115,102
M,48.05,112,96
M,48.05,59,38
M,48.1,76.1,89.7
M,48.06,29,33
M,48.06,29,36
M,48.07,22,54
M,48.07,30,19
M,48.07,49,100
M,48.08,56,40
M,48.09,-54,-1
M,48.1,122.5,64.9
X,48.1,-211,-319
M,48.1,-56.6,-31.8
M,48.10,58,59
M,48.11,51,133
M,48.11,88,70
M,48.11,58,58
Z,48.11,-92,-33
M,48.13,-45,34
M,48.13,41,26
M,48.14,-24,-5
M,48.14,38,41
M,48.1,23.6,52.4
M,48.14,-10,0
M,48.15,16,51
M,48.1,-10.7,1.6
M,48.15,70,69
M,48.15,3,3
M,48.16,10,13
M,48.16,59,63
M,48.16,-10,31
M,48.16,1,50
M,48.16,19,56
M,48.17,-13,11
M,48.17,27,40
M,48.18,54,53
M,48.19,56,16
M,48.19,45,59
M,48.19,127,108
M,48.20,68,43
M,48.20,71,64
M,48.2,-55,-24
M,48.2,11,20
M,48.2,36,28
M,48.2,53,74
M,48.20,38,43
M,48.20,65,71
M,48.21,111,97
M,48.21,-21,25
M,48.21,99,52
M,48.21,55,69
M,48.22,22,58
M,48.22,89,82
M,48.22,41,40
M,48.23,58,55
M,48.23,24,39
M,48.23,94,89
M,48.23,95,82
M,48.24,70,61
M,48.25,-25,2
M,48.25,49,41
M,48.25,22,50
M,48.26,40,26
M,48.26,1,25
M,48.26,76,93
M,48.26,81,58
M,48.26,61,70
M,48.28,87,74
M,48.28,29,53
M,48.28,44,52
M,48.28,9,-2
M,48.28,-19,20
M,48.28,56,33
Z,48.28,-3,83
M,48.29,94,88
M,48.29,31,79
M,48.30,21,29
M,48.30,78,85
M,48.31,29,10
M,48.31,55,36
M,48.31,67,88
M,48.31,31,13
M,48.31,88,56
M,48.31,24,78
M,48.32,105,102
M,48.32,64,61
M,48.32,46,28
M,48.3,38.4,51.4
M,48.33,45,57
M,48.33,40,58
M,48.34,17,26
M,48.34,74,44
M,48.34,45,57
M,48.34,9,40
M,48.35,51,53
M,48.36,46,62
M,48.37,56,69
M,48.38,42.8,52.9
M,48.38,98,78
M,48.38,15,23
M,48.38,117,95
M,48.39,57,37
M,48.40,32,48
M,48.4,22,68
M,48.4,83,96
Z,48.4,-124,140
M,48.4,43.6,53.9
M,48.40,137.44,109.97
M,48.40,4,10
M,48.41,-39,-21
M,48.41,17,-9
M,48.41,28,44
M,48.41,-32,8
M,48.42,-21,-30
M,48.42,45,54
M,48.42,21,51
M,48.43,49,28
M,48.43,40.5,50.8
M,48.45,-31,25
M,48.45,110,102
M,48.45,42,45
M,48.45,67,53
M,48.46,-62,-75
M,48.46,-45,-21
M,48.46,154,133
M,48.5,33.9,42.7
M,48.46,-44,-50
M,48.47,102,81
M,48.47,45,29
M,48.48,23,45
M,48.48,86,58
M,48.48,33,45
M,48.48,68,67
M,48.48,84,60
M,48.48,7,20
M,48.49,49,41
M,48.49,31,10
M,48.5,-92,-82
M,48.5,63,60
M,48.5,140,111
M,48.50,-24,4
M,48.51,17,34
M,48.51,-45,-29
M,48.51,87,30
M,48.51,95,99
M,48.52,-27,-6
M,48.52,23,32
M,48.52,4,64
Z,48.52,-59,26
M,48.52,92,81
M,48.53,68.09,64.66
M,48.53,117,111
M,48.54,39,57
M,48.54,30,48
M,48.54,6,37
M,48.54,26,15
M,48.54,36,17
M,48.54,39,-31
M,48.55,48,61
M,48.55,23,64
M,48.56,17,45
M,48.56,44.2,52.3
M,48.56,41,50
M,48.56,72,64
M,48.57,-16,9
Z,48.57,-129,333
M,48.58,6,38
M,48.58,-21,32
M,48.58,1,36
M,48.58,92,93
M,48.59,42.9,50.8
M,48.59,60,33
M,48.59,5,40
M,48.59,78,75
M,48.59,7,0
M,48.60,105,76
M,48.60,-22,27
M,48.60,78,70
M,48.60,-3,11
M,48.60,86,82
M,48.61,68,71
M,48.61,95,86
M,48.62,66,77
M,48.62,27,36
M,48.63,45,46
M,48.63,70,71
M,48.63,116,80
M,48.64,35.9,43.1
M,48.64,5,-7
M,48.64,-11,49
M,48.64,104,79
M,48.64,8,44
M,48.65,66,57
M,48.65,83,65
M,48.65,1,28
M,48.65,4,-18
M,48.65,34,37
M,48.65,68,57
M,48.66,23,25
M,48.66,28,45
Z,48.66,-83,94
M,48.66,33,36
M,48.66,57,25
M,48.68,-38,26
M,48.68,122,145
M,48.68,68,80
M,48.68,62,67
M,48.7,32.9,46.6
M,48.68,58,56
M,48.68,23,37
M,48.68,-34,-7
M,48.69,50,42
M,48.69,63,68
M,48.7,124.2,142.1
M,48.69,76,63
M,48.69,43.3,44.3
M,48.70,25,53
M,48.70,104,86
M,48.7,-12,8
M,48.70,-27,-1
M,48.70,53,64
M,48.7,33.4,20.8
M,48.71,24,55
M,48.72,39.5,43.0
M,48.72,-44,-16
M,48.73,-5,7
M,48.73,80,66
M,48.73,77,84
M,48.74,26,30
M,48.74,101,80
M,48.74,52,6
M,48.74,-62,13
M,48.74,51,35
M,48.74,80,51
M,48.74,44,35
M,48.74,-8,17
M,48.74,63,81
M,48.75,41,63
M,48.75,63,41
M,48.8,17.3,23.4
M,48.75,-5,36
M,48.75,43,52
M,48.77,43,51
M,48.77,7,17
M,48.8,47.2,45.5
M,48.77,45,62
M,48.79,88.10,79.37
M,48.79,112,98
M,48.8,3,12
M,48.8,32,16
M,48.8,97,100
M,48.80,121,119
M,48.81,18,31
M,48.8,97.4,99.9
M,48.82,1,-2
M,48.82,35,64
M,48.8,48.6,53.8
M,48.82,10,11
M,48.8,119.0,108.0
M,48.82,43.4,47.0
M,48.82,39,30
M,48.83,77,50
M,48.83,17,0
M,48.84,2,12
M,48.84,27,29
M,48.84,52,47
M,48.84,22,27
M,48.85,38.6,45.0
M,48.85,22,23
Z,48.85,34,154
M,48.85,31,56
M,48.86,40,39
M,48.86,32,27
M,48.87,4,2
M,48.87,20,29
M,48.9,69.8,44.3
M,48.87,40,31
M,48.87,6,30
M,48.88,100,89
M,48.88,42,33
M,48.88,-14,-23
M,48.88,66,60
M,48.88,72,57
M,48.88,71,79
M,48.89,5,23
M,48.89,5,16
M,48.89,19,28
M,48.90,4,3
M,48.9,62,15
M,48.9,28,15
M,48.9,65,69
M,48.90,95.0,87.4
M,48.9,65,107
M,48.90,-53,-52
M,48.90,27,20
M,48.90,37.8,44.9
M,48.91,67,55
M,48.91,25,51
M,48.91,45,62
M,48.91,86,68
M,48.91,12,28
M,48.92,118,86
M,48.92,86,77
M,48.92,55,61
M,48.93,-7,18
M,48.93,34,28
M,48.93,106,79
M,48.93,53,71
M,48.93,-19,37
M,48.93,-4,15
M,48.94,25,27
M,48.95,22,38
M,48.95,162,137
M,48.95,32,13
M,48.95,32,46
M,48.95,94,76
M,48.95,86,82
M,48.95,26,18
M,48.96,23,82
M,48.96,89,109
M,48.97,112,53
M,48.97,49,59
M,48.97,64,57
M,48.98,28,73
M,48.98,12,23
M,48.98,-42,-33
X,49.0,-235,-309
M,48.98,40.7,32.5
M,48.98,42.0,39.1
M,49.00,34,41
X,49,-3.2,-14.5
M,49,30,41
Z,49,-99,76
M,49,117,136
M,49.00,-27,28
M,49.00,-7,26
U,49.00,17,-17
M,49.01,120,81
M,49.01,42.4,44.5
M,49.01,4,14
M,49.02,25,-4
M,49.02,73,66
M,49.02,19,46
M,49.02,37,27
M,49.03,46,45
M,49.03,-6,7
M,49.03,137,108
M,49.04,13,31
M,49.04,1,35
M,49.04,98,103
M,49.05,-10,14
M,49.05,77,69
M,49.05,6,18
M,49.05,14,44
M,49.05,130,92
M,49.05,-26,-3
M,49.05,-15,7
M,49.05,86,63
M,49.05,48,28
M,49.06,-6,55
M,49.06,40,31
M,49.07,25,34
M,49.08,12,21
M,49.08,64,60
