Type,carbon_isotopes,silicon_29_28,silicon_30_28
AB,4.56,66,34
AB,4.56,33,13
AB,4.57,48,41
AB,4.58,71,53
AB,4.59,-38,-25
AB,4.593,-4,-9
AB,4.59,-13,19
AB,4.6,-17.0,-24.8
AB,4.61,161,93
AB,4.62,17,-2
AB,4.63,123,68
AB,4.64,-24,31
AB,4.6,178.0,131.4
AB,4.65,55,57
AB,4.655,17,-8
AB,4.66,62,56
AB,4.66,138.8,113.1
AB,4.69,154,135
AB,4.69,56,39
AB,4.69,25,16
AB,4.695,-23,-21
AB,4.7,28,19
AB,4.7,58,46
AB,4.7,139,112
AB,4.72,52,52
AB,4.72,8,-14
AB,4.72,138,92
AB,4.72,158,129
AB,4.73,187,137
N,4.75,10,222
AB,4.75,45,33
AB,4.76,78,56
AB,4.76,151,138
AB,4.766,31,73
AB,4.77,23,4
AB,4.770,70.6,51.6
AB,4.77,40,23
AB,4.79,53.9,67.4
AB,4.79,61,50
AB,4.80,62,46
AB,4.80,136,105
AB,4.80,137,113
AB,4.81,153,111
AB,4.81,14,-8
AB,4.825,-19,-37
AB,4.83,55,36
AB,4.83,149,108
AB,4.83,32,53
AB,4.84,44,24
AB,4.86,59,71
AB,4.87,15,24
AB,4.87,45,53
AB,4.87,61,54
AB,4.87,91,64
AB,4.87,77,60
AB,4.88,98,81
AB,4.88,58,43
AB,4.9,48,6
AB,4.92,46,10
AB,4.93,17,0
AB,4.98,51,27
AB,5.00,52,4
AB,5.0,128.0,101.9
AB,5.00,9,7
AB,5.03,34,1
AB,5.03,93,74
AB,5.04,97,61
AB,5.05,9,35
AB,5.06,13,19
AB,5.06,-30,4
AB,5.06,4,-1
AB,5.07,86,128
AB,5.08,60,74
AB,5.085,-21,-33
AB,5.09,-4,7
AB,5.09,-10,1
AB,5.09,9,49
AB,5.10,68,43
N,5.1,55,119
AB,5.10,91,39
AB,5.11,0,4
AB,5.14,175,136
AB,5.15,48,48
AB,5.15,72,52
AB,5.15,55,27
AB,5.16,41,22
AB,5.16,54,26
AB,5.16,120,66
AB,5.17,33,48
AB,5.18,14,33
AB,5.2,52,23
AB,5.20,128,92
AB,5.22,81,81
AB,5.23,32,23
AB,5.24,-12,5
N,5.25,22,103
AB,5.25,-26,-16
AB,5.27,60,49
AB,5.274,13,-11
AB,5.29,-27.7,-16.2
AB,5.29,100,71
AB,5.3,47,75
AB,5.31,64,59
AB,5.313,60,36
AB,5.32,48,28
AB,5.32,27,19
AB,5.33,58,48
AB,5.35,55,26
AB,5.364,22,6
AB,5.37,63,51
AB,5.4,64.8,77.9
AB,5.4,34,26
AB,5.40,32,32
AB,5.40,-29,15
AB,5.42,56,36
AB,5.42,25,72
AB,5.42,124,66
AB,5.42,98,77
AB,5.45,18,11
AB,5.47,79,93
AB,5.49,9,-6
AB,5.492,-5,86
AB,5.50,198,146
AB,5.50,25,11
AB,5.51,31.9,13.9
AB,5.52,49,37
AB,5.55,-20,22
AB,5.55,118,72
AB,5.57,50,31
AB,5.59,51,65
N,5.59,-166,927
AB,5.600,-31,10
AB,5.600,-3,33
AB,5.6,3,-19
AB,5.61,9,-12
AB,5.62,54,52
AB,5.63,91,62
AB,5.64,137,108
AB,5.68,7,6
AB,5.69,79,63
AB,5.70,-1,30
AB,5.709,2,55
AB,5.73,59,54
AB,5.73,-16,-3
AB,5.74,12,-4
AB,5.75,0,25
AB,5.75,86,73
AB,5.76,39,39
AB,5.80,47,36
AB,5.80,27,23
AB,5.8,17,32
AB,5.80,43,41
AB,5.80,-28,29
AB,5.81,-5.64,16.40
AB,5.83,4,13
AB,5.832,-28,124
AB,5.84,-17,-21
AB,5.87,0,23
AB,5.88,78,64
AB,5.9,13.0,4.9
AB,5.89,138,102
AB,5.89,-45,-38
AB,5.90,114,99
AB,5.92,0,19
AB,5.93,90,87
AB,5.97,1,18
AB,5.97,-42,-41
AB,5.98,-70,-26
AB,6.00,-4.2,25.9
AB,6.00,-14,9
AB,6.01,31,-3
AB,6.02,35,29
AB,6.031,10,82
AB,6.03,2,24
AB,6.052,37,-47
AB,6.06,0,34
AB,6.07,63,32
AB,6.07,33,20
AB,6.07,-21,24
AB,6.08,-27,15
AB,6.09,-68,-62
AB,6.10,-14,32
AB,6.11,0,18
AB,6.13,-2,29
AB,6.15,37,17
AB,6.15,4,39
AB,6.15,59,78
AB,6.16,-31,4
AB,6.16,46,48
AB,6.17,-4,13
AB,6.18,-16,-1
AB,6.2,-55,28
AB,6.21,70,71
AB,6.22,17,-23
AB,6.222,2,-13
AB,6.23,4,41
AB,6.24,62,76
AB,6.24,39,47
AB,6.26,48,34
AB,6.3,-8,24
AB,6.31,42,41
AB,6.31,26,35
AB,6.31,26,24
AB,6.32,53,42
AB,6.33,-6,42
AB,6.40,-8,6
AB,6.4,14,64
AB,6.43,-19,10
AB,6.44,57,20
Z,6.45,-5,58
AB,6.45,126,95
AB,6.457,22,-10
AB,6.47,-12,-27
AB,6.47,42,65
AB,6.47,22,11
N,6.48,-489,-491
Z,6.51,-1,58
AB,6.53,20,9
AB,6.554,63,197
AB,6.56,27,12
AB,6.58,69,53
AB,6.6,-60,-47
AB,6.60,12,37
AB,6.61,82,57
AB,6.61,37,23
AB,6.62,95,46
AB,6.62,-5,18
AB,6.63,94,64
AB,6.63,41,59
AB,6.64,-4,45
AB,6.66,2,36
AB,6.66,30,-21
AB,6.66,7,46
AB,6.66,-4,12
Z,6.67,18,103
AB,6.67,4,-12
AB,6.68,-9,-44
AB,6.72,-3,23
AB,6.72,33,56
AB,6.73,20,20
AB,6.75,74,63
AB,6.79,-5,-36
AB,6.79,-10,16
AB,6.80,96,91
N,6.8,-105,237
AB,6.81,84,78
AB,6.82,38,50
AB,6.82,48,54
AB,6.84,-53,-47
AB,6.86,-13,3
AB,6.87,83,37
AB,6.88,-5,45
AB,6.89,-6,29
AB,6.89,6,53
AB,6.9,0,12
AB,6.9,-6,19
AB,6.94,-1,47
AB,6.98,-14,14
AB,6.98,28,39
AB,6.98,-3,16
AB,6.99,5,45
AB,7.00,-1,20
AB,7.01,41,60
AB,7.02,-235,-64
AB,7.02,-70,-20
AB,7.03,18,41
AB,7.03,0,37
AB,7.04,83,72
AB,7.04,-1,43
AB,7.05,50,31
AB,7.07,85,72
AB,7.08,20,44
AB,7.10,1,77
AB,7.1,-2.2,27.4
AB,7.11,94,68
AB,7.11,32,61
AB,7.11,71,72
AB,7.13,5,-24
AB,7.14,-1,33
AB,7.16,6,4
AB,7.18,-20,-17
AB,7.19,192,149
AB,7.21,-1,21
AB,7.26,16,7
AB,7.27,29,21
AB,7.28,45,10
AB,7.31,239,172
AB,7.31,29,43
Z,7.33,-2,49
AB,7.37,-2,38
AB,7.37,192.32,120.27
AB,7.37,-36,-14
AB,7.38,128,111
AB,7.39,-4,16
AB,7.39,-16,69
AB,7.40,-34,18
AB,7.4,192.0,130.3
AB,7.42,32,22
AB,7.43,14,51
AB,7.439,55,100
AB,7.45,-17,-63
AB,7.48,15,13
AB,7.51,43,35
AB,7.519,-27,43
AB,7.55,28,32
AB,7.56,28,51
AB,7.57,48,87
AB,7.59,-19,-13
AB,7.60,-18,-1
AB,7.60,21,24
AB,7.63,160,109
AB,7.68,79,116
AB,7.69,26,26
AB,7.7,211.8,155.6
AB,7.73,116,59
AB,7.73,10,21
AB,7.74,22,-28
AB,7.74,201,132
AB,7.76,79,76
AB,7.77,38,47
AB,7.78,-10,-10
AB,7.79,200,151
AB,7.8,-3,16
AB,7.8,23,31
AB,7.8,52,51
AB,7.80,24,36
AB,7.8,188.6,125.2
AB,7.807,8,40
AB,7.83,192,126
AB,7.86,-24,-3
AB,7.9,-24.4,34.3
AB,7.87,52,53
AB,7.87,9,21
AB,7.87,1,28
AB,7.89,3,39
