Type,12C/13C,err+[12C/13C],err-[12C/13C]
Y,170.8,4.5,4.5
Y,170.1,64.9,36.8
X,170,13,12
X,169.6,2.1,2.1
Y,169.35,4.96,4.96
Y,168.94,14.90,12.67
X,168,4,4
X,167.8,15.3,15.3
Y,167.7,10.7,10.7
Z,167.60,1.22,1.22
Y,166.61,1.79,1.79
Y,166.27,4.94,4.66
X,166.1,2.1,2.1
Y,165.9,8.4,8.4
X,164.8,1.7,1.7
X,163.9,8.4,7.6
Y,163.6,21.9,21.9
X,163.59,5.43,5.43
X,163.51,5.56,5.21
Y,163.36,0.86,0.86
Y,163.33,5.83,5.44
Y,162.97,6.13,5.70
Y,162.51,4.83,4.55
X,162.31,3.83,3.83
Y,162.27,2.74,2.66
Y,162,3,3
Y,161.69,23.80,18.39
Y,161.57,9.88,9.88
Y,161.51,1.76,1.76
Y,161.5,23.4,23.4
X,161.5,0.9,0.9
Y,161.47,4.10,4.10
X,161,29,21
Y,160.39,1.06,1.06
X,160.01,4.09,3.89
Y,159.9,33.7,23.7
Y,159.70,1.58,1.58
Y,159.38,11.53,10.07
Y,159,4,4
X,159,1.6,1.6
X,158.7,14.8,14.8
X,157.8,5.8,5.4
Y,157.6,18.7,18.7
Y,157.46,2.62,2.53
Y,157.18,4.95,4.66
Y,157,2,2
Y,156.81,3.28,3.28
X,157,102,44
Y,156.45,3.78,3.78
Y,156.1,1.7,1.7
X,155.8,0.6,0.6
Y,155.74,5.25,5.25
Y,155.2,6.1,6.1
Y,154.79,2.54,2.54
Y,154.78,4.09,4.09
X,154.5,1.3,1.3
Y,154.42,5.36,5.36
Y,154.1,10.5,10.5
Y,154,3,3
X,154,0.9,0.9
X,154.0,27.5,27.5
Y,153.5,1,1
Y,153.44,6.01,6.01
Y,152.75,1.77,1.77
Y,152.64,19.72,15.67
Y,152.6,10.4,10.4
Y,152.5,4.6,4.6
C,152.45,4.52,4.52
Y,151.76,1.58,1.58
Y,151.58,2.98,2.98
Y,151.28,3.73,3.73
Z,151.23,6.12,6.12
X,151.2,5.2,4.8
Y,151.14,4.47,4.47
Y,151.06,12.95,12.95
Y,151,4,4
Y,150.86,1.84,1.84
Y,150.8,8.0,8.0
Y,150.78,5.63,5.63
X,150.5,8.8,7.9
Y,150.34,2.38,2.38
Y,150,5,5
Y,149.8,7.7,7.7
X,149.26,1.93,1.93
Y,149.16,2.13,2.13
Y,149.1,1.4,1.4
Y,148.43,1.02,1.02
X,148.3,1.5,1.5
X,148.09,12.50,10.69
X,148,10,10
X,147.3,1.4,1.4
Y,146.71,3.71,3.71
Y,146.65,4.68,4.40
Y,146.35,3.53,3.37
Y,146.0,2.5,2.5
Y,145.44,6.18,6.18
Y,145.29,2.74,2.74
X,145.16,0.82,0.82
Y,145.07,2.56,2.56
Y,145,3,3
Y,144.8,1.5,1.5
Y,144.67,2.92,2.92
Y,144.47,0.89,0.89
Y,144.23,6.84,6.84
Y,143.2,10.6,10.6
X,143.1,4.4,4.4
X,143,1.5,1.5
Y,142.79,0.73,0.73
Y,142.64,6.53,6.53
Y,142.6,3.4,3.4
Y,142,3,3
Y,142.00,0.76,0.76
Y,141.97,5.84,5.84
Y,141.3,19.5,19.5
Y,141.21,0.93,0.93
Y,141.2,0.9,0.9
Y,141.15,1.80,1.80
Y,140.98,1.75,1.75
Z,140.76,4.16,4.16
Y,140.71,0.83,0.83
Y,140.6,1.9,1.9
Y,140.28,1.21,1.21
Y,140.14,7.47,7.47
X,140,10,10
Y,139.7,12.1,12.1
Y,139.72,4.72,4.42
Y,139.7,17.0,17.0
Y,139.7,2.8,2.8
Y,139.61,1.94,1.94
Y,139.43,1.99,1.99
Y,139.22,3.16,3.16
Y,138.56,3.20,3.06
Y,138.5,18.1,18.1
Y,138.47,5.69,5.69
Y,138.4,3.6,3.6
Y,138.13,6.07,6.07
Y,137.8,2.26,2.26
Y,137.78,6.38,6.38
Y,137.7,2.8,2.8
Y,137.65,0.81,0.81
Y,137.11,4.72,4.72
Y,136.89,3.14,3.14
X,136.7,1.9,1.9
X,136.7,1.3,1.3
Y,136.38,3.02,3.02
Y,136.2,10.4,10.4
Y,136.01,2.85,2.74
M,135.2,1000000,77.3
Y,134.8,1.2,1.2
Y,134.78,1.17,1.17
Y,134.34,2.19,2.19
X,134.3,1.1,1.1
Y,134.2,1.2,1.2
Y,134.07,4.55,4.55
X,134,11,11
Y,133.89,4.03,4.03
Y,133.79,3.59,3.59
Y,133.6,23.7,17.5
Y,133.55,3.46,3.29
Y,133.4,0.9,0.9
X,133.3,5.6,5.2
Y,133.29,1.72,1.72
Y,133.18,4.34,4.07
Y,133.16,1.73,1.73
X,132.98,8.15,7.26
Y,132.9,5.7,5.7
Y,132.60,0.65,0.65
X,132.36,12.37,12.37
Y,132.13,5.59,5.59
Y,131.7,15.2,15.2
Y,131.55,5.03,5.03
Y,131.24,4.05,3.81
Y,131.22,0.69,0.69
Y,131.12,1.58,1.58
Y,131.1,1.66,1.66
Y,131.06,2.73,2.62
Y,130.86,1.26,1.26
Y,130.7,5.0,5.0
Z,130.61,2.82,2.82
X,130.59,2.02,2.02
Y,130.48,2.46,2.46
X,129.64,0.76,0.76
X,129.59,7.25,6.52
Y,129.59,6.85,6.85
C,129,5,5
Y,128.93,1.51,1.47
Y,128.63,5.79,5.32
Y,128.52,3.22,3.22
Y,128.43,0.92,0.92
Y,128.37,4.48,4.48
Y,128.06,3.02,3.02
X,128.0,2.1,2.1
Y,127.9,4.9,4.9
Y,127.5,1.5,1.5
Y,127.42,5.40,5.40
Y,127.33,2.00,2.00
Y,127.32,4.21,4.21
Y,127.2,5.4,5.4
X,127.1,0.5,0.5
Y,127,2,2
Y,126.79,5.42,5.42
Y,126.7,7.0,7.0
X,126.6,1.5,1.5
Y,126.20,4.92,4.92
Y,126.1,8.3,8.3
Y,125.97,3.02,3.02
Y,125.74,5.47,5.47
Y,125.48,4.04,4.04
Y,125.30,1.68,1.68
Y,125.23,5.11,5.11
Y,125.17,6.80,6.13
Y,125,4,4
Y,124.6,2.9,2.9
X,124.59,1.86,1.86
Y,124.1,34.8,22.3
Y,124.01,2.02,2.02
Y,124.0,6.5,6.5
Y,124,3,3
Y,124,5,5
Y,123.95,1.65,1.65
Y,123.92,6.32,6.32
Y,123.79,6.38,6.38
Y,123.70,0.99,0.99
Y,123.70,0.99,0.99
Y,123.4,1.4,1.4
X,123.3,2.4,2.3
Y,123.2,1.3,1.3
Y,123.1,19.8,15.0
Z,123,6,6
Y,123,2,2
Y,123,2,2
Y,122.95,2.38,2.29
Y,122.91,0.89,0.89
X,122.6,8.6,8.6
Y,122.30,3.79,3.79
Y,122.2,1.8,1.8
Y,122.18,0.93,0.93
Y,122.12,1.07,1.07
Y,122,3,3
Y,122.0,0.6,0.6
Y,121.9,1.57,1.57
Y,121.9,0.7,0.7
Y,121.89,7.68,7.68
Y,121.8,0.9,0.9
X,121.1,0.8,0.8
Y,121.06,3.13,3.13
Y,121.02,3.19,3.19
Y,120.91,5.04,5.04
Y,120.85,2.71,2.71
Y,120.8,8.2,8.2
Y,120.79,22.92,22.92
Y,120.7,1.2,1.2
X,120.5,10.8,9.2
Y,120,1,1
Y,119.76,0.89,0.89
Y,119.75,0.63,0.63
Y,119.69,1.23,1.23
Y,119.56,3.46,3.27
X,119.54,1.60,1.60
Y,119.5,1.1,1.1
Y,119.47,6.30,6.30
X,119.4,2.0,1.9
Y,119.37,2.88,2.88
X,119.3,2.1,2.0
Y,119.32,2.45,2.35
Y,119.15,2.76,2.76
Y,119,2,2
X,119,2,2
Y,119.0,9.3,9.3
Y,118.63,8.94,7.77
Y,118.56,0.87,0.87
Y,118.5,6.7,6.7
Y,118.41,18.85,14.30
Y,118.3,0.8,0.8
U,118.29,3.12,2.97
Y,118.2,1.8,1.8
Y,118.05,1.54,1.54
Y,118,3,3
Y,117.97,0.84,0.84
X,117.92,1.91,1.91
Y,117.91,5.00,5.00
Y,117.89,3.29,3.29
Y,117.46,3.25,3.25
Y,117.42,2.07,2.07
Y,117.41,3.34,3.34
Y,117.4,2.3,2.3
Y,117.28,0.63,0.63
Y,117.2,3.8,3.8
X,117.2,1.6,1.5
Y,117.2,14.5,14.5
Y,117.12,2.72,2.72
Y,117.09,1.51,1.51
X,117,5,5
Y,116.80,2.49,2.39
Y,116.7,2.8,2.8
X,116.7,0.8,0.8
Y,116.43,3.57,3.36
Y,116.38,3.85,3.85
Y,116.37,1.66,1.66
Y,116.36,1.93,1.93
Y,116.35,5.93,5.38
Y,116.3,0.9,0.9
Y,116.26,1,1
Y,116.16,2.04,2.04
Y,116.1,1.8,1.8
Y,116.1,1.0,1.0
Y,115.99,0.75,0.75
Y,115.98,3.02,3.02
Y,115.87,2.18,2.18
Y,115.78,1.20,1.20
Z,115.78,2.22,2.22
Y,115.77,1.79,1.79
Y,115.69,0.71,0.71
X,115.6,3.9,3.7
Y,115.52,6.13,6.13
Y,115.51,10.81,9.11
Y,115.43,3.17,3.17
Y,115.40,0.66,0.66
Y,115.40,0.62,0.62
Y,115.1,0.9,0.9
Y,115.0,7.9,7.9
Y,115.0,1.5,1.5
Y,115,3,3
Y,115,2,2
Y,114.91,23.08,16.47
Y,114.9,1.1,1.1
Y,114.8,2.4,2.4
Y,114.80,1.14,1.14
Y,114.69,0.67,0.67
Y,114.67,3.01,3.01
Y,114.41,1.86,1.86
X,114.3,1.7,1.7
X,114.3,4.2,3.9
Y,114.22,2.54,2.43
X,114.2,1.6,1.6
Y,113.89,13.97,13.97
Y,113.66,2.79,2.79
Y,113.56,7.48,6.61
Y,113.45,2.09,2.09
Y,113.42,0.85,0.85
Y,113.35,15.39,15.39
X,113.20,1.26,1.26
Y,113.12,10.25,8.68
Y,113.11,9.83,9.83
Y,113.11,5.70,5.70
X,113,2,2
M,113.0,2.3,2.3
Y,112.76,4.61,4.61
Y,112.74,4.98,4.98
X,113,7,6
Y,112.65,0.81,0.81
Y,112.53,0.80,0.80
M,112.5,37.6,22.5
Y,112.44,3.80,3.80
Y,112.2,3.4,3.4
Y,112.2,1.6,1.6
Y,112.2,1.05,1.05
Y,112.15,0.89,0.89
Y,112.04,3.85,3.85
M,112.0,27.3,27.3
Y,112,3,3
Y,112,1,1
X,112.00,3.13,3.13
Y,111.94,0.55,0.55
Y,111.90,4.85,4.46
M,111.9,34.6,21.4
Y,111.9,6.3,6.3
Y,111.88,1.99,1.99
Y,111.85,0.87,0.87
Y,111.77,4.12,3.84
Y,111.74,1.10,1.10
Y,111.60,2.13,2.13
Y,111.54,0.57,0.57
Y,111.41,4.95,4.95
Y,111.40,3.00,2.85
Y,111.34,0.73,0.73
Y,111.31,7.88,6.90
Y,111.25,1.24,1.24
X,111.2,0.6,0.6
Y,111.2,0.7,0.7
Y,111.12,5.85,5.29
Y,111.0,7.0,7.0
Y,111.0,3.7,3.7
Y,110.95,0.64,0.64
M,110.9,64.2,64.2
Y,110.85,0.65,0.65
M,110.79,13.78,11.04
Y,110.76,5.59,5.59
Y,110.71,0.87,0.87
X,111,16,12
Y,110.6,4.0,3.8
Y,110.55,0.94,0.94
Y,110.46,1.02,1.02
Y,110.42,3.57,3.57
Y,110.32,8.13,7.09
Y,110.3,6.2,6.2
Y,110.28,5.56,5.56
Y,110.26,2.98,2.82
Y,110.1,6.2,6.2
Y,110.05,2.46,2.46
Y,110.0,7.7,7.7
Y,110,1.1,1.1
Y,109.87,3.00,2.85
X,109.83,1.46,1.46
Y,109.66,0.58,0.58
Y,109.6,1.6,1.6
Y,109.35,23.42,23.42
Y,109.29,6.88,6.88
X,109.26,2.47,2.47
Y,109.21,2.70,2.58
Y,109.2,1.4,1.4
Y,109.1,1.3,1.3
Y,109.05,5.69,5.69
Y,109.01,1.70,1.70
C,108.93,2.05,2.05
Y,108.92,1.81,1.75
Y,108.87,0.79,0.79
Y,108.85,1.28,1.28
Y,108.78,2.01,2.01
Y,108.67,0.68,0.68
Y,108.63,10.77,8.99
Y,108.58,0.58,0.58
M,108.55,8.54,8.54
M,108.5,24.3,16.8
Y,108.38,2.04,2.04
Y,108.37,2.90,2.75
M,108.15,12.30,10.02
Y,108.1,5.5,5.5
Y,108.0,15.5,12.0
Y,107.96,1.71,1.71
Y,107.89,7.22,7.22
Y,107.8,6.8,6.8
Y,107.83,2.47,2.47
X,107.76,3.34,3.14
Y,107.71,4.47,4.47
Y,107.69,0.56,0.56
Y,107.6,1.6,1.6
Y,107.48,2.69,2.69
Y,107.44,1.75,1.75
Y,107.41,2.30,2.30
Y,107.41,1.58,1.58
Y,107.37,2.58,2.58
Y,107.36,1.40,1.40
Y,107.25,0.97,0.97
Y,107.19,0.77,0.77
Y,107.09,0.56,0.56
Y,106.89,0.56,0.56
Y,106.80,0.79,0.79
Y,106.67,1.65,1.65
Y,106.62,3.76,3.76
Y,106.58,11.29,11.29
M,106.5,9.2,9.2
Y,106.50,3.43,3.22
Y,106.41,8.05,6.99
Y,106.40,2.56,2.56
Y,106.4,1.5,1.5
Y,106.4,1.7,1.7
Y,106.37,1.20,1.20
Y,106.30,0.53,0.53
Y,106.16,0.95,0.95
Y,106.00,1.12,1.12
Y,106,2,2
Y,106,2,2
Y,105.91,0.63,0.63
Y,105.9,1.7,1.7
Y,105.83,2.39,2.39
M,105.8,26.3,17.6
Y,105.71,1.41,1.41
Y,105.68,1.79,1.79
Y,105.63,6.56,5.84
Y,105.6,2.0,2.0
Y,105.52,1.40,1.40
Y,105.48,3.59,3.36
Z,105.43,3.24,3.24
X,105.43,3.63,3.63
Y,105.41,0.55,0.55
M,105.38,7.49,7.49
Y,105.38,1.45,1.45
Y,105.2,1.3,1.3
Z,105.20,1.55,1.55
Y,105.18,2.10,2.10
Y,105.10,1.27,1.27
M,104.96,5.45,4.94
Y,104.93,2.75,2.75
Y,104.9,0.7,0.7
Y,104.85,10.95,10.95
Y,104.82,0.65,0.65
Y,104.70,4.66,4.28
