Type,12C/13C,err+[12C/13C],err-[12C/13C]
M,72.0,3.7,3.7
M,72.0,2.4,2.4
M,72.0,0.5,0.5
M,72,1,1
M,72,0.5,0.5
M,72,0.5,0.5
M,72.0,3.5,3.5
M,72.0,0.5,0.5
M,71.96,1.13,1.10
M,71.95,1.47,1.47
M,71.95,1.35,1.35
M,72.0,0.5,0.5
M,71.95,1.11,1.08
M,71.94,1.08,1.08
M,71.93,2.47,2.47
M,71.92,0.53,0.53
M,71.92,2.00,2.00
M,71.91,5.87,5.87
M,71.90,0.94,0.94
M,71.90,2.44,2.44
Z,71.9,0.89,0.89
M,71.89,0.61,0.61
M,71.89,0.70,0.70
M,71.88,1.03,1.03
M,71.88,0.74,0.74
M,71.87,2.01,1.91
M,71.85,0.66,0.66
M,71.8,3.1,3.1
M,71.82,2.35,2.35
M,71.8,1.9,1.9
M,71.8,28.9,16.0
M,71.80,0.40,0.40
M,71.8,0.5,0.5
M,71.8,0.8,0.8
M,71.79,0.86,0.86
M,71.76,3.01,2.77
M,71.76,0.80,0.78
M,71.75,1.38,1.38
M,71.74,0.29,0.29
M,71.73,3.11,2.86
M,71.72,0.62,0.62
M,71.7,3.5,3.5
M,71.71,1.74,1.66
M,71.7,0.7,0.7
M,71.70,4.28,3.83
M,71.69,2.05,2.05
M,71.68,3.79,3.79
M,71.68,1.28,1.28
M,71.67,0.90,0.90
M,71.65,1.73,1.73
M,71.63,2.99,2.99
M,71.63,0.87,0.87
M,71.62,3.22,2.95
M,71.61,5.23,4.56
Z,71.6,0.5,0.5
M,71.6,2.6,2.6
M,71.6,0.5,0.5
M,71.59,0.73,0.73
M,71.59,3.28,3.00
M,71.58,0.77,0.77
M,71.58,0.77,0.77
M,71.6,4.5,4.5
M,71.55,0.80,0.78
M,71.55,0.35,0.35
M,71.55,0.59,0.59
M,71.55,1.14,1.11
M,71.5,1.7,1.7
M,71.52,0.87,0.87
M,71.52,1.95,1.85
M,71.51,1.06,1.03
M,71.5,1.5,1.5
Z,71.51,1.22,1.18
M,71.5,1.0,1.0
M,71.50,0.98,0.98
M,71.49,0.96,0.96
M,71.47,1.25,1.25
M,71.44,2.98,2.75
M,71.42,1.58,1.51
M,71.42,0.71,0.71
M,71.42,1.71,1.71
M,71.42,1.01,1.01
M,71.42,1.34,1.34
M,71.4,3.4,3.4
M,71.4,0.5,0.5
M,71.38,1.87,1.87
M,71.38,1.69,1.69
M,71.38,0.65,0.65
M,71.36,1.05,1.05
M,71.36,0.48,0.48
M,71.35,1.05,1.05
M,71.34,0.61,0.61
M,71.34,0.83,0.83
M,71.33,1.14,1.14
M,71.33,1.08,1.05
M,71.32,1.87,1.87
M,71.31,1.00,1.00
M,71.30,2.42,2.26
M,71.3,0.7,0.7
M,71.29,1.73,1.65
M,71.28,0.36,0.36
M,71.3,3.2,3.2
M,71.27,0.54,0.54
M,71.26,0.74,0.74
M,71.26,1.43,1.43
M,71.3,0.9,0.9
M,71.23,1.22,1.22
M,71.22,3.17,2.91
M,71.22,0.79,0.77
M,71.22,0.21,0.21
M,71.22,1.35,1.35
M,71.21,3.00,2.77
M,71.21,1.83,1.83
M,71.21,1.79,1.79
M,71.20,2.23,2.10
M,71.19,0.59,0.59
M,71.18,5.03,4.41
M,71.18,0.71,0.71
M,71.17,1.33,1.33
M,71.17,0.53,0.53
M,71.17,0.73,0.73
M,71.16,0.38,0.38
M,71.2,3.7,3.7
M,71.15,1.24,1.24
M,71.15,0.65,0.65
M,71.15,2.26,2.26
M,71.15,6.54,6.54
M,71.14,0.92,0.92
M,71.14,0.50,0.50
M,71.12,1.59,1.52
M,71.12,1.76,1.67
M,71.11,1.82,1.82
M,71.1,0.6,0.6
M,71.10,0.86,0.86
M,71.10,1.19,1.19
M,71.10,0.80,0.80
M,71.10,1.07,1.04
M,71.10,2.80,2.59
M,71.1,1.7,1.7
M,71.07,1.42,1.36
M,71.06,5.52,5.52
M,71.05,0.61,0.61
M,71.05,1.31,1.31
M,71.0,0.5,0.5
M,71.03,5.36,4.66
M,71.02,2.41,2.41
M,71.01,2.40,2.40
M,71.01,0.65,0.65
M,71.0,2.1,2.1
M,71,2,2
M,71,0.4,0.4
M,71,0.5,0.5
M,70.99,1.56,1.56
M,70.99,4.77,4.21
M,70.97,1.06,1.06
M,70.97,1.09,1.05
M,70.97,0.83,0.83
M,70.95,0.90,0.87
M,70.94,1.48,1.48
M,70.94,0.98,0.96
Z,70.94,1.02,1.02
M,70.94,4.44,3.94
M,70.93,1.19,1.19
M,70.91,0.92,0.92
M,70.9,0.5,0.5
X,70.9,0.6,0.6
Z,70.9,0.7,0.7
M,70.9,6.0,5.2
M,70.88,0.40,0.40
M,70.88,1.42,1.36
M,70.87,0.49,0.49
M,70.86,0.78,0.78
M,70.84,1.01,1.01
M,70.84,0.43,0.43
M,70.84,0.66,0.66
M,70.8,0.7,0.7
M,70.81,0.97,0.95
M,70.81,2.50,2.33
M,70.81,1.06,1.06
M,70.79,1.4,1.4
M,70.79,0.61,0.61
M,70.78,0.85,0.85
M,70.75,0.50,0.50
M,70.74,0.81,0.81
M,70.74,2.33,2.33
M,70.74,0.76,0.76
M,70.74,0.37,0.37
M,70.73,1.57,1.57
M,70.73,1.11,1.11
M,70.73,3.20,2.94
M,70.73,1.35,1.35
M,70.71,1.74,1.66
M,70.7,10.6,10.6
M,70.71,0.49,0.49
M,70.71,0.85,0.85
M,70.71,2.88,2.66
M,70.7,0.7,0.7
M,70.7,0.7,0.7
M,70.70,1.84,1.75
U,70.69,0.65,0.65
M,70.68,0.45,0.45
M,70.68,1.20,1.20
M,70.67,0.36,0.36
M,70.67,0.56,0.56
M,70.67,1.70,1.70
M,70.65,0.99,0.99
M,70.64,1.20,1.20
M,70.63,0.55,0.55
M,70.62,2.14,2.02
M,70.6,2.7,2.7
M,70.6,5.0,5.0
M,70.6,0.4,0.4
M,70.60,1.02,1.02
M,70.59,3.84,3.46
M,70.59,1.01,1.01
M,70.58,1.72,1.72
M,70.58,0.68,0.68
M,70.58,0.48,0.48
M,70.58,1.63,1.63
M,70.58,0.95,0.95
M,70.57,0.36,0.36
Z,70.57,3.52,3.20
M,70.6,8.6,6.9
M,70.56,1.54,1.48
M,70.55,0.35,0.35
M,70.54,0.36,0.36
M,70.54,0.68,0.68
Z,70.53,0.38,0.38
M,70.52,1.01,1.01
M,70.5,1.6,1.6
M,70.49,0.56,0.56
M,70.49,1.24,1.24
M,70.48,0.42,0.42
M,70.48,0.71,0.71
M,70.5,1.8,1.8
M,70.5,2.8,2.8
M,70.47,0.92,0.92
M,70.47,0.63,0.63
M,70.47,8.09,6.58
M,70.46,3.63,3.29
M,70.43,0.52,0.52
M,70.4,0.6,0.6
M,70.40,1.19,1.15
M,70.39,4.01,3.60
M,70.39,2.31,2.17
M,70.4,1.0,1.0
M,70.37,0.31,0.31
M,70.37,0.41,0.41
M,70.37,0.34,0.34
M,70.35,0.49,0.49
M,70.34,1.01,0.98
M,70.34,0.44,0.44
M,70.33,3.75,3.39
M,70.32,0.68,0.68
M,70.31,4.20,3.75
M,70.28,2.46,2.30
M,70.3,2.7,2.7
M,70.28,0.85,0.85
M,70.28,0.43,0.43
M,70.27,0.76,0.74
M,70.27,1.72,1.72
M,70.26,1.53,1.53
M,70.26,1.46,1.46
M,70.26,1.44,1.44
M,70.26,2.70,2.70
M,70.26,1.12,1.12
M,70.26,2.05,2.05
M,70.26,1.65,1.65
M,70.24,1.06,1.06
M,70.2,4.1,4.1
M,70.23,1.43,1.38
M,70.21,0.86,0.86
M,70.21,5.22,5.22
M,70.2,1.01,1.01
M,70.2,2.5,2.5
M,70.2,0.5,0.5
M,70.2,2.7,2.7
M,70.2,2.7,2.7
M,70.17,1.06,1.06
M,70.16,0.56,0.56
M,70.15,3.98,3.98
M,70.14,6.66,5.60
X,70.14,2.07,1.96
M,70.13,1.49,1.49
M,70.13,1.91,1.91
M,70.13,1.84,1.74
M,70.12,1.30,1.25
M,70.1,15.0,10.5
M,70.11,0.88,0.88
M,70.09,4.67,4.12
M,70.07,0.46,0.46
M,70.07,1.62,1.62
M,70.07,0.48,0.48
M,70.07,1.01,1.01
M,70.1,2.1,2.1
M,70.06,0.47,0.47
M,70.06,0.38,0.38
M,70.06,1.20,1.20
M,70.06,0.67,0.67
M,70.06,1.84,1.84
X,70.06,0.88,0.88
M,70.06,1.57,1.50
M,70.05,0.91,0.91
Z,70.05,0.8,0.8
M,70.05,0.64,0.64
M,70.03,0.98,0.98
M,70.02,1.04,1.01
M,70.02,3.27,2.99
M,70,3.4,3.4
M,70,0.5,0.5
M,70.0,22.8,13.8
M,70.0,2.6,2.6
M,69.99,0.96,0.93
M,69.99,4.47,3.96
M,69.97,1.90,1.80
M,69.97,1.05,1.05
M,69.97,0.72,0.72
M,69.96,1.89,1.89
M,69.96,0.57,0.57
M,69.95,0.41,0.41
M,69.93,0.33,0.33
M,69.93,1.44,1.39
M,69.93,3.72,3.36
M,69.92,2.09,2.09
M,69.91,6.57,6.57
M,69.91,0.66,0.66
M,69.91,0.87,0.87
M,69.9,0.5,0.5
M,69.9,0.5,0.5
M,69.90,0.51,0.51
M,69.89,0.23,0.23
M,69.89,1.11,1.11
M,69.89,0.59,0.59
M,69.89,0.78,0.78
M,69.89,1.97,1.87
M,69.88,0.35,0.35
Z,69.88,0.45,0.45
M,69.9,3.2,3.2
M,69.87,2.16,2.16
M,69.86,1.02,1.02
M,69.86,0.32,0.32
M,69.86,0.57,0.57
M,69.85,2.05,2.05
M,69.85,0.67,0.67
M,69.85,0.38,0.38
M,69.85,0.61,0.61
M,69.84,0.78,0.76
M,69.83,2.46,2.30
M,69.82,1.68,1.61
M,69.8,2.7,2.7
M,69.81,1.40,1.35
M,69.80,1.16,1.16
M,69.80,1.56,1.56
M,69.80,0.42,0.42
M,69.79,1.30,1.30
M,69.79,0.33,0.33
M,69.8,1.7,1.7
X,69.78,3.51,3.19
M,69.78,1.16,1.16
M,69.8,3.0,3.0
M,69.76,0.64,0.64
M,69.75,0.80,0.80
M,69.75,0.41,0.41
M,69.75,2.57,2.57
M,69.75,1.62,1.55
M,69.74,0.87,0.85
M,69.7,3.4,3.4
M,69.7,0.5,0.5
M,69.7,0.67,0.67
M,69.7,0.4,0.4
M,69.69,0.68,0.68
M,69.7,3.2,3.2
M,69.67,1.08,1.08
M,69.66,2.96,2.72
M,69.65,0.32,0.32
M,69.65,1.88,1.88
M,69.65,2.47,2.47
M,69.65,0.36,0.36
Z,69.64,1.60,1.53
M,69.63,0.34,0.34
M,69.63,0.89,0.89
M,69.63,1.06,1.03
M,69.63,1.21,1.17
M,69.63,0.59,0.59
M,69.61,2.08,2.08
M,69.61,1.17,1.13
M,69.60,8.20,6.64
M,69.6,0.93,0.93
M,69.60,1.51,1.51
M,69.6,5.9,5.9
M,69.58,0.42,0.42
M,69.57,2.67,2.67
M,69.56,1.52,1.52
M,69.55,0.41,0.41
M,69.5,7.5,7.5
M,69.5,2.1,2.1
M,69.52,0.37,0.37
M,69.51,2.60,2.42
M,69.5,2.6,2.6
M,69.5,2.9,2.9
M,69.50,0.55,0.55
M,69.5,1.6,1.6
M,69.5,0.5,0.5
M,69.5,0.5,0.5
M,69.5,0.5,0.5
M,69.50,1.46,1.46
M,69.50,1.78,1.78
M,69.50,0.37,0.37
M,69.49,0.49,0.49
M,69.49,2.41,2.41
M,69.49,2.47,2.47
M,69.48,0.80,0.78
M,69.5,1.5,1.5
M,69.47,1.61,1.61
M,69.45,0.77,0.77
M,69.45,1.18,1.18
M,69.44,0.85,0.85
M,69.43,1.22,1.22
M,69.42,1.25,1.25
M,69.4,2.9,2.9
M,69.42,0.72,0.72
M,69.41,7.38,6.09
M,69.41,1.24,1.20
M,69.41,1.15,1.15
M,69.40,0.69,0.69
M,69.4,5.7,5.7
M,69.4,0.9,0.9
M,69.4,0.7,0.7
M,69.4,0.71,0.71
Z,69.4,0.83,0.83
M,69.4,0.7,0.7
M,69.37,0.53,0.53
M,69.37,0.99,0.99
M,69.35,0.58,0.58
M,69.34,0.91,0.91
M,69.3,4.2,4.2
M,69.32,0.42,0.42
M,69.31,1.41,1.41
M,69.3,1.7,1.7
M,69.30,0.87,0.87
M,69.3,1.3,1.3
M,69.3,0.46,0.46
M,69.3,0.67,0.67
M,69.29,0.48,0.48
M,69.28,1.21,1.17
M,69.28,0.33,0.33
M,69.28,1.71,1.63
M,69.27,2.90,2.67
M,69.26,1.62,1.62
M,69.25,0.61,0.61
M,69.25,0.95,0.93
M,69.25,0.60,0.60
M,69.25,1.20,1.20
M,69.24,1.38,1.32
M,69.24,0.64,0.64
M,69.24,0.68,0.68
M,69.23,1.17,1.17
M,69.23,1.49,1.43
M,69.2,3.7,3.7
M,69.23,2.61,2.42
M,69.22,5.02,4.39
M,69.22,1.38,1.38
M,69.21,3.01,2.77
M,69.2,0.4,0.4
M,69.20,1.38,1.32
M,69.19,0.64,0.64
M,69.2,2.0,2.0
Z,69.18,0.72,0.72
M,69.16,3.47,3.47
M,69.16,0.88,0.88
M,69.15,0.60,0.60
M,69.15,1.03,1.03
M,69.15,0.73,0.73
M,69.15,2.86,2.86
M,69.14,1.99,1.88
M,69.14,2.22,2.22
M,69.1,6.3,6.3
Z,69.13,5.33,4.61
M,69.13,0.81,0.81
M,69.1,3.8,3.8
M,69.11,1.13,1.13
M,69.11,2.19,2.19
M,69.11,0.60,0.60
M,69.10,0.31,0.31
M,69.10,0.79,0.79
M,69.09,0.40,0.40
M,69.07,0.67,0.67
M,69.07,4.31,3.84
M,69.07,2.47,2.30
M,69.06,1.08,1.05
M,69.05,0.62,0.62
Z,69.05,0.76,0.76
M,69.05,0.83,0.83
M,69.05,1.45,1.45
M,69.05,2.86,2.86
M,69.05,0.50,0.50
M,69.03,3.33,3.03
M,69.03,2.74,2.74
M,69.03,1.02,0.99
M,69.03,2.69,2.49
M,69.02,0.74,0.74
M,69.02,2.89,2.67
M,69.02,0.76,0.76
M,69.02,0.57,0.57
M,69,4,4
M,69,0.8,0.8
M,69,1.1,1.1
M,69.00,2.59,2.41
M,69.00,2.03,2.03
M,69.00,3.37,3.37
M,69.00,0.73,0.73
M,69.00,1.23,1.23
M,68.99,0.35,0.35
M,68.98,4.68,4.68
M,68.97,1.89,1.89
M,68.96,0.72,0.72
M,68.96,2.69,2.49
M,69.0,0.6,0.6
M,68.95,3.00,3.00
M,68.92,4.32,4.32
M,68.9,11.4,8.6
M,68.91,0.37,0.37
M,68.9,3.3,3.3
M,68.91,1.03,1.03
M,68.9,14.6,10.3
M,68.90,2.28,2.14
M,68.9,1.5,1.5
M,68.9,0.7,0.7
M,68.90,0.41,0.41
M,68.89,1.94,1.94
M,68.9,9.0,9.0
X,68.87,3.93,3.53
M,68.86,4.75,4.17
M,68.86,1.57,1.50
M,68.9,4.2,4.2
M,68.9,3.2,3.2
M,68.85,0.49,0.49
M,68.85,1.67,1.67
Z,68.85,1.56,1.56
M,68.84,1.03,1.03
M,68.84,1.70,1.62
M,68.84,0.55,0.55
M,68.84,1.79,1.70
M,68.83,0.49,0.49
M,68.82,0.36,0.36
M,68.82,1.14,1.11
M,68.82,1.15,1.15
Z,68.81,0.5,0.5
M,68.8,1.18,1.18
M,68.8,0.4,0.4
M,68.8,0.4,0.4
M,68.79,0.5,0.5
M,68.8,10.6,8.1
M,68.78,0.48,0.48
M,68.78,5.74,4.92
M,68.77,0.59,0.59
M,68.77,0.96,0.96
M,68.76,0.56,0.56
M,68.75,0.57,0.57
M,68.75,0.94,0.94
M,68.75,3.00,3.00
Z,68.75,0.70,0.70
M,68.75,2.42,2.42
M,68.7,5.8,5.8
M,68.74,1.74,1.74
M,68.74,1.88,1.88
M,68.74,0.32,0.32
M,68.74,1.45,1.45
M,68.7,4.2,4.2
M,68.72,0.68,0.68
M,68.71,0.87,0.87
M,68.71,0.66,0.66
M,68.71,2.29,2.29
M,68.7,0.9,0.9
M,68.70,1.00,0.98
M,68.70,0.14,0.14
M,68.70,1.27,1.27
M,68.70,0.48,0.48
M,68.7,0.9,0.9
M,68.7,1.8,1.8
M,68.69,2.25,2.25
M,68.69,0.71,0.71
M,68.68,2.19,2.19
M,68.68,1.63,1.63
M,68.68,0.90,0.90
M,68.67,0.53,0.53
M,68.67,1.83,1.73
M,68.66,0.78,0.78
M,68.66,0.61,0.61
M,68.65,0.41,0.41
M,68.65,0.74,0.72
M,68.6,0.8,0.8
M,68.63,1.06,1.03
M,68.62,2.29,2.29
M,68.61,1.74,1.66
M,68.61,0.38,0.38
M,68.60,0.96,0.96
M,68.6,3.3,3.3
M,68.59,1.16,1.16
M,68.59,0.92,0.92
M,68.57,0.55,0.55
M,68.56,1.81,1.72
M,68.55,0.72,0.72
Z,68.55,0.93,0.93
M,68.55,1.11,1.11
M,68.53,0.73,0.72
Z,68.53,0.61,0.61
M,68.5,3.9,3.9
M,68.52,0.64,0.64
M,68.51,2.24,2.10
M,68.50,0.89,0.89
M,68.50,1.93,1.93
M,68.5,1.4,1.4
M,68.5,0.4,0.4
M,68.49,6.74,5.63
M,68.48,3.73,3.73
M,68.48,0.48,0.48
M,68.48,0.34,0.34
M,68.47,0.37,0.37
M,68.5,2.3,2.3
M,68.46,3.08,3.08
M,68.46,3.27,2.99
M,68.46,1.50,1.50
M,68.46,0.47,0.47
M,68.45,0.99,0.99
M,68.45,0.83,0.81
M,68.4,2.5,2.5
M,68.43,0.34,0.34
M,68.42,1.36,1.31
Z,68.42,0.66,0.66
M,68.42,4.76,4.18
M,68.42,1.08,1.08
M,68.41,0.42,0.42
M,68.41,0.79,0.79
M,68.41,1.58,1.58
M,68.41,1.54,1.54
M,68.41,0.52,0.52
M,68.41,1.86,1.86
M,68.4,0.6,0.6
M,68.39,0.44,0.44
M,68.37,2.58,2.40
M,68.36,0.48,0.48
M,68.36,0.42,0.42
M,68.36,0.52,0.52
M,68.36,1.93,1.93
M,68.35,0.76,0.74
M,68.4,5.0,5.0
M,68.33,0.36,0.36
M,68.32,0.32,0.32
Z,68.31,0.65,0.65
M,68.31,1.63,1.63
M,68.31,0.82,0.82
M,68.31,1.92,1.92
M,68.31,4.12,3.67
M,68.30,2.02,1.90
M,68.3,0.63,0.63
M,68.3,1.4,1.4
M,68.3,0.6,0.6
M,68.3,0.6,0.6
M,68.27,5.27,5.27
M,68.27,0.82,0.82
M,68.26,1.94,1.83
M,68.26,0.58,0.58
M,68.26,0.51,0.51
M,68.26,0.72,0.72
M,68.25,2.66,2.46
M,68.25,0.55,0.55
M,68.25,3.02,2.78
M,68.23,2.67,2.48
M,68.22,2.12,2.12
M,68.22,0.33,0.33
M,68.21,1.76,1.76
M,68.21,1.05,1.05
M,68.20,1.13,1.09
M,68.2,0.5,0.5
M,68.19,2.24,2.10
M,68.17,1.09,1.09
M,68.17,1.33,1.28
M,68.16,2.50,2.50
M,68.16,0.69,0.69
M,68.16,0.70,0.70
M,68.16,0.88,0.88
M,68.16,1.82,1.73
M,68.16,3.80,3.42
M,68.15,2.47,2.30
M,68.15,7.48,6.13
M,68.14,1.11,1.11
M,68.14,4.67,4.10
M,68.14,0.47,0.47
M,68.13,1.04,1.04
M,68.11,1.42,1.42
M,68.11,0.69,0.69
M,68.11,0.82,0.80
M,68.11,2.14,2.02
M,68.1,4.0,4.0
M,68.09,0.9,0.9
M,68.09,0.64,0.64
M,68.07,0.38,0.38
M,68.07,2.24,2.11
M,68.07,0.92,0.92
M,68.07,3.03,3.03
M,68.07,0.34,0.34
M,68.1,1.6,1.6
M,68.06,1.63,1.55
M,68.1,0.5,0.5
M,68.05,0.78,0.78
M,68.05,8.09,8.09
M,68.05,3.73,3.36
M,68.03,0.81,0.79
M,68.03,3.33,3.03
M,68.03,1.85,1.75
M,68.01,0.48,0.48
M,68.01,1.17,1.13
M,68.0,1.5,1.5
M,68,2.4,2.4
X,68,2,2
M,68.0,0.8,0.8
M,68,0.6,0.6
M,68,0.5,0.5
M,68.00,0.48,0.48
M,67.98,2.19,2.19
M,67.98,2.98,2.74
M,67.97,1.12,1.12
M,67.97,0.65,0.65
M,67.97,1.17,1.17
M,67.97,2.64,2.64
M,67.97,0.94,0.94
Z,67.97,1.25,1.25
M,67.96,1.66,1.66
M,67.96,1.02,1.02
M,67.95,3.05,2.80
M,67.95,3.18,2.91
M,67.95,0.29,0.29
M,67.95,2.75,2.75
M,67.95,4.40,3.90
M,67.95,1.16,1.16
M,67.94,0.85,0.85
M,67.93,0.35,0.35
M,67.93,2.45,2.45
M,67.92,0.83,0.83
M,67.92,1.19,1.19
M,67.91,0.83,0.83
M,67.9,0.6,0.6
M,67.9,0.4,0.4
M,67.89,0.95,0.93
M,67.89,0.34,0.34
M,67.89,0.35,0.35
M,67.87,0.89,0.89
M,67.87,1.41,1.35
M,67.87,0.61,0.61
M,67.87,1.07,1.07
M,67.87,0.75,0.75
M,67.87,0.89,0.89
M,67.85,0.69,0.69
M,67.85,1.74,1.74
M,67.83,1.22,1.22
M,67.82,0.71,0.71
M,67.82,3.84,3.45
M,67.81,2.09,2.09
M,67.81,0.34,0.34
M,67.81,1.13,1.13
M,67.79,1.42,1.36
M,67.79,0.98,0.96
M,67.78,0.35,0.35
M,67.78,0.83,0.83
M,67.78,1.93,1.93
M,67.78,0.53,0.53
M,67.78,2.33,2.33
Z,67.76,2.65,2.65
M,67.76,1.02,1.02
M,67.75,0.33,0.33
M,67.73,1.66,1.66
M,67.73,1.81,1.81
M,67.73,0.33,0.33
M,67.73,2.46,2.29
M,67.71,1.87,1.87
M,67.70,0.95,0.92
M,67.7,0.6,0.6
M,67.7,0.4,0.4
M,67.7,0.5,0.5
M,67.7,2.8,2.8
M,67.69,1.23,1.19
M,67.69,1.37,1.37
M,67.68,1.18,1.18
Z,67.68,0.81,0.81
Z,67.68,0.62,0.62
M,67.68,1.41,1.41
M,67.68,0.37,0.37
M,67.67,1.01,1.01
M,67.66,1.75,1.66
M,67.66,0.43,0.43
M,67.65,1.09,1.05
M,67.65,1.50,1.44
M,67.65,1.89,1.79
M,67.65,1.31,1.31
M,67.64,1.74,1.65
M,67.64,0.94,0.94
M,67.63,0.94,0.94
M,67.6,1.8,1.8
M,67.61,0.35,0.35
M,67.61,1.31,1.26
M,67.61,5.36,4.63
Z,67.6,0.6,0.6
M,67.6,1.7,1.7
Z,67.6,0.5,0.5
M,67.6,0.5,0.5
M,67.59,2.64,2.45
M,67.59,1.83,1.83
M,67.58,1.46,1.46
M,67.58,0.73,0.73
M,67.58,1.87,1.87
M,67.57,3.99,3.57
Z,67.57,0.53,0.53
M,67.6,2.1,2.1
M,67.57,1.81,1.72
M,67.56,0.75,0.75
M,67.56,1.55,1.55
M,67.55,3.15,3.15
M,67.54,0.84,0.84
M,67.54,0.47,0.47
M,67.5,2.2,2.2
M,67.53,2.13,2.13
M,67.5,3.5,3.5
M,67.51,0.50,0.50
M,67.50,1.44,1.38
M,67.5,3.6,3.6
Z,67.5,0.5,0.5
M,67.50,0.47,0.47
M,67.50,1.25,1.25
M,67.49,1.25,1.25
M,67.5,4.2,4.2
M,67.49,0.64,0.64
M,67.49,1.22,1.22
M,67.49,1.03,1.00
M,67.48,1.68,1.68
M,67.47,1.82,1.73
M,67.47,2.08,2.08
M,67.5,2.0,2.0
M,67.46,0.39,0.39
M,67.45,0.34,0.34
M,67.4,11.3,8.5
M,67.44,1.73,1.65
M,67.44,1.74,1.74
M,67.44,1.18,1.18
M,67.44,0.45,0.45
M,67.44,0.69,0.69
M,67.44,1.17,1.17
M,67.4,0.5,0.5
M,67.4,2.5,2.5
M,67.42,0.58,0.58
M,67.42,0.98,0.95
M,67.41,0.34,0.34
M,67.4,0.2,0.2
M,67.4,2.3,2.3
M,67.39,0.97,0.97
M,67.39,3.06,2.80
M,67.38,1.60,1.53
M,67.37,13.84,9.81
M,67.35,0.81,0.81
M,67.35,0.82,0.82
M,67.35,0.56,0.56
M,67.35,0.70,0.70
M,67.35,0.77,0.77
M,67.35,0.73,0.73
M,67.35,0.68,0.68
M,67.34,0.34,0.34
M,67.34,0.74,0.74
M,67.34,1.12,1.08
M,67.3,2.2,2.2
M,67.33,0.53,0.53
M,67.33,2.89,2.66
M,67.3,4.6,4.6
M,67.32,4.86,4.25
M,67.31,1.1,1.1
M,67.3,0.5,0.5
M,67.30,2.06,2.06
M,67.30,1.66,1.66
M,67.29,0.54,0.54
M,67.29,0.55,0.55
M,67.29,1.52,1.45
M,67.28,0.33,0.33
M,67.27,2.57,2.39
M,67.26,0.55,0.55
Z,67.3,3.9,3.9
M,67.26,1.98,1.98
M,67.25,5.69,5.69
M,67.25,1.37,1.32
M,67.25,0.50,0.50
M,67.25,2.34,2.34
M,67.25,0.76,0.76
M,67.25,1.28,1.28
M,67.25,0.99,0.99
M,67.25,1.09,1.09
M,67.25,1.61,1.61
M,67.25,0.92,0.92
M,67.25,1.93,1.83
M,67.24,3.69,3.33
M,67.23,0.36,0.36
M,67.23,0.57,0.57
M,67.2,2.6,2.6
M,67.21,0.87,0.87
M,67.20,1.26,1.21
M,67.2,0.7,0.7
M,67.19,1.62,1.62
M,67.19,0.92,0.90
M,67.18,4.84,4.23
M,67.18,0.32,0.32
M,67.18,0.37,0.37
M,67.18,1.01,0.98
M,67.17,1.15,1.11
M,67.17,0.43,0.43
M,67.17,0.64,0.64
M,67.16,1.11,1.11
M,67.16,1.10,1.10
M,67.16,2.60,2.60
M,67.16,0.55,0.55
M,67.14,0.33,0.33
M,67.1,1.9,1.9
M,67.13,0.36,0.36
M,67.12,0.33,0.33
M,67.12,0.47,0.47
M,67.1,2.3,2.3
M,67.11,0.55,0.55
M,67.11,0.65,0.65
M,67.11,0.90,0.90
M,67.11,2.62,2.62
M,67.10,1.88,1.78
M,67.1,0.5,0.5
M,67.1,0.5,0.5
M,67.07,0.70,0.70
M,67.06,3.96,3.96
M,67.06,0.57,0.57
M,67.06,0.60,0.60
U,67.05,0.82,0.82
M,67.04,0.38,0.38
M,67.0,0.5,0.5
M,67.03,0.71,0.71
Z,67.02,0.96,0.96
M,67.02,0.49,0.49
M,67.02,0.99,0.99
M,67.0,0.6,0.6
M,67.00,0.87,0.85
X,67,2,2
M,67,0.8,0.8
M,66.99,0.83,0.83
M,66.97,1.24,1.24
M,66.97,1.62,1.62
M,66.97,0.86,0.86
M,66.97,0.92,0.92
M,66.96,1.69,1.61
M,66.96,0.84,0.84
M,67.0,9.2,9.2
M,66.95,1.02,1.02
X,66.93,4.17,3.71
M,66.92,0.76,0.76
M,66.92,0.64,0.64
M,66.92,0.31,0.31
M,66.90,1.00,1.00
Z,66.88,0.99,0.99
M,66.88,0.5,0.5
M,66.88,0.79,0.79
M,66.87,0.98,0.98
M,66.87,1.01,1.01
M,66.87,0.40,0.40
M,66.86,1.38,1.33
M,66.86,1.07,1.07
M,66.85,1.17,1.13
M,66.85,1.57,1.50
M,66.85,1.20,1.20
M,66.84,0.64,0.64
M,66.84,0.37,0.37
M,66.84,0.71,0.71
M,66.83,0.24,0.24
M,66.83,0.41,0.41
M,66.83,3.54,3.54
M,66.83,1.39,1.39
M,66.83,0.47,0.47
M,66.82,0.95,0.95
M,66.81,0.71,0.71
M,66.81,0.84,0.82
M,66.81,1.08,1.05
M,66.80,0.83,0.81
M,66.8,0.69,0.69
M,66.8,0.5,0.5
M,66.80,1.03,1.00
M,66.79,5.46,4.69
M,66.78,2.25,2.25
M,66.78,0.89,0.89
M,66.77,1.64,1.64
M,66.77,0.63,0.63
M,66.77,0.73,0.71
M,66.77,3.28,2.99
M,66.75,0.89,0.87
M,66.75,2.28,2.28
M,66.75,0.66,0.66
Z,66.74,0.89,0.89
M,66.74,2.49,2.49
M,66.74,0.60,0.60
M,66.74,1.18,1.18
M,66.7,1.2,1.2
