Type,carbon_12_13,nitrogen_14_15
M,70.75,2353
M,70.9,731
M,71.0,803
M,71.14,919
M,71.17,276
M,71.3,476
M,71.26,2270
M,71.32,1553
Z,71.51,1419
M,71.6,13470
M,71.65,511
M,71.67,2123
M,71.68,655.34
M,71.7,2593
M,71.8,1250
M,71.8,3030
M,71.88,2960.81
M,71.94,1555
M,72.0,659
M,72.0,1163
M,72.0,6717
M,72.0,2941
M,72.0,2834
M,72.03,1111
M,72.0,2374
M,72.3,4665
M,72.3,2618
M,72.31,701
M,72.4,3579
M,72.35,443
M,72.40,272
M,72.52,3872.74
M,72.55,1524
M,72.67,513
M,72.69,1511
M,72.7,430
M,72.7,1609
Y,72.73,933
M,72.88,521
M,72.9,2273
M,72.9,658.48
M,73,273
M,73.0,5376
M,73.10,1540
M,73.20,648
M,73.27,595
M,73.29,1374
M,73.3,4284
M,73.3,794
M,73.31,258
M,73.33,768
M,73.34,2101
X,73.4,93
M,73.40,2463
M,73.45,1668
M,73.5,4465
M,73.6,1613
Z,73.63,519
M,73.8,2251
M,73.8,3143
M,73.85,2364.70
X,73.9,164.5
M,73.9,3163
M,73.9,2729
M,73.92,3066
M,73.93,1156
M,73.98,691
M,74,3049
M,74.0,411
M,74.0,1028
M,74.08,615.29
M,74.17,332.61
M,74.20,884
M,74.2,3681
M,74.27,3203.20
M,74.29,2004
X,74.3,207.4
M,74.31,2082
M,74.3,558
M,74.4,2569
M,74.5,884
M,74.5,1175
M,74.53,418
M,74.55,1069.99
M,74.68,1125
M,74.7,810.5
X,74.7,85.7
M,74.9,658
M,75.0,4141
M,74.97,926
M,75.00,1784
Z,75.00,5208
M,75.16,1284
U,75.2,47
M,75.24,566
X,75.35,68.8
M,75.36,2253
M,75.4,3661
M,75.46,356.07
M,75.54,559
M,75.55,806
M,75.56,1320
M,75.7,5028
M,75.68,2763
M,75.77,668
M,75.83,986
M,75.9,2959
M,75.91,1489
M,76.1,661
M,76.09,557
M,76.15,2708
Z,76.2,2431
M,76.43,815
M,76.60,318
M,76.66,564
M,76.7,3641
M,76.70,316.91
M,76.72,591
M,76.76,897
M,76.78,2898
X,76.9,144.4
Z,76.9,1822
M,76.9,1879
M,76.9,658
M,76.9,693
X,77,102
M,77.04,330
M,77.09,1050
M,77.1,3127
M,77.2,2784
M,77.17,766.65
M,77.21,751
M,77.3,3074
M,77.3,3745
M,77.4,4587
M,77.46,1509
M,77.7,239
M,77.7,17860
M,77.76,367
M,77.89,581
M,77.92,1084
M,77.94,1425
M,77.94,424
M,77.97,744
M,78.01,2194
M,78.02,1586
M,78.04,325
M,78.09,318
M,78.2,1267
X,78.3,112.3
M,78.33,1027
M,78.5,2925
M,78.5,427
M,78.55,2397.27
M,78.7,587
M,78.9,2015
M,78.9,626
M,79.2,564
M,79.5,3828
M,79.6,2816
M,79.6,517
M,79.69,683
M,79.82,551
M,80.07,1171.49
M,80.3,1907
Z,80.44,368
M,80.51,453
M,80.5,5739
M,80.5,3115
M,80.56,1347
M,80.70,769
M,80.70,922
M,80.74,3003
M,81.2,1711
M,81.35,1371
M,81.56,669
M,81.8,377
M,81.82,1258
X,81.84,69.64
M,82.0,1431
M,82.0,573
M,82.11,3907
X,82.2,71.9
M,82.85,1877
M,83.0,1152
M,83.20,495
M,83.22,786.73
M,83.3,3405
M,83.38,391
X,83.49,63.38
M,83.5,4899
M,83.5,339
M,83.6,2532
M,83.60,780
M,83.68,1835
M,83.8,1186
M,83.89,476
M,83.95,625
M,84.06,2394
M,84.1,2160
M,84.25,2184
X,84.3,74.6
X,84.4,49
X,84.56,90.12
M,84.68,476
M,85.0,1248
M,85.02,1047
Z,85.6,940
M,85.8,515
X,85.9,82.4
M,86.0,2793
M,86.30,346
M,86.35,418
M,86.36,2235
M,86.4,859
M,86.62,331
M,86.6,2507
M,86.74,279
M,86.77,1008
M,87.06,2594
X,87,87
Z,87.21,2134
M,87.35,2849
M,87.4,2620
M,87.58,772
M,88.1,6411
X,88.3,152.0
M,88.3,2989
M,88.4,4179
M,88.7,471
M,88.8,2858
M,88.87,267
M,89.1,290
M,89.2,4823
M,89.65,980
M,89.66,1184
M,89.83,1640
M,90.0,256
M,90.14,951
M,90.2,304
X,90,83
M,90.29,516.87
M,90.40,1771
M,90.4,340
M,90.44,290
M,90.5,5643
M,90.52,873
M,90.57,505
M,90.7,326
M,90.67,903
M,90.8,287
M,90.87,674.18
M,90.9,289
M,91.0,3333
M,91.03,1480
M,91.1,1529
M,91.1,300
M,91.18,2645
M,91.21,277
M,91.42,2444
M,91.5,6355
M,91.55,284
M,91.6,2427
M,91.6,3102
X,91.6,49
M,91.7,1463
M,91.83,282
M,91.83,317
M,91.9,309
M,92.2,1437
M,92.25,395
M,92.3,1011
M,92.4,1083
M,92.4,1388
M,92.40,296
X,92.4,71.1
M,92.51,2333
M,92.51,1056
M,92.57,1866
M,92.59,270
M,92.83,563
M,92.88,248
M,92.88,292
M,92.98,276
M,92.98,289
M,93,1751
M,93.1,1380
M,93.1,3160
M,93.17,261
M,93.17,288
M,93.27,281
M,93.37,269
M,93.4,198
X,93,198
M,93.46,286
M,93.56,268
M,93.7,3120
M,94.0,651
M,94.15,907
M,94.2,1215
M,94.4,2164
X,94.4,68.1
Z,94.44,1248
M,94.79,478
X,95,52
M,95.0,2125
M,95.48,2833
M,95.6,909
M,95.8,8834
M,95.86,790
X,96,70
M,96.4,1246
M,96.75,2007.48
X,96.8,175
X,96.8,34.5
M,96.9,1320
M,96.87,748
X,97.0,113
M,97.9,1865
M,97.96,1547
M,98.1,1070
M,98.1,1423
M,98.5,3435
Y,98.85,829.34
Y,99.5,293
X,99.6,182
M,99.8,1583
X,100.76,62.3
M,100.9,7536
X,101,22.6
X,101.0,45
X,101,136
Y,101,1650
M,101.7,4012
X,101.9,102.0
Y,101.94,762
Y,102,1238
X,102.7,88.8
M,103.4,1441
M,104.6,2710
Y,105.6,970
M,105.8,2401
Y,105.83,313
Y,106,1309
Y,106,1537
M,106.5,1712
Y,108.0,3691
Y,108.38,1313
M,108.5,637
C,108.93,147.00
Y,110,336
Y,110.0,6651
Y,110.1,5474
Y,110.3,1472
X,111,125
M,110.9,365
Y,111.0,273.4
Y,111.9,5914
M,111.9,267
Y,112,311
Y,112,2388
M,112.0,608
M,112.5,1828
Y,112.65,1491
X,113,72
X,113,164
Y,113.11,942.53
X,114.3,67.2
X,114.3,59.4
Y,114.9,306
Y,115,2424
Y,115,2747
Y,115.1,1667
Y,115.40,3569
X,115.6,45.2
Y,116.1,480
X,116.7,58.2
X,117,49
Y,117.12,534
Y,117.2,1496
X,117.2,78.0
Y,117.97,1696
Y,118,3468
Y,118.5,4271
Y,119.0,2574
X,119,125
Y,119,1610
X,119.3,66.1
X,119.4,110.4
Y,119.69,890
Y,120,3378
X,120.5,46.0
X,121.1,103
Y,121.8,1412
Y,121.9,555
Y,122.0,396
Y,122,920
X,122.6,55
Y,123,1024
Y,123,2275
Z,123,19020
Y,123.1,3456
X,123.3,124.0
Y,124,2039
Y,124.01,1492
Y,124.1,1421
X,124.59,83.5
Y,125,3240
Y,126.1,5212
X,126.6,36.5
Y,127,706
Y,127.2,1761
Y,127.5,693
Y,127.9,3127
Y,128.43,749
X,129.64,72.7
Y,130.48,1493
Y,131.12,510
Y,131.7,996
X,133.3,44.6
Y,133.6,1113
X,134,70
X,134.3,37.8
M,135.2,699
Y,136.2,3470
X,136.7,87.4
X,136.7,116.3
Y,138.5,5309
Y,139.7,4252
Y,139.7,1396
X,140,97
Y,141.2,678
Y,141.3,2301
Y,142,1402
X,143,76.5
X,143.1,113.3
Y,145,2544
X,145.16,128.5
Y,146.0,931
X,147.3,56.4
X,148,271
X,148.3,220
X,149.26,61.98
Y,150,2000
X,150.5,54.6
Y,151,1401
X,151.2,56.7
Y,152.6,7590
Y,153.44,838
X,154.0,152
Y,154,1146
X,154.5,57.5
Y,154.79,2751
Y,155.2,3584
X,157,34
Y,157,691
Y,157.6,1502
X,157.8,69.3
X,158.7,66
X,159,72.3
Y,159,3163
Y,159.9,5046
X,161,62
Y,161.47,419
Y,161.5,3576
Y,161.51,2962
Y,162,2093
X,163.9,70.6
X,164.8,27
X,166.1,77.2
Z,167.60,1550
X,168,159
X,169.6,154
X,170,116
Y,170.1,274
X,173.3,67.7
X,174.6,78
Y,175.18,4954
X,177,138
X,178.11,132
X,181.8,68.0
X,182.9,128.7
X,184,78
X,185,62
X,185.7,63.6
X,187.4,91.8
X,189.6,56.1
X,190.2,27.56
X,191,71
X,191.7,64.3
C,192.03,58.4
Y,193,824
X,193.2,56.4
Y,194.4,813
X,195,90.2
X,195.3,50.0
Y,197.72,500.98
X,197.92,41.74
X,199.3,68.4
Y,203,718
X,203.9,63.5
X,203.9,63.5
X,206.2,48.5
X,209.2,66.2
X,210.33,78.1
X,216,65.1
X,216.59,111.72
X,223,102
X,226,87
Y,229,465
X,230.4,47.1
X,232,61
C,233,120
X,234.7,63.0
X,234.75,187.2
X,236,44.1
X,243.4,59.8
X,254.44,68.73
Y,258.22,529
X,274,66.9
X,276.7,58.9
X,277.8,55.7
X,286,68
X,287.4,49
X,287,49
X,289.9,66.8
X,294,43
Y,295,1994
X,301.6,99
X,301.9,49
X,304,106
X,306.3,76.2
X,310.6,44.8
X,314,377
X,315.1,54.7
X,316.6,73.2
X,317,111.0
X,317,62.8
X,328.1,87.8
X,329,66
X,330.8,53.7
X,336,56
X,342,54
X,344.6,145.8
X,348,75.6
X,357,81
X,357.28,111.4
X,364,82.3
X,365.6,64.4
X,372,62
X,378,54
X,381,54.2
X,381,82
X,381.37,84.5
C,386.61,43
X,389,158
X,391,39
X,395.41,14.25
X,396.9,53.8
X,430,21
X,442.8,32.1
X,443,49
X,448,69.0
X,454,49.3
X,455,140
X,468.6,76.4
X,475,62
X,489,70.2
X,506.1,65.1
X,508.6,62.6
X,532,62
X,534,56.8
X,552.0,58
X,556,80
X,570,81.4
X,577.2,180
X,578.92,148.16
X,586,57.0
X,603,25.8
X,604,33.0
X,614.03,32.03
X,617,51.2
X,621,70.2
X,634,63
X,648.5,78.2
X,677,59.9
X,678.5,58.7
X,693.38,124.4
X,705,42.7
X,729,40.6
X,765,68
X,823,44
C,844,213
X,880.6,47.2
X,959,71
X,999,47.2
X,1026,88
X,1038,45.4
X,1086,51.5
X,1128.8,38.3
X,1135,18.1
X,1219,54
X,1229,58.7
X,1234,21
X,1272,96.5
X,1296.0,33
X,1299.53,30.02
X,1357.41,45.8
X,1413,46.9
X,1453.1,43.7
X,1510.1,45.3
X,1528,46
X,1549.52,60
X,1581,116
X,1621,13
X,1693.89,63.2
X,1721,56.9
X,1848,6.9
X,1877,48
X,2224,31.6
X,2234.3,36.4
X,2377.19,18.5
X,2509.69,38.3
X,2525,12.6
X,2807,83
X,2882.4,21
X,3101.02,28.2
C,3290.1,31.5
X,4250,23.3
X,6227,61
X,6793,27
X,9455.1,28
