Type,carbon_12_13,nitrogen_14_15
M,24.2,1246
M,24.29,4485
M,24.3,1512
M,24.32,1448.52
M,24.9,1013
M,24.9,548
M,25.1,326
M,25.18,1233
M,25.3,476
U,25.4,45
Z,25.6,6536
M,25.64,2167.23
M,25.70,719
M,25.72,560
X,26.1,29.2
M,26.3,3380
M,26.3,536
M,26.53,1686
M,26.6,1029
M,26.7,1734
M,26.70,3204
X,26.71,36.3
M,26.76,971
M,27.0,1753
M,27.04,3349.01
M,27.1,959
M,27.1,6005
M,27.3,2636
M,27.30,1719
M,27.37,1796
M,27.40,1502
M,27.4,1577
M,27.48,1063
M,27.66,4262
M,27.67,3173
M,27.70,4902
M,27.80,3791
M,27.80,3891
M,27.85,1397
M,27.9,715
Z,28,3869
M,28.14,445
M,28.21,469.8
M,28.30,1256
M,28.4,1845
M,28.40,1195
M,28.7,424
M,28.83,2844
M,29.2,638
M,29.3,1092
M,29.4,1260
M,29.5,4768
M,29.6,2321
M,29.81,750
M,29.8,8978
M,30.23,420.81
M,30.2,6467
M,30.4,640
M,30.45,364
M,30.76,3366
X,31.0,48.1
M,31.0,2166
M,31.0,6345
M,31.2,6734
M,31.26,2149
M,31.3,2217
M,31.63,1945
M,31.71,2007
M,32.08,2390
M,32.1,3987
M,32.36,286
M,32.7,3281
Z,32.8,559
M,33.02,921
M,33.19,469
M,33.3,1525
M,33.35,394
M,33.40,2007
M,33.5,2523
M,33.8,1167
M,33.8,2246
M,34.0,3892
M,33.99,2505
M,34.07,522
M,34.36,1864
M,34.5,1562
M,34.5,2519
M,34.76,749
M,34.9,4730
M,34.9,1366
M,35.1,3193
M,35.13,3807
M,35.2,3098
M,35.3,1409
M,35.41,208
X,35.6,34.8
M,35.7,474
M,35.8,19023
M,36.0,3994
M,36.1,4066
M,36.16,658
M,36.4,789
M,36.49,2193
M,36.76,785
M,36.88,3729
M,37.0,2306
M,37.10,789
M,37.1,9737
M,37.2,2571
M,37.29,513.02
M,37.4,237
M,37.4,5246
M,37.7,2706
M,37.7,2610
Z,37.77,434
M,37.79,963
M,37.8,1067
M,37.9,2451
M,37.9,649
M,38.0,3651
M,38,1708
M,38.20,1620
M,38.28,298
M,38.3,794
M,38.3,6539
M,38.4,4982
M,38.5,1801
M,38.9,1739
M,38.99,1068
X,39,24.9
M,39.2,5113
M,39.2,1456
M,39.28,2049
M,39.4,1055
X,39.5,62.7
M,39.72,865
M,39.7,577
M,39.76,2964
M,39.8,385
M,39.9,2376
M,39.88,1310
M,39.9,1236
M,40.16,3051
M,40.2,464
M,40.29,7452
M,40.3,598
M,40.4,1637
M,40.42,833
X,40.4,55.3
M,40.48,756
M,40.7,3137
M,40.68,453
M,40.72,388
X,41,71
M,40.8,2315
M,40.9,2920
M,40.86,424
M,40.9,1842
M,41.0,5066
M,41.0,3566
M,41.07,321.25
M,41.1,2833
M,41.1,14304
M,41.2,9714
M,41.3,3230
M,41.3,4626
M,41.30,1259
M,41.30,3597
Z,41.31,587.4
M,41.35,831
M,41.4,2526
M,41.5,367
M,41.51,462
M,41.5,3193
M,41.63,2109
X,41.70,116.2
M,41.7,3479
M,41.71,1818
M,41.76,398
M,41.8,2815
M,41.8,4077
M,41.8,2989
M,41.8,3565
M,41.8,3063
M,41.84,244.19
M,41.89,445
M,41.9,9253
M,41.98,1531
M,42.00,331
M,42,2068
M,42.0,1021
M,42.0,1481
M,42.1,1341
M,42.1,553
M,42.1,781
M,42.2,675
M,42.2,8635
M,42.23,231.71
M,42.30,2174
M,42.30,4196
M,42.4,2006
M,42.5,568
M,42.6,1363
M,42.66,1322
M,42.69,1053
M,42.69,950.92
M,42.7,1179
M,42.74,399
X,42.8,135
M,42.8,5849
M,42.78,684
M,42.78,762
M,42.98,1420
M,43.0,3594
M,43.0,4928
M,43.03,408
M,43.1,1968
M,43.1,481
M,43.1,2204
M,43.1,933
M,43.15,1915
M,43.20,641
M,43.2,978.28
X,43,25
M,43.4,2775
M,43.4,8412
M,43.45,763.01
M,43.5,1337
M,43.57,911
M,43.6,2435
M,43.7,2145
M,43.79,2151
