Type,carbon_12_13,nitrogen_14_15,aluminum_26_27,silicon_29_28,silicon_30_28
M,83.22,786.73,0.000917755,9,32
M,50.97,1895.09,0.000823164,9,-23
M,46.6,3891,0.00074,12.8,34.8
AB,3.26,56,0.00373,13,54
M,58.66,735,0.000512514,13,28
AB,8.31,2171,0.00004,14,19
M,57.30,3472,0.000280,14.2,33.1
M,84.06,2394,0.00038,15,14
Y,122,920,0.000456,14.6,69
M,73.34,2101,0.00019,16,32
M,60.75,718.71,0.000653692,16,-80
Y,154,1146,0.000217,16.0,62.0
M,54.33,209,0.0148,17,6
AB,2.22,79,0.00501,17,39
AB,5.45,243,0.00030,18,11
AB,4.43,158,0.0562,18.3,170.8
M,54.17,214,0.011,19,23
M,31.26,2149,0.001,19,-3
AB,1.88,67,0.00205,20,33
M,52.29,824.51,0.0000747,22,-23
Y,123,2275,0.000326,22.9,79.6
AB,2.37,138,0.00503,23,29
AB,2.71,305,0.00170,23,42
Y,295,1994,0.00136,23.0,171.7
Y,258.22,529,0.00089,23,135
M,57.03,494.54,0.000704747,24,-30
M,68.41,1871,0.000040,24,44
Y,120,3378,0.000200,25.2,66.2
M,65.38,1036.33,0.001325089,26,-28
AB,3.48,1422,0.00245,26,28
M,66.16,1763.68,0.00047525,27,40
M,58.0,2058,0.000170,27.0,38.7
M,72.0,2941,0.000440,27.4,41.7
AB,3.46,157,0.00077,29,59
AB,8.31,2081,0.00027,29,53
M,71.67,2123,0.0013,30,38
M,65.40,1637,0.00028,30.6,50.1
M,92.51,2333,0.00021,31,20
M,74,3049,0.00045,30.7,42.6
AB,2.92,107,0.0048,31,36
M,65.50,1256,0.00037,32,31
AB,5.51,1230,0.00030,31.9,13.9
AB,4.18,294,0.00115,32,56
AB,5.17,794,0.00307,33,48
M,14.01,747,0.0016,34,45
AB,3.573,62.6,0.0024,34,60
M,24.29,4485,0.000210,34,50
M,47.56,623.82,0.000797998,35,-10
M,75.36,2253,0.00029,35,36
M,10.12,2955,0.002,35,5
M,56.87,1176,0.00019,36,48
AB,2.71,286,0.00194,37,48
M,16.93,774.58,0.002013995,37,11
AB,6.052,3546,0.0016,37,-47
M,52.1,567.36,0.000854907,38,56
M,45.87,1208,0.00047,40,31
M,64.86,1373,0.00018,40,57
M,63.57,3430,0.00024,41,33
M,19.57,1951.22,0.000962889,42,29
M,28.83,2844,0.00032,42,39
M,63.29,2448,0.00041,43,50
M,63.50,3236,0.000320,43.6,48.0
M,76.15,2708,0.00037,45,48
AB,4.87,81,0.00436,45,53
AB,8.70,2468,0.00154,45,52
M,72.3,2618,0.00057,45.4,39.6
M,62.79,1211,0.00064,46,38
M,64.0,4132,0.000510,46.1,55.6
M,61.90,3425,0.000300,46.2,38.7
AB,5.80,4612,0.0035,47,36
M,63.80,3413,0.00048,47.7,51.5
AB,6.26,441,0.00018,48,34
M,64.46,1486,0.00031,48,42
M,64.6,4444,0.000540,48.5,59.5
M,23.71,733,0.000063,49,46
M,69.50,3984,0.00064,49.5,64.4
M,55.63,1384,0.00092,50,51
M,63.38,2696,0.00049,50,49
M,60.20,1942,0.00066,50.8,51.5
M,28.40,1195,0.0019,51,49
M,64.25,523,0.00084,52,60
M,61.90,6711,0.000840,52.1,53.7
M,62.80,2874,0.000080,53.2,60.1
M,63.93,1528,0.00036,54,59
AB,4.79,68,0.00659,53.9,67.4
M,40.9,1842,0.00095,54.3,55.5
M,71.26,2270,0.00026,55,45
M,27.85,1397,0.00070,55,70
N,5.1,19.7,0.0114,55,119
M,51.1,1051.15,0.001207312,56,52
M,65.00,2018,0.00027,57,28
M,45.55,4695,0.00037,57,38
M,45.67,1792.28,0.000407734,57,43
AB,3.83,729,0.00423,58,59
M,67.11,410.32,0.001115676,59,-4
AB,4.86,5838,0.00116,59,71
M,62.33,1119,0.00078,61,54
M,37.2,2571,0.0036,61.2,53.1
M,47.72,425,0.00015,63,70
M,26.70,3204,0.00021,64,57
AB,2.66,79,0.00220,64,78
AB,2.35,115,0.00334,64,29
AB,2.87,134,0.00435,64,38
Y,115,2747,0.00144,64.2,95.2
M,19.26,7143,0.000600,64.5,51.3
M,49.50,2217,0.00082,66.3,53.6
Y,115,2424,0.000284,66.3,65
M,30.23,420.81,0.001232325,68,46
M,17.03,651.69,0.001328692,68,51
M,21.8,718,0.00778,68.6,71.9
M,51.00,1190,0.000900,68.7,65.4
M,65.74,625,0.00090,69,68
M,47.80,845,0.0086,70,70
M,48.24,1348,0.00021,70,61
AB,4.770,431,0.00063,70.6,51.6
M,63.0,226,0.00142,71,56
M,49.08,328,0.000100,72,75
M,61.50,3115,0.00024,71.6,54.6
M,19.43,1736,0.00013,72,57
M,19.20,2097,0.00051,72,66
M,60.00,5747,0.00066,73.4,71.0
M,57.26,1155,0.0012,74,71
M,50.5,571.57,0.000859431,76,79
M,61.35,2741,0.00035,76,63
M,68.16,1318,0.00021,76,42
AB,2.98,340,0.00113,77,57
AB,2.35,240,0.00028,79,75
AB,2.86,543,0.00153,79,75
AB,7.76,776,0.00191,79,76
M,50.3,3937,0.00068,81.0,78.2
M,41.71,1818,0.00018,82,89
AB,6.87,290,0.00049,83,37
AB,3.08,464,0.0018,84,72
Y,142,1402,0.00106,84.3,120.6
AB,7.07,840,0.00103,85,72
AB,2.97,463,0.00004,86,62
M,57.9,931.57,0.000228848,86,4
M,92.51,1056,0.0002,87,69
AB,3.21,114,0.00580,88,86
M,92.83,563,0.001,88,62
M,50.30,2353,0.00039,89.6,70.4
M,53.10,4202,0.00088,90.8,80.6
Z,23.58,2041,0.00019,92.4,193.2
M,52.39,2144,0.00133,95,91
M,51.64,2184,0.00147,95,80
AB,8.74,917,0.00087,96,82
Y,203,718,0.00400,95.8,183.4
M,51.54,1138,0.00055,96,83
M,56.00,5814,0.00086,98.5,86.2
M,50.80,2801,0.000600,99.9,79.4
AB,4.50,1689,0.0039,101.7,63.8
M,51.86,2566,0.00061,103,50
M,57.91,2709,0.00063,106,75
M,62.30,2000,0.000220,107.0,93.9
M,59.85,1008,0.00055,115,90
M,44.00,1153,0.00130,120.0,102.1
X,96.8,34.5,0.035,124,-363
M,47.50,4386,0.00124,128.3,104.9
M,43.2,978.28,0.000360981,140,112
M,43.1,481,0.00135,141.8,107.7
M,54.99,1231,0.00027,142,102
M,43.15,1915,0.00031,145,119
M,47.74,442.83,0.001212722,146,111
M,41.89,445,0.00041,151,124
M,45.1,785.89,0.001297854,156,-446
M,43.79,2151,0.00015,160,135
M,42.69,1053,0.00070,164,119
M,41.30,3597,0.00084,168.3,141.9
AB,7.74,446,0.00128,201,132
M,74.17,332.61,0.000913925,577,-187
C,108.93,147.00,0.122,1082,1207
C,192.03,58.4,0.0017,1345,1272
