Type,d(29Si/28Si),d(30Si/28Si)
X,-207,-326
X,-246,-325
X,-217,-322
X,-201,-322
X,-706,-322
X,-193,-321
X,-499,-320
X,-211,-319
X,-166,-318
X,-203,-318
X,-165,-318
X,-556.53,-317.31
X,-521,-317
X,-199,-317
X,-157,-316
X,-209,-315
X,-193,-314
X,-200,-313
X,-281,-312
X,-235,-309
X,-540,-308
X,-314,-308
X,-180.32,-306.64
X,-233,-305
X,-205,-305
X,-87,-304
X,-197,-303
X,-204,-302
X,-447,-301
X,-188,-300
X,-381,-298
X,-205,-297
X,-173,-296
X,-303.3,-295.3
X,-381,-295
X,-294,-295
X,-180,-293
X,-162,-291
X,-218,-289
X,-164,-289
X,-188,-287
X,-162,-286
X,-195,-283
X,-188,-279
X,-174,-279
Y,143,-278
X,-168,-278
X,-208,-277
X,-200,-276
X,-346,-274
X,-155,-273
X,-171,-273
X,-185,-272
X,-147,-270
X,-180,-269
X,-300,-268
X,-185,-268
X,-223,-266
X,-178,-265
X,-161,-265
X,-165,-264
X,-151,-264
X,-176,-263
X,-165,-262
X,-149,-262
X,-160.85,-261.36
X,-377,-261
X,-351,-259
X,-104,-259
X,-151,-255
X,-196,-255
X,-140,-254
X,-169,-252
X,-170,-252
X,-161,-249
X,-148,-249
X,-302,-248
X,-177,-248
X,-152,-246
X,-230,-245
X,-197,-245
X,-556,-245
X,-323,-245
X,-148,-244
X,-156,-243
X,-218,-242
X,-271,-242
X,-281,-240
X,-134,-239
X,-183,-239
X,-199,-238
X,-186,-235
X,-284,-235
X,-658,-234
X,-145,-230
X,-237,-230
X,-258,-229
X,-148,-228
X,-229,-227
X,-139,-225
X,-200,-224
X,-150,-221
X,-126,-219
X,-150,-218
X,-152,-216
X,-110,-208
X,-281,-208
X,-309,-207
X,-165,-206
X,-120,-205
X,-130,-205
X,-152,-205
X,-125,-201
X,-215,-200
X,-129,-200
X,-130,-199
X,-160,-197
X,-266,-197
X,-156,-197
X,-116,-195
X,-606,-195
X,-145,-195
X,-305,-195
X,-119,-194
X,-119,-194
X,-98,-191
X,-336,-189
X,-236,-189
X,-96,-189
M,577,-187
X,-146,-187
X,-89,-186
C,263,-185
M,-172,-184
X,-106,-184
X,-106,-184
X,-141,-183
X,-146,-180
M,-71,-178
C,634,-177
X,-94,-171
X,56,-171
X,-181,-167
X,-100,-167
X,-129,-163
X,-78,-162
X,-190,-162
X,-137,-161
U,-78,-161
M,-104,-152
X,-104,-151
X,-113,-150
U,-99,-149
X,-212,-148
X,-112,-147
X,-135,-147
X,17,-146
X,-69,-145
M,-108,-143
X,-104,-143
M,-22,-142
X,-168,-142
X,-108,-139
X,-71,-134
X,-134,-129
M,-108,-128
Y,-75,-127
U,303,-127
X,-161,-127
