PGD Type,Type,Grain Label,Meteorite,12C/13C,err+[12C/13C],err-[12C/13C]
M,M,M33-97-8,Murchison,67.65,1.89,1.79
M,M,KJH6-551,Murchison,67.65,1.31,1.31
M,M,Muri11B-68-1,Murchison,67.64,1.74,1.65
M,M,KJB2-11-5-9,Murchison,67.64,0.94,0.94
M,M,M7b@3_41_1_mg_9,Murchison ,67.63,0.94,0.94
M,M,KJE897,Murchison,67.6,1.8,1.8
M,M,KJGN10-02-3,Murchison,67.61,0.35,0.35
M,M,Muri11B-271-3,Murchison,67.61,1.31,1.26
M,M,M26a-299-3,Murchison,67.61,5.36,4.63
Z,Z,Oct-16-8-8,Indarch,67.6,0.6,0.6
M,M,reg4p2_21_1_3,Indarch,67.6,1.7,1.7
Z,Z,region4again_1_1_2,Indarch,67.6,0.5,0.5
M,M,region4again_3_1_4,Indarch,67.6,0.5,0.5
M,M,M26a-221-12,Murchison,67.59,2.64,2.45
M,M,KJA1-2-21-2,Murchison,67.59,1.83,1.83
M,M,M7@14_1_1_mg_13,Murchison ,67.58,1.46,1.46
M,M,M7@15_26_1_mg_4,Murchison ,67.58,0.73,0.73
M,M,KJB2-1-3-2,Murchison,67.58,1.87,1.87
M,M,Muri11B-286-4,Murchison,67.57,3.99,3.57
Z,Z,WF_5#7.14,Murchison ,67.57,0.53,0.53
M,M,KJE702,Murchison,67.6,2.1,2.1
M,M,M8-2-14,Murchison,67.57,1.81,1.72
M,M,KJH3-222,Murchison,67.56,0.75,0.75
M,M,WF_5#6.11,Murchison ,67.56,1.55,1.55
M,M,KJA1-6-6-4,Murchison,67.55,3.15,3.15
M,M,KJB2-11-11-10,Murchison,67.54,0.84,0.84
M,M,KJE-a2-29-2,Murchison,67.54,0.47,0.47
M,M,KJE475,Murchison,67.5,2.2,2.2
M,M,KJB2-1-3-12,Murchison,67.53,2.13,2.13
M,M,KJE057,Murchison,67.5,3.5,3.5
M,M,KJE-a2-6-16,Murchison,67.51,0.50,0.50
M,M,Muri11B-434-1,Murchison,67.50,1.44,1.38
M,M,S1,Semarkona,67.5,3.6,3.6
Z,Z,region5p1_16_1_2,Indarch,67.5,0.5,0.5
M,M,WF_6#6.4,Murchison ,67.50,0.47,0.47
M,M,KJH6-751,Murchison,67.50,1.25,1.25
M,M,KJH9-051,Murchison,67.49,1.25,1.25
M,M,KJE647,Murchison,67.5,4.2,4.2
M,M,KJB2-11-8-5,Murchison,67.49,0.64,0.64
M,M,M7b@3_42_1_mg_3,Murchison ,67.49,1.22,1.22
M,M,M26a-117-1,Murchison,67.49,1.03,1.00
M,M,KJH10-UL21,Murchison,67.48,1.68,1.68
M,M,M10B-26-10,Murchison,67.47,1.82,1.73
M,M,KJA1-1-8-4,Murchison,67.47,2.08,2.08
M,M,KJE699,Murchison,67.5,2.0,2.0
M,M,KJE-a2-16-16,Murchison,67.46,0.39,0.39
M,M,KJE-a1-20-9,Murchison,67.45,0.34,0.34
M,M,KJC181,Murchison,67.4,11.3,8.5
M,M,Muri11B-332-1,Murchison,67.44,1.73,1.65
M,M,M7@8_17_1_mg_7,Murchison ,67.44,1.74,1.74
M,M,M7@15_45_1_mg_1,Murchison ,67.44,1.18,1.18
M,M,M7b@1_5_1_mg_6,Murchison ,67.44,0.45,0.45
M,M,M7b@1_6_1_mg_10,Murchison ,67.44,0.69,0.69
M,M,M7b@2_9_1_mg_8,Murchison ,67.44,1.17,1.17
M,M,LS+LU-JA-26,Murchison,67.4,0.5,0.5
M,M,KJE817,Murchison,67.4,2.5,2.5
M,M,KJB2-17-6-5,Murchison,67.42,0.58,0.58
M,M,Muri11B-29-3,Murchison,67.42,0.98,0.95
M,M,KJGN10-06-4,Murchison,67.41,0.34,0.34
M,M,SiC121,Murchison,67.4,0.2,0.2
M,M,M1N2c,GRV 021710,67.4,2.3,2.3
M,M,M7b@2_6_1_mg_7,Murchison ,67.39,0.97,0.97
M,M,Muri11B-309-2,Murchison,67.39,3.06,2.80
M,M,Muri11B-460-3,Murchison,67.38,1.60,1.53
M,M,M42-166-3,Murchison,67.37,13.84,9.81
M,M,WF_3#25.13,Murchison ,67.35,0.81,0.81
M,M,M7@8_4_1_mg_3,Murchison ,67.35,0.82,0.82
M,M,M7@9_7_1_mg_3,Murchison ,67.35,0.56,0.56
M,M,M7b@1_3_1_mg_41,Murchison ,67.35,0.70,0.70
M,M,M7b@3_21_1_mg_1,Murchison ,67.35,0.77,0.77
M,M,M7b@3_33_1_mg_11,Murchison ,67.35,0.73,0.73
M,M,WF_3#9.1,Murchison ,67.35,0.68,0.68
M,M,KJE-C-Si-6-3,Murchison,67.34,0.34,0.34
M,M,KJB2-11-2-5,Murchison,67.34,0.74,0.74
M,M,Muri11B-273-1,Murchison,67.34,1.12,1.08
M,M,KJE345,Murchison,67.3,2.2,2.2
M,M,KJB2-13-35-6,Murchison,67.33,0.53,0.53
M,M,M42-164-4,Murchison,67.33,2.89,2.66
M,M,KJE513,Murchison,67.3,4.6,4.6
M,M,M33b-169-4,Murchison,67.32,4.86,4.25
M,M,KJB2-4-2-7,Murchison,67.31,1.1,1.1
M,M,region5p1_17_1_5,Indarch,67.3,0.5,0.5
M,M,M7b@2_72_1_mg_4,Murchison ,67.30,2.06,2.06
M,M,WF_3#16.4,Murchison ,67.30,1.66,1.66
M,M,KJB2-7-4-4,Murchison,67.29,0.54,0.54
M,M,KJB2-14-13-1,Murchison,67.29,0.55,0.55
M,M,Muri11B-370-9,Murchison,67.29,1.52,1.45
M,M,KJB2-13-29-9,Murchison,67.28,0.33,0.33
M,M,Muri11B-319-2,Murchison,67.27,2.57,2.39
M,M,KJH2-UR11,Murchison,67.26,0.55,0.55
Z,Z,KJE459,Murchison,67.3,3.9,3.9
M,M,KJB2-3-24-13,Murchison,67.26,1.98,1.98
M,M,KJA1-2-12-5,Murchison,67.25,5.69,5.69
M,M,Muri11B-208-5,Murchison,67.25,1.37,1.32
M,M,M7@14_22_1_mg_1,Murchison ,67.25,0.50,0.50
M,M,M7@14_62_1_mg_7,Murchison ,67.25,2.34,2.34
M,M,M7b@2_1_1_mg_4,Murchison ,67.25,0.76,0.76
M,M,M7b@2_3_1_mg_6,Murchison ,67.25,1.28,1.28
M,M,M7b@3_5_1_mg_3,Murchison ,67.25,0.99,0.99
M,M,M7b@3_27_1_mg_3,Murchison ,67.25,1.09,1.09
M,M,KJB2-9-1-16,Murchison,67.25,1.61,1.61
M,M,WF_1#9.3,Murchison ,67.25,0.92,0.92
M,M,Muri11B-351-6,Murchison,67.25,1.93,1.83
M,M,M33c-291-5,Murchison,67.24,3.69,3.33
M,M,KJE-a1-8-2,Murchison,67.23,0.36,0.36
M,M,KJB2-13-33-2,Murchison,67.23,0.57,0.57
M,M,KJE150,Murchison,67.2,2.6,2.6
M,M,KJH10-LR33,Murchison,67.21,0.87,0.87
M,M,M26a-223-1,Murchison,67.20,1.26,1.21
M,M,reg4p2_30_1_2,Indarch,67.2,0.7,0.7
M,M,KJB2-2-5-5,Murchison,67.19,1.62,1.62
M,M,Muri11B-319-1,Murchison,67.19,0.92,0.90
M,M,M26a-54-3,Murchison,67.18,4.84,4.23
M,M,KJE-a1-24-19,Murchison,67.18,0.32,0.32
M,M,KJE-a2-54-2,Murchison,67.18,0.37,0.37
M,M,Muri11B-365-10,Murchison,67.18,1.01,0.98
M,M,M8-33-3,Murchison,67.17,1.15,1.11
M,M,WF_3#22.10,Murchison ,67.17,0.43,0.43
M,M,KJG2-2410,Murchison,67.17,0.64,0.64
M,M,KJB2-6-2-2,Murchison,67.16,1.11,1.11
M,M,M7@8_8_1_mg_22,Murchison ,67.16,1.10,1.10
M,M,M7@13_1_1_mg_1,Murchison ,67.16,2.60,2.60
M,M,M7@14_22_1_mg_7,Murchison ,67.16,0.55,0.55
M,M,KJE-a1-25-24,Murchison,67.14,0.33,0.33
M,M,KJE396,Murchison,67.1,1.9,1.9
M,M,KJE-a2-10-23,Murchison,67.13,0.36,0.36
M,M,KJE-a1-21-1,Murchison,67.12,0.33,0.33
M,M,KJGN10-33-3,Murchison,67.12,0.47,0.47
M,M,KJE179,Murchison,67.1,2.3,2.3
M,M,M7@8_6_1_mg_36,Murchison ,67.11,0.55,0.55
M,M,M7@8_33_1_mg_5,Murchison ,67.11,0.65,0.65
M,M,M7b@3_39_1_mg_8,Murchison ,67.11,0.90,0.90
M,M,KJB2-M-2,Murchison,67.11,2.62,2.62
M,M,M26a-116-6,Murchison,67.10,1.88,1.78
M,M,region3_3_1_5,Indarch,67.1,0.5,0.5
M,M,region4again_24_1_12,Indarch,67.1,0.5,0.5
M,M,WF_3#10.10,Murchison ,67.07,0.70,0.70
M,M,KJA1-8-16-2,Murchison,67.06,3.96,3.96
M,M,M7@8_6_1_mg_41,Murchison ,67.06,0.57,0.57
M,M,M7b@1_10_1_mg_19,Murchison ,67.06,0.60,0.60
U,U,WF_6#22.2,Murchison ,67.05,0.82,0.82
M,M,KJB2-13-31-16,Murchison,67.04,0.38,0.38
M,M,LS+LU-JA-40,Murchison,67.0,0.5,0.5
M,M,WF_3#22.5,Murchison ,67.03,0.71,0.71
Z,Z,KJA1-1-3-8,Murchison,67.02,0.96,0.96
M,M,M7@8_9_1_mg_2,Murchison ,67.02,0.49,0.49
M,M,M7@8_19_1_mg_4,Murchison ,67.02,0.99,0.99
M,M,B4,Bishunpur,67.0,0.6,0.6
M,M,Muri11B-196-2,Murchison,67.00,0.87,0.85
X,X,4A-280-3,Qingzhen,67,2,2
M,M,region2_7_1_12,Indarch,67,0.8,0.8
M,M,WF_1#9.11,Murchison ,66.99,0.83,0.83
M,M,M7@7_6_1_mg_28,Murchison ,66.97,1.24,1.24
M,M,M7@15_40_1_mg_4,Murchison ,66.97,1.62,1.62
M,M,M7b@3_50_1_mg_4,Murchison ,66.97,0.86,0.86
M,M,WF_6#1.17,Murchison ,66.97,0.92,0.92
M,M,Muri11B-421-3,Murchison,66.96,1.69,1.61
M,M,WF_3#16.11,Murchison ,66.96,0.84,0.84
M,M,KJE060,Murchison,67.0,9.2,9.2
M,M,KJB2-7-3-2,Murchison,66.95,1.02,1.02
X,X,M42-184-2,Murchison,66.93,4.17,3.71
M,M,M7@14_63_1_mg_7,Murchison ,66.92,0.76,0.76
M,M,M7b@3_46_1_mg_2,Murchison ,66.92,0.64,0.64
M,M,KJE-a1-25-3,Murchison,66.92,0.31,0.31
M,M,WF_3#14.7,Murchison ,66.90,1.00,1.00
Z,Z,WF_4#3.17,Murchison ,66.88,0.99,0.99
M,M,KJB2-14-20-1,Murchison,66.88,0.5,0.5
M,M,M7b@3_24_1_mg_15,Murchison ,66.88,0.79,0.79
M,M,WF_4#3.7,Murchison ,66.87,0.98,0.98
M,M,KJA1-4-12-11,Murchison,66.87,1.01,1.01
M,M,KJE-a2-10-16,Murchison,66.87,0.40,0.40
M,M,M26a-119-4,Murchison,66.86,1.38,1.33
M,M,WF_5#4.18,Murchison ,66.86,1.07,1.07
M,M,Muri11B-325-1,Murchison,66.85,1.17,1.13
M,M,Muri11B-27-5,Murchison,66.85,1.57,1.50
M,M,KJA1-1-1-17,Murchison,66.85,1.20,1.20
M,M,WF_2#8.2,Murchison ,66.84,0.64,0.64
M,M,KJE-a2-60-2,Murchison,66.84,0.37,0.37
M,M,WF_4#1.3,Murchison ,66.84,0.71,0.71
M,M,M7@5_1_1_mg_2,Murchison ,66.83,0.24,0.24
M,M,M7@8_6_1_mg_18,Murchison ,66.83,0.41,0.41
M,M,M7b@2_40_1_mg_4,Murchison ,66.83,3.54,3.54
M,M,M7b@2_62_1_mg_3,Murchison ,66.83,1.39,1.39
M,M,M7b@3_45_1_mg_9,Murchison ,66.83,0.47,0.47
M,M,WF_3#13.12,Murchison ,66.82,0.95,0.95
M,M,WF_3#25.8,Murchison ,66.81,0.71,0.71
M,M,M42-87-1,Murchison,66.81,0.84,0.82
M,M,Muri11B-378-1,Murchison,66.81,1.08,1.05
M,M,Muri11B-102-1,Murchison,66.80,0.83,0.81
M,M,KJB2-16-6-1,Murchison,66.8,0.69,0.69
M,M,region3_23_1_11,Indarch,66.8,0.5,0.5
M,M,Muri11B-75-1,Murchison,66.80,1.03,1.00
M,M,M26a-126-6,Murchison,66.79,5.46,4.69
M,M,M7b@2_40_1_mg_5,Murchison ,66.78,2.25,2.25
M,M,WF_6#1.20,Murchison ,66.78,0.89,0.89
M,M,KJB2-3-18-17,Murchison,66.77,1.64,1.64
M,M,KJB2-16-5-3,Murchison,66.77,0.63,0.63
M,M,M8-9-5,Murchison,66.77,0.73,0.71
M,M,M26a-78-10,Murchison,66.77,3.28,2.99
M,M,Muri11B-31-1,Murchison,66.75,0.89,0.87
M,M,KJG4-#0404,Murchison,66.75,2.28,2.28
M,M,KJB2-14-19-2,Murchison,66.75,0.66,0.66
Z,Z,WF_3#4.4,Murchison ,66.74,0.89,0.89
M,M,M7@8_17_1_mg_12,Murchison ,66.74,2.49,2.49
M,M,M7@15_48_1_mg_6,Murchison ,66.74,0.60,0.60
M,M,M7b@2_62_1_mg_1,Murchison ,66.74,1.18,1.18
M,M,KJE665,Murchison,66.7,1.2,1.2
M,M,KJE801,Murchison,66.7,3.6,3.6
Z,Z,M8-2-19,Murchison,66.73,0.82,0.80
M,M,M26a-226-2,Murchison,66.72,4.57,4.02
M,M,KJE696,Murchison,66.7,2.0,2.0
X,X,Muri11B-239-1,Murchison,66.71,3.40,3.08
M,M,M10-9-1,Murchison,66.70,0.74,0.72
M,M,region2_11_1_10,Indarch,66.7,0.4,0.4
M,M,region5p1_21_1_6,Indarch,66.7,0.5,0.5
M,M,M26a-113-18,Murchison,66.69,3.02,2.77
M,M,M7@8_1_1_mg_14,Murchison ,66.69,0.42,0.42
M,M,M7@15_4_1_mg_6,Murchison ,66.69,0.71,0.71
M,M,M7b@1_10_1_mg_5,Murchison ,66.69,0.83,0.83
M,M,M7b@2_36_1_mg_6,Murchison ,66.69,2.43,2.43
M,M,KJC171,Murchison,66.7,4.6,4.0
M,M,KJE258,Murchison,66.7,2.6,2.6
M,M,WF_5#3.9,Murchison ,66.67,0.76,0.76
M,M,KJB2-13-1-3,Murchison,66.67,0.23,0.23
M,M,KJB2-13-28-6,Murchison,66.67,0.33,0.33
M,M,KJA1-4-33-1,Murchison,66.66,1.52,1.52
M,M,KJE806,Murchison,66.7,7.0,7.0
M,M,KJH10-m162,Murchison,66.64,1.15,1.15
M,M,WF_6#15.1,Murchison ,66.64,0.89,0.89
M,M,WF_3#9.5,Murchison ,66.62,0.78,0.78
M,M,WF_5#13.5,Murchison ,66.62,1.52,1.52
M,M,KJE454,Murchison,66.6,6.9,6.9
Z,Z,reg4p2_16_1_4,Indarch,66.6,0.8,0.8
M,M,region2_16_1_7,Indarch,66.6,0.4,0.4
M,M,region3_16_1_7,Indarch,66.6,0.4,0.4
M,M,M7@14_19_1_mg_1,Murchison ,66.60,1.17,1.17
Z,Z,M7b@3_9_1_mg_2,Murchison ,66.60,1.67,1.67
M,M,M7b@3_29_1_mg_13,Murchison ,66.60,0.39,0.39
M,M,KJE173,Murchison,66.6,5.4,5.4
M,M,M33c-292-4,Murchison,66.58,1.22,1.18
M,M,Muri11B-254-6,Murchison,66.57,2.44,2.27
M,M,KJB2-8-7-2,Murchison,66.57,0.77,0.77
M,M,KJB2-O-2,Murchison,66.56,3.79,3.79
M,M,WF_6#18.2,Murchison ,66.55,0.71,0.71
M,M,KJH8-401,Murchison,66.55,1.13,1.13
M,M,M7b@2_24_1_mg_6,Murchison ,66.55,1.06,1.06
M,M,M7b@3_21_1_mg_3,Murchison ,66.55,1.62,1.62
M,M,M7b@3_62_1_mg_6,Murchison ,66.55,0.66,0.66
M,M,KJE668,Murchison,66.6,1.6,1.6
M,M,KJE-a2-6-15,Murchison,66.55,0.46,0.46
M,M,WF_2#2.4,Murchison ,66.55,0.65,0.65
M,M,KJA1-4-21-2,Murchison,66.52,3.31,3.31
M,M,KJE745,Murchison,66.5,4.1,4.1
M,M,KJB2-E-1,Murchison,66.52,2.91,2.91
M,M,KJE-a2-5-20,Murchison,66.52,0.35,0.35
M,M,M26a-169-3,Murchison,66.51,2.57,2.39
M,M,M7@8_4_1_mg_11,Murchison ,66.50,1.70,1.70
M,M,region3p2_1_1_4,Indarch,66.5,0.4,0.4
M,M,M33b-93-1,Murchison,66.47,1.51,1.45
M,M,WF_4#2.8,Murchison ,66.46,1.74,1.74
M,M,KJH4-451,Murchison,66.45,0.95,0.95
M,M,M26a-335-2,Murchison,66.44,5.59,4.78
M,M,Muri11B-158-2,Murchison,66.43,3.97,3.55
M,M,WF_5#7.9,Murchison ,66.43,1.16,1.16
M,M,KJE053,Murchison,66.4,2.3,2.3
M,M,WF_4#6.10,Murchison ,66.42,1.30,1.30
M,M,KJH5-034,Murchison,66.42,1.41,1.41
M,M,KJB2-3-13-12,Murchison,66.42,2.33,2.33
M,M,WF_6#8.4,Murchison ,66.42,1.12,1.12
M,M,KJH9-UC2,Murchison,66.41,1.58,1.58
M,M,M7@4_6_1_mg_16,Murchison ,66.41,0.81,0.81
M,M,M7b@1_6_1_mg_15,Murchison ,66.41,0.81,0.81
M,M,M7b@2_26_1_mg_9,Murchison ,66.41,0.85,0.85
M,M,M7b@2_39_1_mg_5,Murchison ,66.41,1.60,1.60
M,M,M7Img@1_2_1_mg_4,Murchison ,66.41,0.46,0.46
M,M,WF_5#14.4,Murchison ,66.41,0.86,0.86
M,M,M33-119-15,Murchison,66.38,2.47,2.30
M,M,KJB2-11-5-4,Murchison,66.38,1.1,1.1
M,M,KJB2-14-19-1,Murchison,66.38,0.45,0.45
M,M,KJB2-17-1-3,Murchison,66.37,0.46,0.46
M,M,M7@14_1_1_mg_6,Murchison ,66.37,0.98,0.98
M,M,KJE332,Murchison,66.4,6.9,6.9
M,M,Muri11B-118-1,Murchison,66.36,1.17,1.13
M,M,KJGN10-17-5,Murchison,66.35,0.47,0.47
Z,Z,KJA1-4-16-8,Murchison,66.35,1.35,1.35
M,M,KJB2-N-4,Murchison,66.34,8.72,8.72
M,M,Muri11B-170-3,Murchison,66.34,1.52,1.46
M,M,WF_2#2.12,Murchison ,66.33,0.78,0.78
M,M,M26a-132-6,Murchison,66.33,2.10,1.98
M,M,KJB2-8-8-6,Murchison,66.33,0.9,0.9
M,M,M8-9-20,Murchison,66.33,1.74,1.66
M,M,KJE-a2-27-7,Murchison,66.32,0.36,0.36
Z,Z,M7@11_16_1_mg_3,Murchison ,66.32,2.46,2.46
M,M,M7@15_27_1_mg_4,Murchison ,66.32,1.59,1.59
M,M,KJH9-501,Murchison,66.32,1.65,1.65
M,M,KJE-a1-44-6,Murchison,66.31,0.34,0.34
M,M,KJA1-4-9-3,Murchison,66.31,1.28,1.28
M,M,KJA1-8-3-4,Murchison,66.30,1.96,1.96
M,M,KJH5-751,Murchison,66.30,1.54,1.54
M,M,M08-1-8-2,Murchison,66.3,0.4,0.4
M,M,KJA1-8-12-12,Murchison,66.30,2.52,2.52
M,M,KJB2-13-12-17,Murchison,66.29,0.46,0.46
M,M,KJB2-7-4-5,Murchison,66.28,0.81,0.81
M,M,KJB2-CNSi_21_mg_1,Murchison,66.28,5.47,5.47
M,M,KJB2-1-4-3,Murchison,66.27,2.65,2.65
M,M,KJE-a2-1-31,Murchison,66.26,0.46,0.46
M,M,M26a-109-7,Murchison,66.26,2.79,2.58
M,M,WF_3#19.5,Murchison ,66.26,0.51,0.51
M,M,M26a-150-4,Murchison,66.25,5.12,4.44
M,M,F3-06,Murchison,66.25,0.68,0.68
M,M,Muri11B-315-4,Murchison,66.24,1.14,1.10
M,M,KJH10-362,Murchison,66.24,1.05,1.05
M,M,M26a-78-15,Murchison,66.24,1.53,1.46
M,M,KJB2-11-6-8,Murchison,66.23,1.33,1.33
M,M,M26a-363-1,Murchison,66.23,1.76,1.67
M,M,M7@15_40_1_mg_7,Murchison ,66.23,0.57,0.57
M,M,KJE-a2-70-2,Murchison,66.22,0.41,0.41
M,M,M26a-34-8,Murchison,66.22,1.79,1.69
M,M,KJA1-8-16-1,Murchison,66.22,2.24,2.24
M,M,WF_5#12.10,Murchison ,66.22,0.82,0.82
M,M,WF_2#13.3,Murchison ,66.22,0.57,0.57
M,M,WF_2#13.10,Murchison ,66.21,0.50,0.50
M,M,Muri11B-472-1,Murchison,66.21,4.74,4.15
M,M,WF_4#5.11,Murchison ,66.21,0.95,0.95
M,M,KJE-a2-22-4,Murchison,66.20,0.42,0.42
M,M,region2_24_1_13,Indarch,66.2,0.6,0.6
M,M,region3p2_7_1_2,Indarch,66.2,0.5,0.5
M,M,KJH6-022,Murchison,66.20,0.99,0.99
M,M,WF_1#2.5,Murchison ,66.19,1.74,1.74
M,M,M8-77-8,Murchison,66.19,1.34,1.29
X,X,KJE-a1-24-6,Murchison,66.18,0.33,0.33
M,M,M7@15_38_1_mg_7,Murchison ,66.18,0.52,0.52
M,M,KJE288,Murchison,66.2,1.9,1.9
M,M,M26a-343-3,Murchison,66.17,3.26,2.96
M,M,KJE-a2-42-7,Murchison,66.17,0.32,0.32
M,M,KJB2-O-4,Murchison,66.16,2.25,2.25
M,M,M26a-21-1,Murchison,66.16,2.34,2.19
M,M,KJH6-301,Murchison,66.16,1.25,1.25
M,M,KJH7-702,Murchison,66.14,1.03,1.03
M,M,M7b@3_28_1_mg_5,Murchison ,66.14,2.09,2.09
M,M,Muri11B-390-2,Murchison,66.13,1.19,1.15
M,M,KJH9-UL12,Murchison,66.13,1.72,1.72
M,M,KJE822,Murchison,66.1,10.8,10.8
M,M,KJE-a2-17-3,Murchison,66.10,0.39,0.39
M,M,region4again_9_1_14,Indarch,66.1,0.7,0.7
M,M,M26a-142-4,Murchison,66.10,2.84,2.61
Z,Z,M7@14_52_1_mg_2,Murchison ,66.09,0.53,0.53
M,M,KJB2-17-14-11,Murchison,66.09,0.69,0.69
M,M,KJA1-5-1-8,Murchison,66.09,1.16,1.16
M,M,M26a-48-1,Murchison,66.08,2.25,2.11
M,M,M26a-275-11,Murchison,66.07,1.39,1.34
M,M,KJGN10-10-3,Murchison,66.07,0.47,0.47
M,M,M33-71-17,Murchison,66.05,3.65,3.29
M,M,WF_5#15.3,Murchison ,66.05,0.96,0.96
M,M,M33-76-23,Murchison,66.05,2.36,2.20
M,M,M7@4_9_1_mg_13,Murchison ,66.05,0.60,0.60
M,M,M7@15_38_1_mg_9,Murchison ,66.05,1.89,1.89
M,M,KJG4@017,Murchison,66.04,1.47,1.47
M,M,KJB2-8-4-1,Murchison,66.04,0.75,0.75
M,M,KJH9-311,Murchison,66.03,1.10,1.10
Z,Z,WF_2#1.7,Murchison ,66.02,0.68,0.68
M,M,KJB2-16-4-8,Murchison,66.02,0.7,0.7
M,M,KJE-a1-32-1,Murchison,66.02,0.32,0.32
M,M,M33-74-11,Murchison,66.01,1.80,1.71
M,M,KJH4-146,Murchison,66.00,0.97,0.97
M,M,K13,Krymka,66.0,2.7,2.7
M,M,M7@8_4_1_mg_13,Murchison ,66.00,1.52,1.52
M,M,M7b@3_27_1_mg_1,Murchison ,66.00,1.14,1.14
M,M,reg4p2_12_1_5,Indarch,66,0.8,0.8
Z,Z,region5p1_14_1_4,Indarch,66,0.6,0.6
M,M,G372,Murchison,66,0.5,0.5
M,M,WF_5#7.12,Murchison ,66.00,1.97,1.97
M,M,WF_6#10.6,Murchison ,66.00,0.87,0.87
M,M,WF_6#7.6,Murchison ,65.97,0.59,0.59
M,M,M33b-163-2,Murchison,65.96,5.38,4.62
M,M,KJA1-3-5-8,Murchison,65.96,2.89,2.89
M,M,M7b@3_52_1_mg_1,Murchison ,65.95,0.62,0.62
M,M,M7b@3_58_1_mg_5,Murchison ,65.95,2.16,2.16
M,M,M7b@3_59_1_mg_7,Murchison ,65.95,0.64,0.64
U,U,WF_1#3.5,Murchison ,65.95,0.60,0.60
M,M,Muri11B-61-5,Murchison,65.95,3.73,3.35
M,M,KJB2-3-23-5,Murchison,65.94,2.38,2.38
M,M,M8-87-2,Murchison,65.94,7.38,6.03
M,M,Muri11B-401-3,Murchison,65.93,1.01,0.98
M,M,KJE262,Murchison,65.9,1.5,1.5
M,M,M7@15_15_1_mg_1,Murchison ,65.91,1.02,1.02
M,M,M7b@2_23_1_mg_14,Murchison ,65.91,3.25,3.25
M,M,KJH8-UR21,Murchison,65.91,1.85,1.85
M,M,M8-2-15,Murchison,65.90,0.81,0.79
M,M,C3,Chainpur,65.9,0.5,0.5
M,M,KJB2-3-18-7,Murchison,65.9,2.38,2.38
M,M,KJB2-11-15-9,Murchison,65.9,0.94,0.94
M,M,reg4p2_1_1_15,Indarch,65.9,0.6,0.6
Z,Z,region5p1_2_1_2,Indarch,65.9,0.3,0.3
M,M,M26a-49-1,Murchison,65.89,0.89,0.87
M,M,KJB2-13-3-6,Murchison,65.88,0.27,0.27
M,M,LS+LU-JA-58,Murchison,65.9,0.6,0.6
M,M,Muri11B-320-2,Murchison,65.87,1.09,1.05
M,M,KJE054,Murchison,65.9,9.6,9.6
M,M,D2-10,Murchison,65.87,0.68,0.68
M,M,WF_5#3.7,Murchison ,65.86,3.63,3.63
M,M,M7@14_61_1_mg_2,Murchison ,65.86,0.87,0.87
M,M,M7b@2_11_1_mg_2,Murchison ,65.86,1.06,1.06
M,M,M7b@2_48_1_mg_2,Murchison ,65.86,0.67,0.67
M,M,LS+LU-JA-32,Murchison,65.9,0.5,0.5
M,M,M33-2-28,Murchison,65.85,3.55,3.20
M,M,KJB2-1-4-8,Murchison,65.85,1.86,1.86
M,M,KJGN10-25-1,Murchison,65.85,0.46,0.46
M,M,M10B-27-2,Murchison,65.84,1.83,1.74
M,M,KJB2-13-36-5,Murchison,65.83,0.59,0.59
M,M,Muri11B-101-1,Murchison,65.82,2.17,2.03
M,M,KJH5-201,Murchison,65.82,1.88,1.88
M,M,M7b@2_10_1_mg_10,Murchison ,65.82,1.15,1.15
M,M,WF_6#21.1,Murchison ,65.82,0.82,0.82
M,M,KJE-a2-2-16,Murchison,65.82,0.31,0.31
M,M,KJB2-3-16-5,Murchison,65.81,1.98,1.98
M,M,KJB2-10-3-5,Murchison,65.81,0.66,0.66
M,M,M26a-18-2,Murchison,65.81,1.42,1.36
M,M,KJE526,Murchison,65.8,1.1,1.1
Z,Z,Org-312,Orgueil,65.8,0.5,0.5
M,M,region2_21_1_9,Indarch,65.8,0.5,0.5
M,M,region3p2_18_1_11,Indarch,65.8,0.4,0.4
M,M,M33b-92-2,Murchison,65.80,3.64,3.28
M,M,WF_2#1.6,Murchison ,65.80,0.76,0.76
M,M,WF_2#2.15,Murchison ,65.78,1.41,1.41
M,M,B9,Bishunpur,65.8,1.4,1.4
M,M,LS+LU-L2-55,Murchison,65.77,0.36,0.36
M,M,M26a-85-10,Murchison,65.77,3.80,3.40
M,M,M7@8_28_1_mg_3,Murchison ,65.77,0.74,0.74
M,M,M7b@3_11_1_mg_1,Murchison ,65.77,0.81,0.81
M,M,Muri11B-478-14,Murchison,65.77,1.78,1.69
M,M,M42-7-20,Murchison,65.77,0.86,0.84
M,M,KJB2-11-24-6,Murchison,65.76,0.61,0.61
M,M,WF_5#8.15,Murchison ,65.76,1.02,1.02
M,M,Muri11B-379-2,Murchison,65.75,3.25,2.96
M,M,KJH7-203,Murchison,65.74,0.83,0.83
M,M,M42-163-2,Murchison,65.73,1.39,1.34
M,M,M42-159-1,Murchison,65.73,2.63,2.43
M,M,KJE-a2-22-6,Murchison,65.73,0.40,0.40
M,M,M7b@1_1_1_mg_4,Murchison ,65.73,1.05,1.05
M,M,M7b@3_39_1_mg_1,Murchison ,65.73,0.84,0.84
M,M,M26a-103-10,Murchison,65.72,1.25,1.21
M,M,KJB2-1-4-12,Murchison,65.72,1.97,1.97
