Type,12C/13C,errplus12C13C,errminus12C13C
2,67.92,0.83,0.83
2,67.92,1.19,1.19
2,67.91,0.83,0.83
2,67.9,0.6,0.6
2,67.9,0.4,0.4
2,67.89,0.95,0.93
2,67.89,0.34,0.34
2,67.89,0.35,0.35
2,67.87,0.89,0.89
2,67.87,1.41,1.35
2,67.87,0.61,0.61
2,67.87,1.07,1.07
2,67.87,0.75,0.75
2,67.87,0.89,0.89
2,67.85,0.69,0.69
2,67.85,1.74,1.74
2,67.83,1.22,1.22
2,67.82,0.71,0.71
2,67.82,3.84,3.45
2,67.81,2.09,2.09
2,67.81,0.34,0.34
2,67.81,1.13,1.13
2,67.79,1.42,1.36
2,67.79,0.98,0.96
2,67.78,0.35,0.35
2,67.78,0.83,0.83
2,67.78,1.93,1.93
2,67.78,0.53,0.53
2,67.78,2.33,2.33
6,67.76,2.65,2.65
2,67.76,1.02,1.02
2,67.75,0.33,0.33
2,67.73,1.66,1.66
2,67.73,1.81,1.81
2,67.73,0.33,0.33
2,67.73,2.46,2.29
2,67.71,1.87,1.87
2,67.7,0.95,0.92
2,67.7,0.6,0.6
2,67.7,0.4,0.4
2,67.7,0.5,0.5
2,67.7,2.8,2.8
2,67.69,1.23,1.19
2,67.69,1.37,1.37
2,67.68,1.18,1.18
6,67.68,0.81,0.81
6,67.68,0.62,0.62
2,67.68,1.41,1.41
2,67.68,0.37,0.37
2,67.67,1.01,1.01
2,67.66,1.75,1.66
2,67.66,0.43,0.43
2,67.65,1.09,1.05
2,67.65,1.5,1.44
2,67.65,1.89,1.79
2,67.65,1.31,1.31
2,67.64,1.74,1.65
2,67.64,0.94,0.94
2,67.63,0.94,0.94
2,67.6,1.8,1.8
2,67.61,0.35,0.35
2,67.61,1.31,1.26
2,67.61,5.36,4.63
6,67.6,0.6,0.6
2,67.6,1.7,1.7
6,67.6,0.5,0.5
2,67.6,0.5,0.5
2,67.59,2.64,2.45
2,67.59,1.83,1.83
2,67.58,1.46,1.46
2,67.58,0.73,0.73
2,67.58,1.87,1.87
2,67.57,3.99,3.57
6,67.57,0.53,0.53
2,67.6,2.1,2.1
2,67.57,1.81,1.72
2,67.56,0.75,0.75
2,67.56,1.55,1.55
2,67.55,3.15,3.15
2,67.54,0.84,0.84
2,67.54,0.47,0.47
2,67.5,2.2,2.2
2,67.53,2.13,2.13
2,67.5,3.5,3.5
2,67.51,0.5,0.5
2,67.5,1.44,1.38
2,67.5,3.6,3.6
6,67.5,0.5,0.5
2,67.5,0.47,0.47
2,67.5,1.25,1.25
2,67.49,1.25,1.25
2,67.5,4.2,4.2
2,67.49,0.64,0.64
2,67.49,1.22,1.22
2,67.49,1.03,1
2,67.48,1.68,1.68
2,67.47,1.82,1.73
2,67.47,2.08,2.08
2,67.5,2,2
2,67.46,0.39,0.39
2,67.45,0.34,0.34
2,67.4,11.3,8.5
2,67.44,1.73,1.65
2,67.44,1.74,1.74
2,67.44,1.18,1.18
2,67.44,0.45,0.45
2,67.44,0.69,0.69
2,67.44,1.17,1.17
2,67.4,0.5,0.5
2,67.4,2.5,2.5
2,67.42,0.58,0.58
2,67.42,0.98,0.95
2,67.41,0.34,0.34
2,67.4,0.2,0.2
2,67.4,2.3,2.3
2,67.39,0.97,0.97
2,67.39,3.06,2.8
2,67.38,1.6,1.53
2,67.37,13.84,9.81
2,67.35,0.81,0.81
2,67.35,0.82,0.82
2,67.35,0.56,0.56
2,67.35,0.7,0.7
2,67.35,0.77,0.77
2,67.35,0.73,0.73
2,67.35,0.68,0.68
2,67.34,0.34,0.34
2,67.34,0.74,0.74
2,67.34,1.12,1.08
2,67.3,2.2,2.2
2,67.33,0.53,0.53
2,67.33,2.89,2.66
2,67.3,4.6,4.6
2,67.32,4.86,4.25
2,67.31,1.1,1.1
2,67.3,0.5,0.5
2,67.3,2.06,2.06
2,67.3,1.66,1.66
2,67.29,0.54,0.54
2,67.29,0.55,0.55
2,67.29,1.52,1.45
2,67.28,0.33,0.33
2,67.27,2.57,2.39
2,67.26,0.55,0.55
6,67.3,3.9,3.9
2,67.26,1.98,1.98
2,67.25,5.69,5.69
2,67.25,1.37,1.32
2,67.25,0.5,0.5
2,67.25,2.34,2.34
2,67.25,0.76,0.76
2,67.25,1.28,1.28
2,67.25,0.99,0.99
2,67.25,1.09,1.09
2,67.25,1.61,1.61
2,67.25,0.92,0.92
2,67.25,1.93,1.83
2,67.24,3.69,3.33
2,67.23,0.36,0.36
2,67.23,0.57,0.57
2,67.2,2.6,2.6
2,67.21,0.87,0.87
2,67.2,1.26,1.21
2,67.2,0.7,0.7
2,67.19,1.62,1.62
2,67.19,0.92,0.9
2,67.18,4.84,4.23
2,67.18,0.32,0.32
2,67.18,0.37,0.37
2,67.18,1.01,0.98
2,67.17,1.15,1.11
2,67.17,0.43,0.43
2,67.17,0.64,0.64
2,67.16,1.11,1.11
2,67.16,1.1,1.1
2,67.16,2.6,2.6
2,67.16,0.55,0.55
2,67.14,0.33,0.33
2,67.1,1.9,1.9
2,67.13,0.36,0.36
2,67.12,0.33,0.33
2,67.12,0.47,0.47
2,67.1,2.3,2.3
2,67.11,0.55,0.55
2,67.11,0.65,0.65
2,67.11,0.9,0.9
2,67.11,2.62,2.62
2,67.1,1.88,1.78
2,67.1,0.5,0.5
2,67.1,0.5,0.5
2,67.07,0.7,0.7
2,67.06,3.96,3.96
2,67.06,0.57,0.57
2,67.06,0.6,0.6
7,67.05,0.82,0.82
2,67.04,0.38,0.38
2,67,0.5,0.5
2,67.03,0.71,0.71
6,67.02,0.96,0.96
2,67.02,0.49,0.49
2,67.02,0.99,0.99
2,67,0.6,0.6
2,67,0.87,0.85
4,67,2,2
2,67,0.8,0.8
2,66.99,0.83,0.83
2,66.97,1.24,1.24
2,66.97,1.62,1.62
2,66.97,0.86,0.86
2,66.97,0.92,0.92
2,66.96,1.69,1.61
2,66.96,0.84,0.84
2,67,9.2,9.2
2,66.95,1.02,1.02
4,66.93,4.17,3.71
2,66.92,0.76,0.76
2,66.92,0.64,0.64
2,66.92,0.31,0.31
2,66.9,1,1
6,66.88,0.99,0.99
2,66.88,0.5,0.5
2,66.88,0.79,0.79
2,66.87,0.98,0.98
2,66.87,1.01,1.01
2,66.87,0.4,0.4
2,66.86,1.38,1.33
2,66.86,1.07,1.07
2,66.85,1.17,1.13
2,66.85,1.57,1.5
2,66.85,1.2,1.2
2,66.84,0.64,0.64
2,66.84,0.37,0.37
2,66.84,0.71,0.71
2,66.83,0.24,0.24
2,66.83,0.41,0.41
2,66.83,3.54,3.54
2,66.83,1.39,1.39
2,66.83,0.47,0.47
2,66.82,0.95,0.95
2,66.81,0.71,0.71
2,66.81,0.84,0.82
2,66.81,1.08,1.05
2,66.8,0.83,0.81
2,66.8,0.69,0.69
2,66.8,0.5,0.5
2,66.8,1.03,1
2,66.79,5.46,4.69
2,66.78,2.25,2.25
2,66.78,0.89,0.89
2,66.77,1.64,1.64
2,66.77,0.63,0.63
2,66.77,0.73,0.71
2,66.77,3.28,2.99
2,66.75,0.89,0.87
2,66.75,2.28,2.28
2,66.75,0.66,0.66
6,66.74,0.89,0.89
2,66.74,2.49,2.49
2,66.74,0.6,0.6
2,66.74,1.18,1.18
2,66.7,1.2,1.2
2,66.7,3.6,3.6
6,66.73,0.82,0.8
2,66.72,4.57,4.02
2,66.7,2,2
4,66.71,3.4,3.08
2,66.7,0.74,0.72
2,66.7,0.4,0.4
2,66.7,0.5,0.5
2,66.69,3.02,2.77
2,66.69,0.42,0.42
2,66.69,0.71,0.71
2,66.69,0.83,0.83
2,66.69,2.43,2.43
2,66.7,4.6,4
2,66.7,2.6,2.6
2,66.67,0.76,0.76
2,66.67,0.23,0.23
2,66.67,0.33,0.33
2,66.66,1.52,1.52
2,66.7,7,7
2,66.64,1.15,1.15
2,66.64,0.89,0.89
2,66.62,0.78,0.78
2,66.62,1.52,1.52
2,66.6,6.9,6.9
6,66.6,0.8,0.8
2,66.6,0.4,0.4
2,66.6,0.4,0.4
2,66.6,1.17,1.17
6,66.6,1.67,1.67
2,66.6,0.39,0.39
2,66.6,5.4,5.4
2,66.58,1.22,1.18
2,66.57,2.44,2.27
2,66.57,0.77,0.77
2,66.56,3.79,3.79
2,66.55,0.71,0.71
2,66.55,1.13,1.13
2,66.55,1.06,1.06
2,66.55,1.62,1.62
2,66.55,0.66,0.66
2,66.6,1.6,1.6
2,66.55,0.46,0.46
2,66.55,0.65,0.65
2,66.52,3.31,3.31
2,66.5,4.1,4.1
2,66.52,2.91,2.91
2,66.52,0.35,0.35
2,66.51,2.57,2.39
2,66.5,1.7,1.7
2,66.5,0.4,0.4
2,66.47,1.51,1.45
2,66.46,1.74,1.74
2,66.45,0.95,0.95
2,66.44,5.59,4.78
2,66.43,3.97,3.55
2,66.43,1.16,1.16
2,66.4,2.3,2.3
2,66.42,1.3,1.3
2,66.42,1.41,1.41
2,66.42,2.33,2.33
2,66.42,1.12,1.12
2,66.41,1.58,1.58
2,66.41,0.81,0.81
2,66.41,0.81,0.81
2,66.41,0.85,0.85
2,66.41,1.6,1.6
2,66.41,0.46,0.46
2,66.41,0.86,0.86
2,66.38,2.47,2.3
2,66.38,1.1,1.1
2,66.38,0.45,0.45
2,66.37,0.46,0.46
2,66.37,0.98,0.98
2,66.4,6.9,6.9
2,66.36,1.17,1.13
2,66.35,0.47,0.47
6,66.35,1.35,1.35
2,66.34,8.72,8.72
2,66.34,1.52,1.46
2,66.33,0.78,0.78
2,66.33,2.1,1.98
2,66.33,0.9,0.9
2,66.33,1.74,1.66
2,66.32,0.36,0.36
6,66.32,2.46,2.46
2,66.32,1.59,1.59
2,66.32,1.65,1.65
2,66.31,0.34,0.34
2,66.31,1.28,1.28
2,66.3,1.96,1.96
2,66.3,1.54,1.54
2,66.3,0.4,0.4
2,66.3,2.52,2.52
2,66.29,0.46,0.46
2,66.28,0.81,0.81
2,66.28,5.47,5.47
2,66.27,2.65,2.65
2,66.26,0.46,0.46
2,66.26,2.79,2.58
2,66.26,0.51,0.51
2,66.25,5.12,4.44
2,66.25,0.68,0.68
2,66.24,1.14,1.1
2,66.24,1.05,1.05
2,66.24,1.53,1.46
2,66.23,1.33,1.33
2,66.23,1.76,1.67
2,66.23,0.57,0.57
2,66.22,0.41,0.41
2,66.22,1.79,1.69
2,66.22,2.24,2.24
2,66.22,0.82,0.82
2,66.22,0.57,0.57
2,66.21,0.5,0.5
2,66.21,4.74,4.15
2,66.21,0.95,0.95
2,66.2,0.42,0.42
2,66.2,0.6,0.6
2,66.2,0.5,0.5
2,66.2,0.99,0.99
2,66.19,1.74,1.74
2,66.19,1.34,1.29
4,66.18,0.33,0.33
2,66.18,0.52,0.52
2,66.2,1.9,1.9
2,66.17,3.26,2.96
2,66.17,0.32,0.32
2,66.16,2.25,2.25
2,66.16,2.34,2.19
2,66.16,1.25,1.25
2,66.14,1.03,1.03
2,66.14,2.09,2.09
2,66.13,1.19,1.15
2,66.13,1.72,1.72
2,66.1,10.8,10.8
2,66.1,0.39,0.39
2,66.1,0.7,0.7
2,66.1,2.84,2.61
6,66.09,0.53,0.53
2,66.09,0.69,0.69
2,66.09,1.16,1.16
2,66.08,2.25,2.11
2,66.07,1.39,1.34
2,66.07,0.47,0.47
2,66.05,3.65,3.29
2,66.05,0.96,0.96
2,66.05,2.36,2.2
2,66.05,0.6,0.6
2,66.05,1.89,1.89
2,66.04,1.47,1.47
2,66.04,0.75,0.75
2,66.03,1.1,1.1
6,66.02,0.68,0.68
2,66.02,0.7,0.7
2,66.02,0.32,0.32
2,66.01,1.8,1.71
2,66,0.97,0.97
2,66,2.7,2.7
2,66,1.52,1.52
2,66,1.14,1.14
2,66,0.8,0.8
6,66,0.6,0.6
2,66,0.5,0.5
2,66,1.97,1.97
2,66,0.87,0.87
2,65.97,0.59,0.59
2,65.96,5.38,4.62
2,65.96,2.89,2.89
2,65.95,0.62,0.62
2,65.95,2.16,2.16
2,65.95,0.64,0.64
7,65.95,0.6,0.6
2,65.95,3.73,3.35
2,65.94,2.38,2.38
2,65.94,7.38,6.03
2,65.93,1.01,0.98
2,65.9,1.5,1.5
2,65.91,1.02,1.02
2,65.91,3.25,3.25
2,65.91,1.85,1.85
2,65.9,0.81,0.79
2,65.9,0.5,0.5
2,65.9,2.38,2.38
2,65.9,0.94,0.94
2,65.9,0.6,0.6
6,65.9,0.3,0.3
2,65.89,0.89,0.87
2,65.88,0.27,0.27
2,65.9,0.6,0.6
2,65.87,1.09,1.05
2,65.9,9.6,9.6
2,65.87,0.68,0.68
2,65.86,3.63,3.63
2,65.86,0.87,0.87
2,65.86,1.06,1.06
2,65.86,0.67,0.67
2,65.9,0.5,0.5
2,65.85,3.55,3.2
2,65.85,1.86,1.86
2,65.85,0.46,0.46
2,65.84,1.83,1.74
2,65.83,0.59,0.59
2,65.82,2.17,2.03
2,65.82,1.88,1.88
2,65.82,1.15,1.15
2,65.82,0.82,0.82
2,65.82,0.31,0.31
2,65.81,1.98,1.98
2,65.81,0.66,0.66
2,65.81,1.42,1.36
2,65.8,1.1,1.1
6,65.8,0.5,0.5
2,65.8,0.5,0.5
2,65.8,0.4,0.4
2,65.8,3.64,3.28
2,65.8,0.76,0.76
2,65.78,1.41,1.41
2,65.8,1.4,1.4
2,65.77,0.36,0.36
2,65.77,3.8,3.4
2,65.77,0.74,0.74
2,65.77,0.81,0.81
2,65.77,1.78,1.69
2,65.77,0.86,0.84
2,65.76,0.61,0.61
2,65.76,1.02,1.02
2,65.75,3.25,2.96
2,65.74,0.83,0.83
2,65.73,1.39,1.34
2,65.73,2.63,2.43
2,65.73,0.4,0.4
2,65.73,1.05,1.05
2,65.73,0.84,0.84
2,65.72,1.25,1.21
2,65.72,1.97,1.97
2,65.71,0.33,0.33
2,65.7,2.75,2.54
2,65.7,0.5,0.5
2,65.7,0.23,0.23
2,65.7,0.6,0.6
2,65.7,0.5,0.5
2,65.7,0.46,0.46
2,65.68,0.15,0.15
2,65.68,0.85,0.85
2,65.68,2.2,2.06
2,65.67,0.36,0.36
7,65.66,0.47,0.47
2,65.66,0.4,0.4
2,65.65,0.91,0.89
2,65.65,1.33,1.27
2,65.65,0.71,0.71
2,65.65,2.08,1.96
2,65.64,8.55,6.78
2,65.64,2.11,2.11
2,65.64,0.51,0.51
2,65.64,0.47,0.47
2,65.63,1.14,1.1
2,65.62,0.33,0.33
2,65.61,0.5,0.5
2,65.61,2.17,2.03
6,65.61,1.17,1.17
2,65.61,1.68,1.6
2,65.6,0.62,0.62
2,65.6,1.47,1.4
2,65.6,0.6,0.6
2,65.6,4.2,4.2
2,65.59,0.7,0.7
2,65.59,0.76,0.76
2,65.59,18.35,18.35
2,65.59,1.26,1.26
2,65.57,1.24,1.24
2,65.56,0.8,0.8
2,65.56,0.91,0.91
2,65.56,4.19,3.71
6,65.55,0.34,0.34
2,65.55,0.35,0.35
2,65.55,1.8,1.8
2,65.55,2.73,2.73
2,65.55,0.85,0.85
2,65.55,0.43,0.43
2,65.55,2.16,2.16
6,65.55,0.71,0.71
6,65.55,0.97,0.97
2,65.54,1.55,1.48
2,65.53,2.2,2.06
2,65.51,1.15,1.15
6,65.5,0.31,0.31
2,65.5,0.34,0.34
6,65.5,0.67,0.67
2,65.5,1.11,1.11
2,65.5,2.66,2.66
6,65.5,0.35,0.35
6,65.5,0.7,0.7
2,65.5,0.76,0.74
2,65.5,0.67,0.67
2,65.49,1.96,1.96
2,65.49,1.51,1.51
2,65.49,0.45,0.45
2,65.49,2.47,2.3
6,65.48,0.32,0.32
2,65.48,0.98,0.96
2,65.48,1.38,1.32
2,65.47,1.36,1.3
2,65.47,1.86,1.76
2,65.46,0.19,0.19
2,65.46,0.66,0.66
2,65.46,0.99,0.99
2,65.45,1.82,1.72
2,65.45,0.86,0.86
2,65.44,0.71,0.71
2,65.44,3.8,3.8
2,65.41,0.98,0.95
2,65.4,0.93,0.93
6,65.4,2,2
2,65.4,0.45,0.45
2,65.4,0.71,0.71
2,65.39,0.31,0.31
2,65.39,2.76,2.55
2,65.38,0.97,0.94
2,65.38,2.77,2.77
6,65.37,0.97,0.94
2,65.4,0.5,0.5
2,65.37,0.91,0.91
2,65.37,0.93,0.93
2,65.37,0.47,0.47
2,65.36,2.45,2.28
2,65.35,1.51,1.51
2,65.3,2,2
2,65.35,1.51,1.44
2,65.34,0.35,0.35
2,65.34,0.36,0.36
2,65.33,0.31,0.31
2,65.33,0.67,0.67
2,65.32,0.31,0.31
2,65.32,1.59,1.59
2,65.32,0.32,0.32
2,65.31,4.49,3.95
2,65.3,0.4,0.4
2,65.3,1.83,1.73
2,65.3,0.65,0.65
2,65.3,0.6,0.6
2,65.3,0.8,0.8
2,65.3,0.6,0.6
2,65.29,0.59,0.59
2,65.3,2.8,2.8
2,65.28,0.69,0.69
2,65.28,1.97,1.86
2,65.27,0.31,0.31
2,65.26,0.4,0.4
2,65.26,1.12,1.08
2,65.26,1.06,1.02
2,65.26,0.79,0.79
2,65.2,2.7,2.7
2,65.25,0.67,0.67
2,65.25,0.65,0.65
2,65.25,2.02,1.9
2,65.24,0.27,0.27
2,65.24,0.34,0.34
2,65.24,3.18,2.9
2,65.24,0.87,0.87
2,65.21,0.72,0.72
4,65.21,1.66,1.58
2,65.21,0.83,0.83
2,65.21,1.74,1.65
2,65.2,1.3,1.25
2,65.2,3.11,2.84
2,65.19,1.8,1.8
2,65.19,1.36,1.36
2,65.19,3.08,3.08
2,65.19,0.46,0.46
2,65.18,1.12,1.12
2,65.18,1.49,1.42
2,65.2,7.8,7.8
2,65.2,2.1,2.1
6,65.16,0.94,0.91
2,65.15,0.63,0.63
2,65.15,1.15,1.15
2,65.15,0.45,0.45
2,65.15,0.73,0.73
2,65.15,0.38,0.38
2,65.1,6.1,6.1
2,65.13,1.65,1.65
2,65.13,1.94,1.94
2,65.13,2.35,2.19
2,65.13,0.37,0.37
6,65.12,3.62,3.26
2,65.12,1.18,1.14
2,65.11,1.12,1.08
2,65.11,0.33,0.33
2,65.1,0.83,0.83
2,65.1,0.83,0.83
2,65.1,0.76,0.76
2,65.1,1.42,1.42
2,65.1,1.3,1.3
2,65.1,1.6,1.6
2,65.1,0.4,0.4
2,65.1,0.4,0.4
2,65.1,0.58,0.58
2,65.1,0.6,0.6
2,65.09,1.22,1.18
2,65.07,3.73,3.35
2,65.07,0.36,0.36
2,65.07,0.27,0.27
2,65.07,3.32,3.01
2,65.07,4.49,3.95
2,65.06,1.64,1.56
2,65.06,1.39,1.39
2,65.06,0.67,0.67
2,65.05,0.67,0.67
2,65.04,1.87,1.77
2,65,5.3,5.3
2,65.04,4.56,4
7,65.04,1.07,1.07
2,65.03,0.71,0.71
2,65.02,0.94,0.94
2,65.02,2.28,2.13
2,65.01,1.8,1.71
2,65,1.24,1.24
2,65,1.25,1.25
6,65,3,3
2,65,1,1
2,65,0.45,0.45
2,65,0.78,0.78
2,65,3,3
2,64.98,1.05,1.05
2,64.98,1.35,1.29
2,64.98,0.92,0.92
2,64.98,0.32,0.32
2,65,3.6,3.6
2,64.97,0.99,0.99
2,64.97,1.19,1.19
2,64.97,1.19,1.19
2,64.96,0.9,0.9
2,64.96,0.63,0.63
2,64.95,1.27,1.27
2,64.94,0.4,0.4
2,64.93,0.41,0.41
2,64.92,1.76,1.76
2,64.92,13.74,13.74
2,64.91,0.83,0.83
2,64.9,1.9,1.9
2,64.91,0.32,0.32
2,64.9,0.85,0.83
2,64.9,0.5,0.5
2,64.9,0.5,0.5
2,64.88,0.89,0.89
2,64.88,1.68,1.68
2,64.88,1.06,1.06
2,64.88,1.01,1.01
2,64.9,4,4
2,64.87,1.36,1.31
2,64.87,1.05,1.02
2,64.86,0.76,0.76
2,64.9,2.2,2.2
2,64.86,0.37,0.37
2,64.85,1.55,1.55
2,64.85,0.71,0.71
2,64.84,1.38,1.38
2,64.84,0.4,0.4
2,64.84,0.27,0.27
2,64.84,0.67,0.67
2,64.84,0.67,0.67
2,64.84,2.56,2.38
2,64.82,1.43,1.43
2,64.81,1.39,1.39
2,64.8,4.9,4.9
2,64.8,0.39,0.39
2,64.8,1.02,1.02
2,64.79,0.93,0.93
2,64.79,3.41,3.41
2,64.79,0.95,0.95
2,64.79,0.45,0.45
2,64.79,0.73,0.73
2,64.77,0.7,0.68
2,64.76,1.41,1.41
6,64.76,2.46,2.29
2,64.76,1.31,1.26
2,64.75,0.58,0.58
2,64.75,1.61,1.61
2,64.75,1.67,1.67
2,64.75,0.67,0.67
2,64.75,0.6,0.6
2,64.74,0.33,0.33
2,64.7,0.6,0.6
2,64.71,1.07,1.03
2,64.71,0.56,0.56
2,64.71,0.64,0.64
2,64.71,1.07,1.07
2,64.7,2.8,2.8
2,64.67,1.33,1.33
2,64.66,1.39,1.33
2,64.66,1.33,1.33
2,64.66,2.43,2.43
2,64.66,4.36,3.84
2,64.65,1.61,1.61
2,64.65,6.96,5.72
2,64.64,0.85,0.83
2,64.64,1.02,1.02
2,64.63,6.24,5.23
2,64.63,1.2,1.15
2,64.62,0.79,0.79
2,64.62,0.69,0.69
2,64.62,0.64,0.64
2,64.62,2.6,2.6
2,64.6,4,4
2,64.6,0.7,0.7
2,64.6,1.66,1.58
2,64.6,0.4,0.4
2,64.6,0.55,0.55
2,64.6,2.16,2.16
2,64.6,0.5,0.5
2,64.6,0.66,0.66
2,64.58,2.19,2.05
2,64.57,1.52,1.52
2,64.57,1.67,1.67
2,64.55,0.66,0.66
2,64.54,0.89,0.89
2,64.54,2.69,2.48
2,64.53,0.53,0.53
2,64.5,2.6,2.6
2,64.52,0.68,0.68
2,64.52,11.35,8.4
2,64.52,16.78,16.78
6,64.51,1.27,1.27
2,64.51,0.36,0.36
2,64.51,1.61,1.53
2,64.5,1.29,1.24
2,64.5,1.2,1.2
2,64.5,0.4,0.4
2,64.5,0.5,0.5
2,64.5,0.83,0.83
2,64.5,1.3,1.3
2,64.5,1.46,1.39
2,64.49,0.58,0.58
2,64.48,0.41,0.41
2,64.48,0.66,0.66
2,64.47,0.37,0.37
2,64.46,0.49,0.49
2,64.46,2.23,2.23
2,64.45,2.89,2.65
2,64.45,0.52,0.52
2,64.45,1.99,1.87
2,64.44,0.53,0.53
2,64.44,0.83,0.83
2,64.44,0.95,0.95
6,64.44,0.96,0.96
2,64.43,0.78,0.78
2,64.43,0.69,0.69
2,64.42,5.76,4.89
2,64.41,0.31,0.31
2,64.41,0.36,0.36
2,64.4,0.48,0.48
2,64.4,0.34,0.34
2,64.4,1.33,1.33
2,64.4,0.39,0.39
2,64.4,2.12,2.12
2,64.4,0.5,0.5
2,64.39,1.19,1.19
2,64.38,0.32,0.32
2,64.38,0.74,0.74
2,64.38,1.11,1.11
2,64.38,1.9,1.9
2,64.37,2.11,1.98
2,64.36,0.45,0.45
2,64.36,2.22,2.22
2,64.36,1.1,1.1
2,64.36,0.73,0.73
2,64.35,1.67,1.58
2,64.35,0.84,0.84
2,64.3,2.4,2.4
2,64.33,5.37,4.6
2,64.33,1.06,1.06
2,64.33,0.47,0.47
2,64.31,1.7,1.61
2,64.31,0.16,0.16
2,64.31,4.3,4.3
2,64.31,0.59,0.59
2,64.31,1.15,1.15
2,64.3,5.8,5.8
2,64.3,5.4,5.4
2,64.3,0.6,0.6
6,64.3,0.8,0.8
2,64.3,1.22,1.18
2,64.29,4.74,4.13
4,64.27,1.06,1.06
2,64.27,0.41,0.41
2,64.26,1.22,1.17
2,64.26,0.34,0.34
2,64.25,0.66,0.66
2,64.25,0.87,0.87
2,64.25,1.37,1.32
2,64.2,1.9,1.9
2,64.24,0.32,0.32
2,64.24,1.98,1.86
2,64.23,1.45,1.39
2,64.23,2.99,2.74
2,64.23,3.09,3.09
2,64.23,0.93,0.93
2,64.23,0.74,0.74
2,64.22,0.42,0.42
2,64.21,1.12,1.12
2,64.21,0.85,0.85
2,64.2,1.4,1.34
2,64.2,0.4,0.4
2,64.2,3.5,3.5
2,64.19,1.21,1.17
2,64.19,1.03,1.03
2,64.19,0.78,0.78
2,64.18,1.17,1.13
2,64.17,0.8,0.8
2,64.17,0.71,0.71
2,64.17,0.8,0.8
2,64.16,1.5,1.5
2,64.16,2.41,2.24
2,64.16,0.7,0.69
2,64.16,1.19,1.15
2,64.14,0.3,0.3
2,64.14,0.36,0.36
2,64.1,1.1,1.1
2,64.13,0.54,0.54
2,64.13,2.46,2.28
2,64.12,2.27,2.27
2,64.12,0.76,0.76
2,64.12,0.9,0.9
2,64.11,0.4,0.4
2,64.1,1,1
2,64.1,0.26,0.26
2,64.1,0.6,0.6
2,64.1,0.4,0.4
2,64.1,1.54,1.54
2,64.1,1.07,1.07
2,64.1,1.19,1.19
2,64.09,0.79,0.79
2,64.1,2.6,2.6
2,64.09,1.9,1.9
2,64.08,1.64,1.56
2,64.07,1.24,1.24
2,64.06,0.5,0.5
2,64.06,2.16,2.03
2,64.05,4.27,3.77
2,64.05,0.89,0.89
2,64.04,2.32,2.16
2,64.04,0.89,0.89
2,64.04,1.2,1.2
2,64.03,0.93,0.93
2,64.01,0.92,0.92
2,64.01,0.87,0.87
2,64.01,1.13,1.09
2,64,1.5,1.5
2,64,0.55,0.55
6,64,0.6,0.6
2,64,0.6,0.6
2,64,0.7,0.7
2,64,1.9,1.9
2,64,0.34,0.34
2,64,0.83,0.83
2,63.99,2.29,2.13
2,63.99,0.97,0.97
2,63.99,2.82,2.59
2,64,4.5,4.5
2,63.98,0.35,0.35
2,63.98,5.61,4.77
2,64,3.6,3.6
2,63.95,1.76,1.67
2,63.9,2.4,2.4
2,63.95,0.58,0.58
2,63.94,6.77,5.59
2,63.94,0.86,0.84
2,63.94,0.45,0.45
2,63.93,1.55,1.55
2,63.93,1.26,1.26
2,63.93,0.38,0.38
2,63.93,0.68,0.68
2,63.93,0.61,0.61
2,63.92,0.89,0.86
2,63.9,2.3,2.3
2,63.91,0.97,0.97
2,63.91,1.69,1.6
2,63.91,0.88,0.88
2,63.9,2.4,2.4
2,63.9,2.22,2.08
2,63.9,0.86,0.86
2,63.89,0.36,0.36
2,63.89,0.93,0.93
2,63.89,1.2,1.2
2,63.89,1.42,1.42
2,63.89,0.81,0.81
2,63.88,2.94,2.94
2,63.88,1.69,1.69
2,63.87,1.14,1.1
2,63.9,2.7,2.7
2,63.86,0.77,0.75
2,63.9,18.2,11.6
2,63.85,0.67,0.67
2,63.85,0.34,0.34
2,63.84,0.49,0.49
2,63.82,1.21,1.17
2,63.81,1.95,1.83
2,63.81,0.33,0.33
2,63.8,0.31,0.31
2,63.8,0.31,0.31
2,63.8,0.35,0.35
2,63.8,0.66,0.66
2,63.8,1.5,1.5
2,63.8,0.4,0.4
2,63.79,2.99,2.74
2,63.79,1.26,1.26
2,63.8,9.7,7.5
2,63.78,2.76,2.54
2,63.8,0.5,0.5
2,63.77,2.81,2.58
2,63.77,0.92,0.92
2,63.77,5.44,5.44
2,63.77,2.43,2.26
2,63.77,0.63,0.63
2,63.77,9.71,7.44
2,63.77,0.97,0.97
2,63.76,1.17,1.17
2,63.76,0.88,0.88
2,63.76,1.65,1.65
2,63.76,0.5,0.5
2,63.75,1.4,1.34
2,63.74,3.56,3.21
2,63.74,0.36,0.36
2,63.74,1.62,1.54
2,63.73,1.29,1.29
2,63.73,0.8,0.8
2,63.7,1.3,1.3
2,63.72,0.32,0.32
2,63.72,0.69,0.69
2,63.72,2.08,1.95
2,63.72,0.9,0.88
2,63.72,1,1
2,63.72,0.75,0.75
2,63.72,1.34,1.34
2,63.71,2.9,2.66
2,63.71,1.75,1.75
2,63.71,0.94,0.94
2,63.71,1.08,1.08
2,63.71,3.49,3.15
2,63.7,0.35,0.35
2,63.7,0.32,0.32
2,63.7,0.5,0.5
2,63.7,0.6,0.6
2,63.7,1.4,1.4
