Type,carbon_isotopes,silicon_isotopes
M,25.11,33
Z,25.12,-59
M,25.13,45
M,25.14,20
M,25.18,-2
M,25.18,19
M,25.2,41
M,25.24,-57
M,25.26,71
M,25.3,-14
M,25.3,57
M,25.35,34
M,25.36,23
M,25.38,34
M,25.47,94
M,25.48,58
M,25.50,59
M,25.5,43
M,25.51,29
Z,25.6,-18.8
M,25.6,24
M,25.62,3
M,25.62,7
M,25.64,66.19
M,25.67,8
M,25.68,17
M,25.68,4
M,25.69,41
M,25.76,110
M,25.78,18
M,25.78,58
M,25.78,-126
M,25.83,13
M,25.83,-18
M,25.83,43
M,25.84,50
M,25.9,-11.0
M,25.86,37
M,25.86,1
M,25.87,54
M,25.87,27
M,25.9,101.3
M,25.98,67
M,25.98,52
M,25.99,94
Z,26.01,-71
M,26.03,61
M,26.04,61
M,26.05,13
M,26.05,54
M,26.1,72.0
M,26.07,10
M,26.08,58
M,26.10,28
M,26.12,123
M,26.13,31
M,26.14,22
M,26.15,98
M,26.15,38
X,26.1,-410
M,26.16,12
M,26.16,20
M,26.18,37
M,26.18,50
M,26.19,23
M,26.19,46
Z,26.21,-43
M,26.22,52
M,26.24,-108
M,26.26,-3
M,26.26,64
M,26.31,-8
M,26.32,15
M,26.34,105
M,26.35,43
M,26.38,15
M,26.38,46
M,26.39,22
M,26.43,40
M,26.44,36
M,26.50,104.6
M,26.52,67
M,26.53,-6
M,26.56,24
M,26.58,-40
M,26.58,12
M,26.60,-3
M,26.6,58.3
M,26.64,81
M,26.6,53.8
M,26.66,20
M,26.66,38
M,26.66,32
M,26.69,52
M,26.70,64
X,26.71,-137
M,26.73,-22
M,26.73,50
M,26.76,1
M,26.76,179
M,26.78,38
M,26.80,22
M,26.8,78.0
M,26.84,-53
M,26.86,-20
M,26.87,11
M,26.88,-24
M,26.89,-30
M,26.9,39
M,26.94,42
M,26.95,12
M,26.95,49
M,26.96,0
M,26.97,40
M,26.98,46
M,27.02,38
M,27.02,12
M,27.0,-5.0
M,27.03,53
M,27.03,32
M,27.04,45.42
M,27.04,40
M,27.04,36
M,27.05,58
X,27.08,-300
M,27.10,2
M,27.13,40
M,27.19,83
M,27.2,174.5
M,27.22,71
M,27.22,62
M,27.24,-92
M,27.26,45
M,27.27,10
M,27.27,30
M,27.28,49
M,27.29,-33
M,27.3,22
M,27.30,55
M,27.32,-6
M,27.35,21
M,27.35,17
M,27.36,20
Z,27.36,34
M,27.37,38
M,27.37,52
M,27.37,38
M,27.38,34
M,27.4,88
M,27.4,159
M,27.40,169.8
M,27.41,44
M,27.41,34
M,27.43,-1
M,27.47,65
M,27.48,182
M,27.48,56
M,27.49,25
M,27.51,-78
M,27.51,35
M,27.51,46
M,27.52,52
M,27.52,72
M,27.53,46
M,27.5,63.8
M,27.56,26
M,27.58,59
M,27.59,-7
M,27.59,8
M,27.6,179.7
M,27.64,-9
M,27.66,49
M,27.67,45
M,27.67,-9
M,27.68,0
M,27.70,175.5
M,27.73,-9
M,27.76,46
M,27.78,24
M,27.80,19
M,27.8,47.7
M,27.80,49.0
M,27.8,96
M,27.80,129
M,27.80,33
M,27.81,98
M,27.84,-8
M,27.84,31
M,27.85,-6
M,27.85,55
M,27.86,110
M,27.86,26
M,27.87,24
M,27.87,5
M,27.88,62
M,27.91,28
M,27.94,7
M,27.94,33
M,27.95,102
M,27.96,-22
M,27.98,37
M,27.98,23
M,27.99,26
M,27.99,45
M,27.99,44
Z,28,-20
M,28,25
M,28.0,24.7
M,28.06,141
M,28.08,-4
M,28.09,15
M,28.09,57
M,28.10,3
M,28.1,-53
M,28.1,59
M,28.14,17
M,28.14,14
M,28.16,104
M,28.16,36
M,28.17,14
M,28.20,0
M,28.2,107
M,28.21,51
M,28.23,75
M,28.3,57
M,28.30,60.6
M,28.35,20
M,28.36,45
M,28.37,17
M,28.38,48
M,28.38,2
M,28.40,51
Z,28.41,-7
M,28.41,17
M,28.43,8
M,28.44,14
M,28.47,53
M,28.55,101
Z,28.55,-33
M,28.55,14
M,28.56,26
M,28.6,-10.6
M,28.58,40
M,28.59,62
M,28.6,52
M,28.6,156.7
M,28.61,78
M,28.61,50
M,28.61,81
M,28.62,31
M,28.62,11
M,28.6,43.7
M,28.69,48
M,28.69,34
Z,28.7,-51
M,28.70,11
M,28.71,167
M,28.71,15
M,28.72,32
M,28.73,34
M,28.76,26
M,28.77,49
M,28.79,34
M,28.83,-8
M,28.83,42
M,28.85,89
M,28.87,54
M,28.88,20
M,28.88,1
M,28.88,-28
M,28.89,8
M,28.89,59
M,28.91,7
M,28.92,-64
M,28.95,52
M,28.97,-20
M,29.03,98
M,29.03,63
M,29.04,13
M,29.05,25
M,29.05,36
M,29.09,50
M,29.13,16
M,29.13,26
M,29.15,34
M,29.16,40
M,29.17,4
M,29.17,37
M,29.18,135
M,29.2,15
M,29.21,70
M,29.23,18
M,29.23,48
M,29.25,-18
M,29.25,1
M,29.28,2
M,29.29,38
M,29.31,23
M,29.33,27
M,29.33,159
M,29.36,25
M,29.38,23
M,29.38,6
M,29.4,151.2
M,29.41,-8
M,29.42,-16
M,29.44,67
M,29.45,45
M,29.45,41
M,29.46,18
M,29.47,27
M,29.48,42
M,29.49,34
M,29.51,24
M,29.54,59
M,29.56,41
M,29.56,125
M,29.57,8
M,29.58,38
M,29.61,43
M,29.61,56
M,29.65,52
M,29.66,94
M,29.66,0
M,29.66,26
M,29.68,42
M,29.68,73
M,29.68,-3
M,29.68,52
M,29.70,-46
M,29.72,34
M,29.74,55
M,29.7,86.7
M,29.74,-6
M,29.75,64
M,29.75,7
M,29.77,16
M,29.77,42
M,29.78,169
M,29.85,23
M,29.86,19
M,29.87,82
M,29.88,-30
M,29.93,29
M,30,97
M,30.01,4
M,30.01,29
M,30.03,25
M,30.03,50
M,30.06,103
M,30.06,-36
M,30.15,10
M,30.16,82
M,30.20,72
M,30.21,0
M,30.21,-20
M,30.21,77
M,30.21,65
M,30.23,68
M,30.26,26
M,30.26,74
M,30.26,1
M,30.26,31
M,30.27,19
M,30.27,25
U,30.29,27
M,30.29,35
M,30.29,30
M,30.31,40
M,30.32,29
M,30.36,48
M,30.39,-26
M,30.40,68
M,30.40,54
M,30.41,35
M,30.42,48
M,30.43,30
M,30.45,58
M,30.45,-35
M,30.49,67
M,30.50,44
M,30.52,6
M,30.53,40
M,30.53,39
M,30.53,-4
M,30.56,-25
M,30.58,21
M,30.58,43
M,30.61,10
M,30.61,-23
M,30.66,61
M,30.66,16
M,30.69,27
M,30.70,-21
M,30.70,52
M,30.70,43
M,30.73,-20
M,30.75,69
M,30.75,22
M,30.76,-29
M,30.8,40
M,30.81,32
M,30.82,75
M,30.83,-8
M,30.84,15
M,30.85,-16
Z,30.85,-2
M,30.88,49
M,30.88,54
M,30.88,-2
M,30.91,-11
M,30.91,29
M,30.94,9
M,30.95,30
M,30.95,21
M,30.96,-34
X,31.0,-314
M,30.97,63
M,31,-21
M,31,43
M,31.00,73
M,31.01,28
M,31.04,60
M,31.05,93
M,31.08,9
M,31.10,73
M,31.1,13
M,31.10,37
M,31.11,70
M,31.11,35
M,31.11,22
M,31.12,20
X,31.12,-113
M,31.13,53
M,31.18,51
M,31.18,70
M,31.2,39
M,31.21,13
M,31.22,48
M,31.23,30
M,31.24,63
M,31.24,73
M,31.26,19
M,31.26,-5
M,31.27,115
M,31.3,53.5
M,31.28,-1
M,31.3,38.0
M,31.3,79
M,31.30,18
M,31.30,32
M,31.31,13
M,31.4,59
M,31.41,44
M,31.46,34
M,31.46,19
M,31.49,-64
M,31.49,-27
M,31.51,36
M,31.51,-5
M,31.54,74
Z,31.59,-151
M,31.61,140
M,31.61,61
M,31.63,127
M,31.68,21
M,31.68,-7
M,31.68,-20
M,31.7,72.0
M,31.69,30
M,31.70,99
M,31.70,40
M,31.71,61
M,31.72,40
M,31.72,49
M,31.77,33
M,31.77,49
M,31.77,10
M,31.78,-33
M,31.79,16
M,31.79,126
M,31.80,6
M,31.82,12
M,31.85,42
M,31.86,11
M,31.86,87
M,31.87,-8
M,31.88,99
M,31.90,-14
M,31.91,9
M,31.96,-11
M,31.96,13
M,31.99,87
M,32.01,15
M,32.02,27
M,32.03,-47
M,32.04,34
M,32.04,22
M,32.06,28
M,32.1,73.8
M,32.08,43
M,32.10,28
M,32.11,32
M,32.12,42
M,32.14,-29
M,32.15,27
M,32.16,92
M,32.17,19
M,32.17,66
M,32.18,117
M,32.19,9
M,32.2,37.4
M,32.23,75
M,32.26,50
M,32.27,10
M,32.27,95
M,32.27,24
M,32.28,18
M,32.30,21
M,32.31,63
M,32.33,59
M,32.34,34
M,32.34,58
M,32.35,46
M,32.39,-15
M,32.4,53
M,32.41,23
M,32.41,50
M,32.44,14
M,32.49,89
M,32.50,11
M,32.5,32
M,32.51,-2
M,32.55,30
M,32.57,42
M,32.6,78
M,32.62,9
M,32.63,83
M,32.66,41
M,32.68,25
M,32.69,42
M,32.69,16
M,32.69,138
M,32.70,43
Z,32.71,-12
M,32.75,15
M,32.76,65
M,32.77,31
M,32.79,25
M,32.79,-9
Z,32.8,-30
Z,32.82,-45
M,32.84,17
M,32.85,28
M,32.86,43
M,32.89,37
M,32.90,-14
M,32.90,34
M,32.91,34
M,32.94,37
M,32.95,20
M,32.96,81
M,32.98,47
M,32.99,22
M,33,58
M,33.00,33
M,33.02,98
M,33.04,149
M,33.07,5
M,33.1,67.0
M,33.07,98
M,33.10,41
M,33.11,122
M,33.12,82
M,33.14,36
M,33.14,31
M,33.16,22
M,33.16,65
M,33.17,42
M,33.18,59
M,33.18,31
M,33.19,136
M,33.20,23
M,33.20,3
M,33.21,35
M,33.24,31
M,33.26,28
M,33.27,20
M,33.29,90
M,33.32,38
M,33.33,40
M,33.34,1
M,33.34,52
M,33.36,-21
U,33.36,79
M,33.38,28
M,33.40,-16
M,33.40,6
M,33.41,72
M,33.42,51
M,33.43,76
M,33.44,94
M,33.46,41
Z,33.47,-19
M,33.47,115
M,33.48,1
M,33.49,8
M,33.49,23
M,33.52,-4
M,33.52,28
M,33.53,17
M,33.56,54
M,33.56,9
M,33.57,5
M,33.58,47
M,33.64,8
M,33.64,-4
M,33.64,14
M,33.64,17
M,33.64,91
M,33.69,83
M,33.72,17
M,33.73,88
M,33.76,19
M,33.78,64
M,33.79,46
M,33.8,-21.2
M,33.80,77
M,33.81,12
M,33.82,-15
M,33.9,44.8
X,33.86,-226
M,33.87,-31
M,33.88,25
M,33.89,46
M,33.89,47
M,33.90,23
M,33.90,58
M,33.94,65
M,33.95,38
M,33.96,30
M,33.97,50
M,33.98,51
M,33.99,13
M,33.99,-13
M,34.00,57
M,34.00,30
M,34.03,-48
M,34.03,43
M,34.04,29
M,34.06,14
M,34.06,12
M,34.07,-51
M,34.07,151
M,34.07,30
M,34.08,-14
M,34.09,45
M,34.1,-39
M,34.11,102
M,34.13,-1
M,34.14,-57
M,34.15,78
M,34.16,2
M,34.16,37
M,34.16,-2
M,34.19,-24
M,34.20,36
M,34.21,-10
M,34.21,56
M,34.25,66
M,34.3,74.8
M,34.30,30
M,34.32,-52
M,34.33,-7
M,34.33,70
M,34.35,155
M,34.36,-21
M,34.36,14
M,34.36,-7
M,34.37,113
M,34.37,49
M,34.39,77
M,34.41,31
M,34.42,26
M,34.42,21
M,34.46,34
M,34.47,78
M,34.5,108.4
Z,34.48,-48
M,34.5,65.3
M,34.5,-52
M,34.52,33
M,34.55,39
M,34.59,54
M,34.59,120
M,34.6,-3.1
M,34.61,-41
M,34.63,53
M,34.64,2
M,34.64,54
M,34.65,60
M,34.67,7
M,34.7,128.5
M,34.68,11
M,34.69,-8
M,34.69,-6
M,34.69,26
M,34.70,22
M,34.72,6
M,34.75,68
M,34.75,39
M,34.75,88
M,34.75,25
M,34.75,52
M,34.76,-36
M,34.76,72
M,34.79,53
M,34.80,14
M,34.8,47.0
M,34.83,3
M,34.83,65
M,34.83,32
M,34.84,39
M,34.84,28
M,34.84,52
M,34.85,40
M,34.85,3
M,34.87,7
M,34.89,0
M,34.90,67
M,34.93,34
M,34.93,45
M,34.93,23
M,34.94,43
M,34.94,67
M,34.96,-15
M,34.97,49
M,34.98,27
U,35.00,3
M,35.00,27
M,35.03,10
M,35.03,56
Z,35.04,-40
M,35.04,47
M,35.05,43
M,35.09,34
M,35.09,41
M,35.10,33
M,35.1,22
M,35.10,52
M,35.12,28
M,35.12,-26
M,35.13,49
M,35.15,47
M,35.2,61.6
M,35.19,26
M,35.2,21.0
M,35.22,9
M,35.22,37
M,35.24,71
M,35.24,25
M,35.27,24
M,35.29,28
M,35.30,59
M,35.32,22
M,35.33,25
M,35.33,55
M,35.33,31
M,35.34,6
M,35.35,25
M,35.39,30
M,35.40,101
M,35.41,65
M,35.4,107.2
M,35.42,39
M,35.42,-11
M,35.43,14
M,35.45,76
M,35.45,22
M,35.45,20
M,35.46,21
M,35.47,52
M,35.47,10
M,35.50,6
M,35.54,47
M,35.54,-81
M,35.55,52
M,35.56,5
M,35.58,16
M,35.59,20
X,35.6,-130
M,35.60,63
M,35.62,-2
M,35.63,94
M,35.64,51
M,35.66,55
M,35.68,15
M,35.68,60
M,35.68,31
M,35.69,71
M,35.7,-2
M,35.7,9
M,35.71,-40
M,35.73,45
M,35.74,73
M,35.75,47
M,35.75,36
M,35.78,36
M,35.79,-6
M,35.79,34
M,35.79,-12
M,35.80,14
M,35.81,33
M,35.81,2
M,35.82,77
M,35.83,0
M,35.84,24
M,35.84,42
M,35.84,6
Z,35.85,-196
M,35.85,61
M,35.87,26
M,35.89,28
M,35.90,124
M,35.91,63
M,35.91,74
M,35.91,87
M,35.92,10
M,35.92,-3
M,35.92,-17
M,35.93,6
M,35.94,27
M,35.94,41
M,35.94,44
M,35.95,50
M,35.97,-16
M,35.98,-1
M,35.99,19
M,36.01,32
M,36.02,49
M,36.03,65
M,36.03,8
M,36.04,10
M,36.05,73
M,36.06,-29
M,36.07,-2
M,36.09,91
M,36.09,-16
M,36.1,176
M,36.11,26
M,36.12,34
M,36.12,83
M,36.17,78
M,36.18,88
M,36.18,28
M,36.20,39
M,36.20,91
M,36.21,35
M,36.21,47
M,36.21,42
M,36.23,34
M,36.25,85
M,36.27,-9
M,36.27,-38
M,36.28,11
M,36.28,26
M,36.29,26
M,36.29,-7
M,36.3,-34
M,36.31,-28
M,36.32,38
M,36.33,33
M,36.33,65
Z,36.33,3
M,36.36,120
M,36.36,-22
Z,36.37,-81
M,36.39,13
M,36.40,113
M,36.40,41
M,36.43,43
M,36.44,100
Z,36.46,-57
M,36.46,64
M,36.46,29
M,36.48,38
M,36.48,32
M,36.49,15
M,36.49,4
M,36.49,56
M,36.51,-25
M,36.51,15
M,36.51,28
M,36.52,29
Z,36.54,-18
M,36.56,41
M,36.57,48
M,36.58,125
M,36.59,75
M,36.6,60
M,36.60,22
M,36.64,69
M,36.65,-24
X,36.66,-218
M,36.66,24
M,36.67,25
Z,36.68,-32
M,36.68,36
M,36.69,78
M,36.7,66
M,36.71,1
M,36.71,52
M,36.71,94
M,36.75,107
M,36.77,34
M,36.78,10
M,36.79,79
M,36.79,56
M,36.8,33.7
M,36.8,-12.7
M,36.83,40
M,36.83,41
M,36.85,-24
M,36.85,56
M,36.88,35
M,36.88,33
M,36.90,23
M,36.90,35
M,36.91,18
M,36.92,27
M,36.92,8
M,36.92,57
M,36.94,71
M,36.94,39
M,36.96,74
M,37.0,239.1
M,37.00,27
M,37,11
M,37.00,70
M,37.02,82
M,37.02,55
M,37.0,27.9
M,37.03,14
M,37.03,77
M,37.04,11
M,37.04,51
M,37.06,108
M,37.06,25
M,37.09,-21
M,37.09,40
M,37.09,62
M,37.10,8
M,37.11,32
M,37.12,3
M,37.12,44
M,37.17,33
M,37.2,61.2
M,37.20,43
M,37.22,-14
M,37.23,48
M,37.24,8
M,37.29,-12
M,37.29,70
M,37.30,39
M,37.31,54
M,37.31,18
M,37.32,43
M,37.33,30
M,37.35,57
M,37.3,51.4
M,37.36,37
M,37.37,24
M,37.38,32
M,37.4,58
M,37.38,24
M,37.39,39
M,37.39,118
M,37.4,51
M,37.41,21
M,37.4,67.1
M,37.44,26
Z,37.46,-67
M,37.46,122
M,37.46,29
M,37.47,96
M,37.51,24
M,37.52,16
M,37.52,103
M,37.53,85
M,37.53,21
M,37.54,42
M,37.54,-23
M,37.57,116
M,37.59,25
M,37.59,17
M,37.6,69
M,37.61,-28
M,37.62,14
M,37.63,25
M,37.65,77
X,37.7,-361
M,37.68,84
M,37.68,-4
M,37.69,14
M,37.69,41
M,37.69,-11
M,37.72,47
M,37.73,-17
M,37.73,59
M,37.74,0
M,37.75,5
M,37.75,19
M,37.75,37
M,37.76,90
M,37.77,28
M,37.77,36
Z,37.77,-69
M,37.77,128
M,37.77,61
M,37.79,117
M,37.80,76
M,37.8,28
Z,37.81,26
M,37.8,23.7
M,37.82,19
M,37.85,26
M,37.86,41
M,37.87,-35
M,37.87,23
M,37.90,40
M,37.9,22.5
M,37.90,36
M,37.92,70
M,37.94,-25
M,37.96,-12
M,37.96,3
M,37.98,12
M,37.99,66
M,37.99,29
M,38.02,97
M,38.03,-25
M,38.04,45
M,38.05,14
M,38.06,3
M,38.06,114
M,38.1,22.1
M,38.09,40
M,38.09,40
M,38.10,47
M,38.1,88
M,38.11,74
M,38.11,7
M,38.11,36
M,38.11,31
M,38.12,6
M,38.13,53
M,38.13,28
M,38.14,55
M,38.15,31
M,38.15,39
M,38.15,38
M,38.17,46
M,38.17,105
M,38.19,-17
M,38.19,64
M,38.20,76
M,38.20,59
M,38.20,-23
M,38.20,37
M,38.21,31
M,38.22,42
M,38.23,12
M,38.25,222
M,38.25,52
M,38.3,102.6
M,38.26,-38
M,38.26,-14
M,38.27,-63
M,38.28,107
M,38.3,131
M,38.30,58
M,38.31,68
M,38.31,22
M,38.32,67
M,38.32,79
M,38.33,129
M,38.34,46
M,38.37,11
M,38.38,39
Z,38.39,24
M,38.4,93.5
M,38.40,30
M,38.41,32
M,38.41,73
M,38.42,30
M,38.42,82
M,38.42,24
M,38.44,36
M,38.44,29
M,38.44,42
M,38.46,18
M,38.47,21
M,38.48,128
M,38.5,1
M,38.51,73
M,38.52,90
M,38.52,54
M,38.54,68
M,38.6,107.0
M,38.57,26
M,38.57,35
M,38.58,26
M,38.58,184
M,38.58,-8
M,38.63,69.81
M,38.63,48
M,38.64,44
M,38.7,40.6
M,38.65,-4
M,38.65,-37
M,38.7,31.5
M,38.66,129
M,38.66,54
M,38.67,45
M,38.68,25
M,38.69,36
M,38.70,26
X,38.7,-196
M,38.72,35
M,38.74,8
M,38.77,-1
M,38.78,53
M,38.79,-5
M,38.79,30
M,38.80,102
M,38.8,-31.1
M,38.83,6
M,38.84,4
M,38.84,47
M,38.85,55
M,38.86,16
M,38.87,65
M,38.87,20
M,38.88,22
M,38.89,74
M,38.89,25
M,38.90,41
M,38.90,123
M,38.9,47
M,38.91,37
M,38.95,86
M,38.95,19
M,38.96,-32
M,38.97,36
M,38.98,10
M,38.99,104
M,38.99,41
M,38.99,45
M,39.00,18
X,39,-350
M,39.00,23
M,39.00,100
M,39.01,47
M,39.02,13
M,39.05,35
M,39.05,9
M,39.06,35
M,39.06,73
M,39.06,46
M,39.06,71
M,39.06,28
M,39.07,46
M,39.08,20
M,39.10,54
M,39.10,31
M,39.10,69
M,39.12,45
M,39.12,26
M,39.12,4
M,39.13,23
M,39.13,98
M,39.15,44
Z,39.2,1.9
M,39.17,-41
M,39.19,-81
M,39.19,24
M,39.20,73
Z,39.2,-43
M,39.2,44
M,39.2,49
M,39.21,118
M,39.22,12
M,39.24,74
M,39.24,66
M,39.25,18
M,39.25,-23
M,39.28,80
M,39.28,174
Z,39.30,-11
M,39.30,24
M,39.31,10
M,39.32,12
M,39.32,-48
M,39.32,18
M,39.33,11
M,39.33,5
M,39.34,28
M,39.35,45
M,39.35,-16
M,39.35,23
M,39.36,47
M,39.36,93
M,39.36,39
M,39.37,22
M,39.37,-11
M,39.38,78
M,39.40,-17
M,39.40,7
M,39.41,18
M,39.41,-15
M,39.4,-9.3
M,39.4,58.6
M,39.43,21
M,39.43,22
M,39.44,50
M,39.46,9
M,39.46,61
M,39.47,1
Z,39.49,42
X,39.5,-129
M,39.50,74
M,39.51,77
M,39.5,30.6
X,39.53,-101
M,39.53,50
M,39.53,38
M,39.53,-22
M,39.54,94
M,39.54,38
M,39.55,28
M,39.55,42
M,39.55,46
M,39.56,30
M,39.57,39
M,39.57,-9
M,39.58,47
M,39.58,28
M,39.59,92
M,39.6,30
M,39.61,55
M,39.61,29
M,39.61,-21
M,39.63,-3
Z,39.63,-41
M,39.65,-5
M,39.66,14
M,39.66,9
M,39.66,29
M,39.67,-2
M,39.67,26
M,39.68,36
M,39.68,63
M,39.68,97
M,39.69,5
M,39.7,19.1
M,39.7,48
M,39.7,94
M,39.70,40
M,39.71,8
M,39.72,97
M,39.73,32
M,39.76,53
M,39.77,64
M,39.78,41
M,39.78,165.83
M,39.78,16
M,39.79,40
M,39.80,59
M,39.81,48
M,39.8,9.3
M,39.81,11
M,39.81,-16
M,39.81,-10
M,39.81,-15
M,39.82,46
M,39.82,21
M,39.83,-83
M,39.83,46
M,39.8,62.5
M,39.85,64
M,39.86,5
M,39.86,54
M,39.87,11
M,39.87,81
M,39.88,158
M,39.88,122
M,39.88,64
M,39.89,83
M,39.90,14
M,39.91,17
M,39.91,5
M,39.91,4
M,39.92,21
M,39.92,26
M,39.93,49
M,39.93,30
M,39.94,6
M,39.94,61
M,39.94,34
M,39.96,46
Z,39.97,-16
M,39.97,62
M,39.97,-1
M,39.99,56
M,40.0,71.0
M,40.03,16
M,40.04,47
M,40.04,122
M,40.04,48
M,40.1,9.1
M,40.06,3
M,40.07,23
M,40.07,66
M,40.1,55
M,40.10,58
M,40.10,37
M,40.11,-32
M,40.12,17
M,40.12,29
M,40.13,4
M,40.13,33
M,40.13,-4
M,40.13,29
M,40.13,22
M,40.13,37
M,40.15,-6
M,40.16,92
M,40.17,75
M,40.18,101
M,40.19,34
M,40.19,-148
M,40.19,62
Z,40.2,-81
M,40.22,-10
M,40.22,9
M,40.23,58
M,40.24,50
M,40.24,-5
M,40.24,33
M,40.24,70
M,40.25,36
M,40.26,27
M,40.26,60
M,40.3,134.6
M,40.27,48
M,40.28,34
M,40.29,30
M,40.29,105
M,40.30,69
M,40.31,-16
M,40.31,7
M,40.31,-4
M,40.34,1
M,40.35,119
M,40.35,27
U,40.35,24
M,40.36,76
M,40.36,-20
M,40.36,67
M,40.37,120
M,40.37,108
M,40.38,5
M,40.39,81
M,40.40,90
M,40.40,-2
M,40.40,86
M,40.4,6
M,40.4,34.4
M,40.41,13
M,40.41,12
M,40.42,6
M,40.42,70
X,40.4,-420
M,40.43,-11
M,40.43,120
Z,40.4,-2.2
M,40.45,41
M,40.46,81
M,40.47,77
M,40.47,100
M,40.47,32
M,40.48,30
M,40.48,165
X,40.49,-230
M,40.49,1
M,40.5,140
M,40.53,-10
M,40.53,74
M,40.53,43
M,40.53,42
M,40.53,30
M,40.54,49
M,40.55,12
M,40.55,24
U,40.55,60
M,40.55,18
M,40.56,27
M,40.56,56
Z,40.57,-27
M,40.58,11
M,40.59,25
M,40.6,68
M,40.60,86
M,40.61,-27
M,40.61,85
M,40.62,-13
M,40.62,12
M,40.63,24
M,40.63,47
M,40.64,11
M,40.64,161.45
M,40.64,145
M,40.65,23
M,40.65,-43
M,40.67,-5
M,40.68,-23
M,40.69,4
Z,40.70,-28
M,40.70,15
M,40.70,54
M,40.71,58
M,40.72,48
X,41,-209
M,40.73,24
M,40.74,-19
M,40.77,72
M,40.77,50
Z,40.79,-58
M,40.79,21
M,40.79,8
M,40.8,76
M,40.80,-2
M,40.81,87
M,40.8,142.0
M,40.81,10
M,40.82,103
Z,40.84,-47
M,40.85,-24
M,40.86,-16
M,40.88,43
M,40.89,32
M,40.9,54.3
M,40.9,156
M,40.92,48
Z,40.92,-56
M,40.92,46
M,40.93,-45
M,40.93,15
M,40.95,34
M,40.95,25
M,40.95,75
M,40.96,48
M,40.96,1
M,40.97,24
M,40.98,51
M,40.98,35
M,40.99,39
M,40.99,13
M,41.00,12
M,41.0,-19.8
M,41.02,24
M,41.02,24
M,41.05,-45
M,41.05,75
M,41.06,-101
M,41.07,61.61
M,41.07,64
M,41.07,43
M,41.1,50.6
M,41.09,28
M,41.10,39
M,41.1,109
M,41.1,166.9
M,41.11,55
M,41.12,14
M,41.13,101
M,41.13,55
M,41.14,75
M,41.15,28
M,41.16,152
M,41.16,37
M,41.16,56
M,41.17,57
M,41.17,72
M,41.18,25
M,41.18,90
M,41.18,43
M,41.19,20
M,41.2,-35
M,41.2,37
M,41.21,111
M,41.21,22
M,41.21,75
M,41.22,29
M,41.23,13
M,41.23,96
M,41.23,154
M,41.25,6
M,41.26,-33
Z,41.28,-101
M,41.28,-43
M,41.29,186
M,41.30,43
Z,41.3,-141
M,41.30,168.3
M,41.30,44
M,41.30,9
Z,41.31,-141
M,41.31,21
M,41.32,14
M,41.32,19
M,41.33,3
M,41.33,29
M,41.34,16
M,41.34,4
M,41.34,25
M,41.35,-11
M,41.35,9
M,41.35,60
M,41.38,86
M,41.38,77
M,41.38,53
M,41.39,-27
M,41.39,9
M,41.39,83
M,41.39,59
M,41.39,72
M,41.4,-21
M,41.40,25
M,41.40,4
M,41.41,81
M,41.43,55
M,41.44,24
M,41.46,46
M,41.47,39
M,41.48,19
M,41.50,15
M,41.50,28
M,41.51,101
M,41.51,83
Z,41.51,-58
M,41.52,54
M,41.53,6
M,41.53,20
M,41.54,37
M,41.6,176.1
M,41.56,64
M,41.57,165
M,41.59,113
M,41.60,173
M,41.60,22
M,41.61,19
M,41.61,-41
M,41.61,23
M,41.61,34
M,41.61,18
M,41.61,20
M,41.63,165
M,41.64,23
M,41.66,27
M,41.7,44.8
M,41.66,38
M,41.67,20
M,41.68,-23
M,41.70,78
X,41.70,-188
M,41.7,51
M,41.70,40
M,41.70,30
M,41.71,30
M,41.71,82
M,41.72,49
M,41.72,76
M,41.72,20
M,41.73,67
M,41.75,53
M,41.76,39
M,41.76,24
M,41.76,39
M,41.77,51
M,41.79,16
M,41.79,29
M,41.79,49
M,41.79,156
M,41.81,56
M,41.81,82
M,41.81,64
M,41.83,61
M,41.83,46
M,41.84,34
M,41.84,176
M,41.84,38
M,41.85,19
M,41.86,69
M,41.86,3
Z,41.86,10
M,41.86,41
M,41.87,35
M,41.87,7
M,41.88,41
M,41.88,41
M,41.88,21
M,41.88,-17
M,41.88,56
M,41.89,151
M,41.89,-36
M,41.90,30
M,41.91,95
M,41.92,161
M,41.93,44
M,41.94,83
M,41.95,5
M,41.96,42
M,41.96,89
M,41.96,18
M,41.96,10
M,41.96,145
M,41.98,48
M,41.99,41
M,41.99,-10
M,41.99,32
M,41.99,-68
M,41.99,66
M,41.99,73
M,42.00,13
M,42,15
M,42.00,137
M,42,171
M,42.00,-13
M,42.01,65
M,42.03,55
M,42.04,76
M,42.06,85
M,42.07,45
M,42.07,46
M,42.07,-8
M,42.10,19
M,42.10,56
M,42.10,2
Z,42.12,-21
M,42.13,-1
M,42.1,5.2
M,42.14,25
M,42.14,60
M,42.14,23
M,42.14,11
M,42.16,24
M,42.2,170.9
M,42.16,58
M,42.17,-15
M,42.17,42
M,42.17,120
M,42.19,77
M,42.20,111
M,42.20,24
M,42.2,122.2
M,42.22,14
M,42.22,78
M,42.22,112
M,42.23,28
M,42.23,422
M,42.23,177
M,42.23,5
M,42.24,26
M,42.24,24
M,42.24,117
M,42.24,62
M,42.24,-4
M,42.25,150
M,42.27,84
M,42.27,25
M,42.28,9
M,42.28,41
M,42.28,43
M,42.28,4
M,42.3,73.0
M,42.29,-2
M,42.29,24
