Type,carbon_isotopes,silicon_isotopes
AB,5.06,-30
AB,5.06,4
AB,5.07,86
AB,5.08,60
AB,5.085,-21
AB,5.09,-4
AB,5.09,-10
AB,5.09,9
AB,5.10,68
N,5.1,55
AB,5.10,91
AB,5.11,0
AB,5.14,175
AB,5.15,48
AB,5.15,72
AB,5.15,55
AB,5.16,41
AB,5.16,54
AB,5.16,120
AB,5.17,33
AB,5.18,14
AB,5.2,52
AB,5.20,128
AB,5.22,81
AB,5.23,32
AB,5.24,-12
N,5.25,22
AB,5.25,-26
AB,5.27,60
AB,5.274,13
AB,5.29,-27.7
AB,5.29,100
AB,5.3,47
AB,5.31,64
AB,5.313,60
AB,5.32,48
AB,5.32,27
AB,5.33,58
AB,5.35,55
AB,5.364,22
AB,5.37,63
AB,5.4,64.8
AB,5.4,34
AB,5.40,32
AB,5.40,-29
AB,5.42,56
AB,5.42,25
AB,5.42,124
AB,5.42,98
AB,5.45,18
AB,5.47,79
AB,5.49,9
AB,5.492,-5
AB,5.50,198
AB,5.50,25
AB,5.51,31.9
AB,5.52,49
AB,5.55,-20
AB,5.55,118
AB,5.57,50
AB,5.59,51
N,5.59,-166
AB,5.600,-31
AB,5.600,-3
AB,5.6,3
AB,5.61,9
AB,5.62,54
AB,5.63,91
AB,5.64,137
AB,5.68,7
AB,5.69,79
AB,5.70,-1
AB,5.709,2
AB,5.73,59
AB,5.73,-16
AB,5.74,12
AB,5.75,0
AB,5.75,86
AB,5.76,39
AB,5.80,47
AB,5.80,27
AB,5.8,17
AB,5.80,43
AB,5.80,-28
AB,5.81,-5.64
AB,5.83,4
AB,5.832,-28
AB,5.84,-17
AB,5.87,0
AB,5.88,78
AB,5.9,13.0
AB,5.89,138
AB,5.89,-45
AB,5.90,114
AB,5.92,0
AB,5.93,90
AB,5.97,1
AB,5.97,-42
AB,5.98,-70
AB,6.00,-4.2
AB,6.00,-14
AB,6.01,31
AB,6.02,35
AB,6.031,10
AB,6.03,2
AB,6.052,37
AB,6.06,0
AB,6.07,63
AB,6.07,-21
AB,6.07,33
AB,6.08,-27
AB,6.09,-68
AB,6.10,-14
AB,6.11,0
AB,6.13,-2
AB,6.15,4
AB,6.15,37
AB,6.15,59
AB,6.16,-31
AB,6.16,46
AB,6.17,-4
AB,6.18,-16
AB,6.2,-55
AB,6.21,70
AB,6.22,17
AB,6.222,2
AB,6.23,4
AB,6.24,62
AB,6.24,39
AB,6.26,48
AB,6.3,-8
AB,6.31,42
AB,6.31,26
AB,6.31,26
AB,6.32,53
AB,6.33,-6
AB,6.40,-8
AB,6.4,14
AB,6.43,-19
AB,6.44,57
Z,6.45,-5
AB,6.45,126
AB,6.457,22
AB,6.47,-12
AB,6.47,42
AB,6.47,22
N,6.48,-489
Z,6.51,-1
AB,6.53,20
AB,6.554,63
AB,6.56,27
AB,6.58,69
AB,6.6,-60
AB,6.60,12
AB,6.61,82
AB,6.61,37
AB,6.62,95
AB,6.62,-5
AB,6.63,94
AB,6.63,41
AB,6.64,-4
AB,6.66,2
AB,6.66,30
AB,6.66,7
AB,6.66,-4
Z,6.67,18
AB,6.67,4
AB,6.68,-9
AB,6.72,-3
AB,6.72,33
AB,6.73,20
AB,6.75,74
AB,6.79,-5
AB,6.79,-10
N,6.8,-105
AB,6.80,96
AB,6.81,84
AB,6.82,38
AB,6.82,48
AB,6.84,-53
AB,6.86,-13
AB,6.87,83
AB,6.88,-5
AB,6.89,-6
AB,6.89,6
AB,6.9,-6
AB,6.9,0
AB,6.94,-1
AB,6.98,-14
AB,6.98,28
AB,6.98,-3
AB,6.99,5
AB,7.00,-1
AB,7.01,41
AB,7.02,-235
AB,7.02,-70
AB,7.03,18
AB,7.03,0
AB,7.04,83
AB,7.04,-1
AB,7.05,50
AB,7.07,85
AB,7.08,20
AB,7.10,1
AB,7.1,-2.2
AB,7.11,94
AB,7.11,32
AB,7.11,71
AB,7.13,5
AB,7.14,-1
AB,7.16,6
AB,7.18,-20
AB,7.19,192
AB,7.21,-1
AB,7.26,16
AB,7.27,29
AB,7.28,45
AB,7.31,239
AB,7.31,29
Z,7.33,-2
AB,7.37,-2
AB,7.37,192.32
AB,7.37,-36
AB,7.38,128
AB,7.39,-16
AB,7.39,-4
AB,7.40,-34
AB,7.4,192.0
AB,7.42,32
AB,7.43,14
AB,7.439,55
AB,7.45,-17
AB,7.48,15
AB,7.51,43
AB,7.519,-27
AB,7.55,28
AB,7.56,28
AB,7.57,48
AB,7.59,-19
AB,7.60,-18
AB,7.60,21
AB,7.63,160
AB,7.68,79
AB,7.69,26
AB,7.7,211.8
AB,7.73,116
AB,7.73,10
AB,7.74,22
AB,7.74,201
AB,7.76,79
AB,7.77,38
AB,7.78,-10
AB,7.79,200
AB,7.8,-3
AB,7.8,23
AB,7.8,52
AB,7.80,24
AB,7.8,188.6
AB,7.807,8
AB,7.83,192
AB,7.86,-24
AB,7.9,-24.4
AB,7.87,52
AB,7.87,9
AB,7.87,1
AB,7.89,3
AB,7.89,-25
AB,7.90,9
AB,7.92,38
AB,7.93,30
AB,7.967,24
AB,7.97,3
AB,8,8
AB,8.00,85
AB,8.01,69
AB,8.008,7
Z,8.04,12
AB,8.1,-39.1
AB,8.068,19
AB,8.08,-2
AB,8.12,40
AB,8.13,1
AB,8.15,66
AB,8.2,-68.4
AB,8.16,20
AB,8.17,57
AB,8.21,56
AB,8.22,60
AB,8.22,1
AB,8.2,73.2
AB,8.25,36
AB,8.26,93
AB,8.26,-10
AB,8.27,59
AB,8.27,1
AB,8.28,84
AB,8.3,102
AB,8.31,14
AB,8.31,29
AB,8.32,-9
AB,8.336,-24
AB,8.36,82
AB,8.36,-55
AB,8.37,-26
AB,8.38,19
AB,8.39,155
N,8.4,-4
AB,8.4,30
AB,8.4,58
AB,8.41,-35
AB,8.4,8.7
AB,8.46,-5
AB,8.47,76
AB,8.49,3
AB,8.5,37.3
AB,8.5,113.7
AB,8.50,141
AB,8.53,34
AB,8.54,95
AB,8.59,11
AB,8.60,-23
M,8.61,125
AB,8.63,35
AB,8.65,27
AB,8.65,-69
AB,8.68,174
AB,8.68,54
AB,8.69,31
AB,8.69,65
AB,8.70,15
AB,8.7,-16
AB,8.70,45
AB,8.7,52
AB,8.73,123
AB,8.73,75
AB,8.74,-6
AB,8.74,96
AB,8.75,178
AB,8.76,7
AB,8.77,46
AB,8.77,17
AB,8.78,-18
AB,8.79,2
AB,8.80,6
AB,8.81,49
AB,8.82,64
AB,8.820,-5.6
AB,8.82,-1
AB,8.82,60
AB,8.83,51
AB,8.8,42.2
AB,8.85,10
AB,8.86,49
AB,8.89,50
AB,8.89,-12
AB,8.89,42
AB,8.90,27
AB,8.927,61
AB,8.94,-20
AB,8.94,26
AB,8.94,49
AB,8.96,-27
AB,8.96,58
AB,8.97,63
AB,8.97,28
AB,8.97,1
AB,8.98,45
AB,9,42
AB,9.0,62
AB,9.01,-15
AB,9.01,92
AB,9.03,62
AB,9.03,17
AB,9.04,98
AB,9.04,-46
AB,9.0,0
AB,9.06,33
AB,9.08,114
AB,9.10,-7
AB,9.13,28
AB,9.13,11
AB,9.18,47
AB,9.21,80
AB,9.22,197
AB,9.23,37
AB,9.24,75
AB,9.26,44
AB,9.30,3
AB,9.33,25
AB,9.4,75.5
AB,9.39,32
N,9.4,28
AB,9.40,30
AB,9.43,58
M,9.43,81
AB,9.43,44
AB,9.45,6
AB,9.61,40
AB,9.61,61
AB,9.62,96
AB,9.64,75
AB,9.68,22
AB,9.69,46
AB,9.69,44
AB,9.71,-10
AB,9.71,51
AB,9.72,-2
U,9.72,10
AB,9.73,37
AB,9.74,32
AB,9.8,7.0
AB,9.80,98
AB,9.82,26
AB,9.84,16
AB,9.87,23
AB,9.89,69
AB,9.898,-26
AB,9.9,5.1
AB,9.9,21
AB,9.91,-4
AB,9.94,33
M,9.97,25
M,9.99,55
M,10.02,-21
M,10.02,41
M,10.04,37
M,10.05,122
AB,10.07,40
Z,10.08,-11
M,10.12,35
M,10.18,-7
X,10.2,-73
M,10.2,47
AB,10.28,17
M,10.29,-4
M,10.32,-4
M,10.33,43
M,10.34,48
M,10.38,12
M,10.41,20
M,10.44,30
AB,10.44,20
M,10.45,11
M,10.46,-7
M,10.46,24
M,10.46,71
M,10.48,66
M,10.52,-9
M,10.52,69
AB,10.52,72
M,10.57,34
M,10.59,32
M,10.60,45
M,10.6,11
M,10.6,64
Z,10.64,-148
M,10.67,58
M,10.69,47
M,10.70,58
M,10.7,-21
M,10.71,95
M,10.72,-8
M,10.73,51
M,10.75,118
M,10.78,-2
M,10.78,30
M,10.8,45
AB,10.8,63
M,10.80,5
Z,10.82,-186
M,10.83,-10
M,10.84,37
M,10.85,-12
M,10.87,61
M,10.89,26
M,10.89,42
M,10.9,30.1
AB,10.9,-27
M,10.9,17
M,10.9,76
M,10.96,-9
M,10.96,4
M,10.98,-16
Z,11,-15
M,11.01,21
M,11.04,-26
M,11.06,44
AB,11.1,18
M,11.1,98.4
M,11.11,-3
M,11.12,31
M,11.12,58
M,11.12,-13
Z,11.13,37
M,11.14,6
Z,11.16,-14
M,11.23,25
M,11.25,20
AB,11.27,5.60
M,11.28,71
M,11.32,-9
M,11.33,-20
M,11.37,119
M,11.38,69
AB,11.4,47
M,11.40,46
M,11.42,1
M,11.5,-27
M,11.5,-9
M,11.51,14
M,11.52,55
M,11.57,5
M,11.60,-5
Z,11.6,-3
Z,11.6,-58.7
M,11.63,33
M,11.7,-4.3
M,11.76,0
M,11.77,19
M,11.78,4
M,11.80,32
M,11.81,89
M,11.9,38
M,11.92,-12
M,11.94,-34
AB,11.95,51
M,11.98,29
M,11.99,41
M,11.99,-10
M,12.01,27
M,12.03,-40
M,12.05,-16
M,12.06,63
M,12.1,-24.7
M,12.10,-13
M,12.13,6
M,12.19,38
M,12.23,12
M,12.36,-23
M,12.36,31
M,12.37,56
M,12.39,-18
M,12.41,6
M,12.42,-9
X,12.44,-453
M,12.45,64
M,12.48,80
M,12.48,39
M,12.49,46
M,12.54,-9
M,12.6,61.3
M,12.60,41
Z,12.61,-41
M,12.61,150
M,12.64,19
M,12.66,38
M,12.67,21
M,12.69,14
M,12.70,46
M,12.72,4
M,12.74,-2
Z,12.75,-45
M,12.77,0
M,12.84,28
M,12.9,64.0
M,12.86,24
M,12.90,51
M,12.90,103
M,12.95,109
M,12.96,22
M,12.97,35
M,12.98,173
M,12.99,19
M,13,118
M,13.01,48
M,13.03,56
M,13.06,58
M,13.11,58
M,13.12,18
M,13.13,68
M,13.13,48
Z,13.14,-57
M,13.14,11
M,13.14,16
Z,13.18,-85.2
M,13.18,41
M,13.18,5
M,13.20,150
M,13.24,2
M,13.24,38
U,13.26,3
M,13.26,29
M,13.26,12
M,13.30,54
M,13.37,32
M,13.39,42
X,13.46,-330
M,13.50,-2
U,13.52,141
M,13.54,-14
M,13.66,55
M,13.70,106
AB,13.7,9
Z,13.73,15
M,13.75,38
M,13.76,4
M,13.78,-20
M,13.78,8
M,13.84,-3
M,13.86,23
M,13.90,28
M,13.91,5
M,13.93,17
M,13.95,22
M,13.96,-16
M,13.98,32
M,13.98,36
M,14.00,-9
M,14.01,118
M,14.01,34
M,14.05,67
M,14.06,54
M,14.09,22
M,14.09,8
M,14.11,2
M,14.11,16
M,14.17,102
M,14.17,104
M,14.17,24
M,14.190,49.7
M,14.19,97
M,14.23,47
M,14.24,20
M,14.26,22
M,14.28,14
M,14.31,61
M,14.36,-21
M,14.41,-22
M,14.47,36
M,14.49,87
M,14.49,29
M,14.50,19
M,14.52,-42
X,14.54,-162
M,14.55,17
M,14.55,13
M,14.58,41
M,14.59,-20
M,14.6,-11
M,14.61,52
M,14.64,59
M,14.65,27
M,14.65,42
M,14.65,33
M,14.68,11
M,14.69,59
M,14.7,-28
X,14.71,-329
M,14.71,-35
Z,14.75,-44
M,14.77,226
M,14.78,-15
M,14.79,34
M,14.81,17
M,14.81,54
M,14.85,54
M,14.92,56
M,14.96,39
M,14.96,52
Z,14.96,-94
M,14.98,22
M,14.99,50
Z,15.01,-47
M,15.02,-9
M,15.07,30
M,15.10,16
M,15.15,0
M,15.16,18
M,15.18,15
M,15.19,71
M,15.22,47
M,15.2,-26.1
M,15.3,15
M,15.30,6
M,15.38,8
Z,15.38,-10
M,15.42,42
M,15.47,120
M,15.50,28
M,15.50,24
M,15.50,33
M,15.52,66
M,15.53,23
M,15.54,52
M,15.58,51
M,15.58,25
X,15.60,-447
M,15.60,32
M,15.61,24
M,15.61,82
M,15.65,14
M,15.65,6
M,15.72,23
M,15.72,37
M,15.74,-18
M,15.76,13
M,15.78,9
M,15.87,69
M,15.91,-1
M,15.98,49
M,15.98,-6
M,15.99,-50
M,16.00,135
M,16.02,26
M,16.02,6
M,16.07,-9
M,16.08,17
M,16.15,-42
M,16.16,43
M,16.16,22
M,16.16,65
M,16.20,9
M,16.25,32
M,16.26,15
M,16.26,51
M,16.26,-133
M,16.3,47.0
M,16.31,50
M,16.33,73
M,16.38,-20
M,16.43,-19
M,16.44,61
M,16.48,34
M,16.54,86
M,16.55,28
M,16.56,-8
M,16.6,70.3
M,16.63,-41
M,16.63,-4
M,16.64,-20
Z,16.67,-97
M,16.69,62
M,16.7,-11.3
M,16.77,20
M,16.77,12
M,16.81,16
M,16.8,-10.5
M,16.83,22
M,16.84,36
M,16.84,0
M,16.85,2
M,16.87,42
M,16.89,52
Z,16.9,26
M,16.90,-23
M,16.91,46
M,16.93,37
M,17.00,33
M,17,65
M,17.03,68
M,17.04,37
M,17.04,-4
M,17.05,49
M,17.05,59
M,17.05,14
M,17.1,107.7
M,17.06,73
M,17.09,-24
M,17.09,38
M,17.1,58
Z,17.13,-44
M,17.13,31
M,17.15,54
M,17.17,52
M,17.19,-113
M,17.20,43
M,17.2,37
M,17.21,58
Z,17.21,-1
M,17.23,85
M,17.30,49
M,17.3,-34
M,17.3,25
M,17.32,20
M,17.34,27
M,17.34,56
M,17.35,38
M,17.36,-15
M,17.37,5
M,17.38,18
M,17.38,76
M,17.39,55
M,17.39,-11
M,17.43,4
M,17.45,42
M,17.49,81
M,17.54,-59
M,17.56,12
M,17.59,-31
M,17.6,11
M,17.64,54
M,17.64,25
M,17.67,50
M,17.68,-22
M,17.68,60
M,17.7,-48
M,17.7,76.8
M,17.71,75
M,17.76,59
M,17.8,24
M,17.80,9
X,17.8,-237
M,17.84,-44
M,17.85,56
M,17.86,10
M,17.88,44
M,17.89,50
M,17.93,72
M,17.93,52
M,17.97,-3
M,17.98,-4
M,17.99,9
M,18.0,-4.7
M,18.0,160.1
M,18.01,50
M,18.06,-15
M,18.08,-39
X,18.2,-419.4
M,18.15,9
M,18.16,77
M,18.19,106
M,18.22,-24
M,18.24,63
M,18.28,18
M,18.29,69
M,18.30,33
M,18.33,66
M,18.33,-26
M,18.34,7
M,18.35,71
M,18.36,24
M,18.38,72
M,18.38,54
M,18.39,36
M,18.40,22
M,18.41,17
M,18.44,43
M,18.46,-95
M,18.47,41
M,18.48,-13
M,18.50,24
M,18.51,38
M,18.57,28
M,18.61,-26
M,18.62,48
M,18.65,14
M,18.68,65
U,18.70,63.71
M,18.71,18
M,18.71,33
M,18.72,39
M,18.74,1
M,18.79,9
M,18.82,4
M,18.82,38
M,18.88,25
M,18.88,18
M,18.88,56
M,18.88,60
M,18.89,31
M,18.89,65
M,18.89,83
M,18.90,22
M,18.94,-32
M,18.98,-97
M,18.98,120
M,19.02,29
M,19.04,-29
M,19.1,-22
M,19.1,5.4
M,19.12,123
M,19.13,50
Z,19.14,14
M,19.14,55
M,19.15,-4
M,19.20,72
M,19.22,56
M,19.23,60
