Type,carbon_12_13,nitrogen_14_15,silicon_29_28,silicon_30_28
AB,2.57,459.04,56,81
AB,5.42,3989,56,36
M,36.49,2193,56,65
M,51.1,1051.15,56,52
M,54.68,1608,56,45
M,60.12,576,56,52
M,61.14,3769,56,57
M,62.4,1272,56,63
M,65.00,2018,57,28
M,45.55,4695,57,38
M,25.3,476,57,53
M,45.67,1792.28,57,43
M,59.58,924,57,41
M,30.45,364,58,57
AB,3.83,729,58,59
AB,4.10,991,58,47
AB,4.7,1554,58,46
AB,5.33,485.76,58,48
M,43.9,1515,58,64
M,45.91,693,58,43
M,61.3,883,58,64
M,58.31,705,58.1,32.3
M,37.4,237,58,58
M,46.75,547,59,83
AB,4.86,5838,59,71
AB,8.27,724,59,53
M,60.9,320,59,80
M,67.11,410.32,59,-4
M,73.10,1540,59,64
M,63.72,692,59,61
M,47.2,1175,60,73
M,59.78,1761,60,59
M,64.6,1215,60,67
M,73.29,1374,60,64
M,28.30,1256,60.6,57.9
M,62.33,1119,61,54
AB,4.87,2742,61,54
M,31.71,2007,61,58
M,45.7,2455,61,50
M,69.93,1184,61,53
M,37.2,2571,61.2,53.1
AB,6.24,360,62,76
M,41.07,321.25,61.61,53.47
M,68.6,1040,62,-4
AB,4.66,187.18,62,56
AB,4.80,3612,62,46
AB,9.0,1364,62,23
AB,9.03,1364,62,23
M,47.84,1008,62,58
M,54.16,1061.48,62,11
M,60.43,1416,62,75
M,67.4,332,62,58
M,75.83,986,62,62
M,47.72,425,63,70
Y,229,465,62.8,72.8
AB,5.37,2272,63,51
M,48.69,632,63,68
M,49.59,851,63,74
M,50.25,1574,63,50
M,67.78,813,63,54
M,57.6,296,63.6,44.9
U,18.70,10007.55,63.71,58.48
M,26.70,3204,64,57
AB,2.35,115,64,29
AB,2.66,79,64,78
M,53.71,754,64,69
M,54.74,1367,64,38
AB,2.87,134,64,38
Y,115,2747,64.2,95.2
M,49.86,549,64.5,75.2
M,19.26,7143,64.5,51.3
M,48.20,738,65,71
AB,2.66,57,65,68
M,67.61,931,65,57
M,47.2,1502,65.4,68.4
M,46.25,2522,66,79
M,25.64,2167.23,66.19,56.71
M,49.50,2217,66.3,53.6
Y,115,2424,66.3,65
M,64.54,1546,67,65
M,49.40,1744.08,66.57,58.77
M,43.8,1164,67,75
M,47.5,830,67,65
M,72.0,1163,67.6,46.1
AB,4.49,326,68,54
M,17.03,651.69,68,51
M,30.23,420.81,68,46
M,63.21,488,68,72
M,48.53,5684.76,68.09,64.66
M,21.8,718,68.6,71.9
M,51.00,1190,68.7,65.4
AB,6.58,3506,69,53
M,58.61,1261,69,70
M,56.40,3425,69.1,58.5
M,51.7,345,69.3,64.2
M,65.74,625,69,68
M,47.80,845,70,70
M,56.07,2717,70,62
M,65.24,943,70,55
M,44.2,1709,70.4,56.1
M,48.24,1348,70,61
M,44.50,3096,70.4,61.7
AB,4.770,431,70.6,51.6
M,63.0,226,71,56
M,49.08,328,72,75
M,61.50,3115,71.6,54.6
M,19.43,1736,72,57
M,57.80,897,72,72
AB,5.15,2928,72,52
M,49.40,455,72,71
M,50.76,1983,72,61
M,55.06,912.99,72,52
M,19.20,2097,72,66
M,34.76,749,72,71
M,92.57,1866,73,48
M,57.7,435,73,56
M,60.00,5747,73.4,71.0
M,57.26,1155,74,71
M,55.15,1248,74,70
M,59.91,2169,74,81
M,69.4,524,74,62
M,53.0,383,74,68
M,55.11,823,74,53
M,45.98,399,75,85
M,47.27,1290,75,74
M,59.73,1733,75,67
M,38.20,1620,76,76
M,43.20,641,76.0,75.2
M,40.8,2315,76,76
M,50.5,571.57,76,79
M,62.93,1449,76,72
M,68.7,543,76,39
M,61.35,2741,76,63
M,68.16,1318,76,42
M,51.2,389,76.5,86.1
M,59.30,4032,76.6,68.3
M,53.93,1895,77,70
AB,2.98,340,77,57
M,46.59,1280.06,77.81,68.78
M,68.1,1368,78.3,81.1
AB,2.35,240,79,75
AB,2.86,543,79,75
AB,5.69,281,79,63
AB,7.76,776,79,76
M,53.24,5493,80,79
M,56.4,705,80,77
M,59.25,748,80,60
M,60.3,319,80,49
M,78.02,1586,80,74
M,50.9,375,80.6,67.6
M,54.3,1477,81,90
M,50.3,3937,81.0,78.2
M,90.40,1771,81,89
AB,6.61,1577,82,57
M,47.41,1537,82,76
M,89.65,980,82,66
M,41.71,1818,82,89
M,55.33,2005.21,82.19,67.60
M,71.3,476,83,53
M,55.68,323,83,74
AB,6.87,290,83,37
AB,7.04,9819,83,72
M,41.51,462,83,78
M,47.08,636,83,66
M,72.9,658.48,83,17
M,92.3,1011,83.0,96.7
M,70.4,354,84,60
AB,6.81,4039,84,78
M,54.87,1201,84,48
AB,3.08,464,84,72
Y,142,1402,84.3,120.6
AB,2.15,118,85,71
AB,7.07,840,85,72
M,57.41,1578,85,82
M,68.01,701,85,74
M,90.52,873,85,85
AB,2.97,463,86,62
AB,4.08,432.62,86,106
AB,5.75,259,86,73
M,57.9,931.57,86,4
M,52.75,718.39,86.00,73.78
M,54.57,1889,86.4,73.2
M,55.10,2028,86.6,83.3
AB,2.95,591,87,78
M,50.68,1246,87,69
M,92.51,1056,87,69
M,49.80,717,87,84
M,56.58,924.27,87.14,80.55
M,52.69,2927.76,87.34,74.96
M,51.62,1170,87,65
M,42.30,2174,87.8,99.1
AB,3.21,114,88,86
M,27.4,1577,88,98
M,53.15,503,88,55
M,55.7,536,88,72
M,48.79,3800.70,88.10,79.37
M,92.83,563,88,62
M,19.87,401,89,72
M,46.09,2922,89,77
M,51.91,2970,89,67
M,44.90,2924,89.2,72.2
M,50.30,2353,89.6,70.4
AB,20,91,90,0
M,21.7,5370,90,76
M,55.91,1497,90,87
M,52.12,2345,90.1,73.1
M,53.10,4202,90.8,80.6
M,58.51,396,91,76
M,45.94,3602.52,90.96,81.72
AB,4.87,1371,91,64
M,49.54,1249,91,84
M,89.66,1184,91,98
M,49.37,2115.77,91.34,74.37
M,40.16,3051,92,82
M,48.58,799,92,93
M,49.10,865,92,86
Z,23.58,2041,92.4,193.2
AB,5.03,2334,93,74
M,48.29,2241,94,88
M,52.80,680,94.7,77.0
M,93,1751,94.7,92.8
M,52.39,2144,95,91
M,48.90,1767,95.0,87.4
M,52.65,419,95.1,83.1
M,51.64,2184,95,80
AB,8.74,917,96,82
Y,203,718,95.8,183.4
M,51.54,1138,96,83
AB,6.80,6623,96,91
M,39.72,865,97,94
M,48.8,1417,97,100
M,51,395,97,89
M,52.99,626,97,90
M,33.02,921,98,82
M,49.04,667,98,103
M,49.18,1944,98,99
AB,9.80,249,98,66
M,56.00,5814,98.5,86.2
M,57.5,434,98.6,73.5
M,60.22,1283,99,92
M,50.80,2801,99.9,79.4
AB,5.29,475.21,100,71
M,46.81,2968,100,94
M,46.97,884,100,74
M,51.12,120.96,100,22
M,49.17,3926,101,90
AB,4.50,1689,101.7,63.8
M,51.68,1145,102,102
M,55.52,2908,102,83
M,58.79,1938.35,102.39,87.02
M,43.8,197,103,84
M,51.86,2566,103,50
M,52.40,1294,103.4,84.2
M,53.13,303,104,89
M,50.81,1561,104,94
M,38.99,1068,104,100
M,49.64,876,104,75
M,69.4,314,104,135
M,57.91,2709,106,75
M,44.34,491.5,107,-34
M,46.33,1095,107,76
M,62.30,2000,107.0,93.9
M,38.28,298,107,91
M,55.0,970,107,18
AB,3.74,206,109,80
M,52.2,413,110.3,101.2
AB,3.73,161.66,110.96,70.54
M,52.6,2081,111,89
M,52.33,755.99,111.15,94.67
M,48.05,899,112,96
M,46.62,417,112,95
M,53.3,1356,114,97
M,54.2,3702,114,91
M,59.85,1008,115,90
M,56.82,742,115,101
M,46.67,2324,116,98
M,37.79,963,117,104
M,22.03,1007.1,119,97
M,52.31,1557,120,107
M,44.00,1153,120.0,102.1
M,51.2,398,123,116
M,54.64,340,124,105
X,96.8,34.5,124,-363
Y,2.2,35.22,124,191
M,46.64,1465,126,110
M,31.63,1945,127,102
M,55.39,553,127,116
M,47.0,252,128,113
M,22.8,1131,128.1,104.2
M,47.50,4386,128.3,104.9
M,27.80,3791,129,102
M,38.3,794,131,129
M,50.1,2160,132,109
M,46.01,3163,133,126
M,46.5,3441,133,112
M,52.39,589,134,103
AB,3.60,1540,136,80
M,33.19,469,136,116
M,42.00,331,137,102
M,52.31,411,137,120
AB,4.66,3279,138.8,113.1
M,49.30,480,139,117
M,43.2,978.28,140,112
M,45.46,435,140,107
M,50.28,534.95,140.49,101.44
M,45.3,1682,141,104
M,43.1,481,141.8,107.7
M,54.99,1231,142,102
M,51.3,418,142.6,121.9
M,47.60,736,143,121
M,50.3,646,144,108
M,43.15,1915,145,119
M,47.74,442.83,146,111
M,45.26,2071,150,134
M,51.80,907,150,130
M,41.89,445,151,124
M,34.07,522,151,127
AB,4.81,282,153,111
AB,4.69,2516,154,135
AB,4.38,308,156,100
AB,4.4,308,156,100
M,45.1,785.89,156,-446
M,39.88,1310,158,117
M,43.79,2151,160,135
M,46.1,3367,162.3,136.4
M,42.69,1053,164,119
M,40.48,756,165,140
M,41.63,2109,165,110
M,41.1,2833,166.9,136.6
M,41.30,3597,168.3,141.9
M,27.40,1502,169.8,134.4
M,42.2,675,170.9,141.8
M,42,2068,171,126
AB,8.68,1300,174,116
M,39.28,2049,174,152
M,27.70,4902,175.5,126.6
M,26.76,971,179,138
M,51.0,387,187,127
AB,7.8,1293,188.6,125.2
M,42.66,1322,190,148
AB,7.37,1696.55,192.32,120.27
X,148.3,220,200,-17
AB,7.74,446,201,132
M,42.78,684,203,159
U,4.4,305,380,326
M,42.23,231.71,422,397
M,74.17,332.61,577,-187
C,108.93,147.00,1082,1207
C,233,120,1280,1007
C,192.03,58.4,1345,1272
C,386.61,43,1362,1245
C,3290.1,31.5,1608,1283
C,844,213,2677,3287
