Type,carbon_12_13,nitrogen_14_15,silicon_29_28,silicon_30_28
Z,76.9,1822,-157,282
X,119.4,110.4,-156,-197
Z,71.51,1419,-155,107
X,75.35,68.8,-155,-273
Y,115.40,3569,-154,874
X,42.8,135,-152,-216
X,94.4,68.1,-152,-246
X,203.9,63.5,-151,-264
X,82.2,71.9,-151,-255
X,90,83,-150,-218
X,101.9,102.0,-149,-262
X,114.3,59.4,-148,-244
X,84.3,74.6,-148,-249
Z,61,4927,-148,182
Z,61.24,1189.83,-148,207
Z,65,1110,-148,134
X,119,125,-145,-230
Z,41.31,587.4,-141,29
Z,52.1,323,-140,367
X,26.71,36.3,-137,-161
Z,60.7,3258,-136,196
Z,87.21,2134,-132,321
Z,94.44,1248,-131,354
X,74.7,85.7,-130,-205
X,35.6,34.8,-130,-199
X,39.5,62.7,-129,-200
Z,48.57,1130,-129,333
M,53.19,425.96,-126,90
X,87,87,-126,-219
Z,76.2,2431,-125,363
Z,65.48,3032,-124,237
Z,123,19020,-124,235
Z,50.22,1962,-119,296
X,85.9,82.4,-119,-194
Z,51,2147,-115,137
M,17.19,897.65,-113,168
X,236,44.1,-111,-101
N,6.8,5.22,-105,237
M,77.17,766.65,-104,-152
X,336,56,-99,-605
X,126.6,36.5,-98,-191
AB,3.4,317,-97,-72
M,18.98,458.02,-97,-12
Z,73.63,519,-96,121
X,101,22.6,-96,-189
M,90.87,674.18,-95,27
X,63.26,75.6,-94,-171
Y,197.72,500.98,-94,-68
Z,55.3,2113,-90.3,-6.2
Z,13.18,1264,-85.2,34.2
X,73.9,164.5,-81,-119
Z,54.03,1146.45,-81,36
X,88.3,152.0,-77,-68
M,43.45,763.01,-75,0
AB,8.65,2654,-69,-54
Z,37.77,434,-69,27
Z,46.10,936,-69.0,36.3
Y,113.11,942.53,-65,-53
Z,85.6,940,-61,29
M,66.56,751.08,-60,-19
M,97.96,1547,-60,-38
Z,48.52,499,-59,26
Z,80.44,368,-56,92
AB,6.2,490.5,-55,28
X,604,33.0,-55,-89
X,330.8,53.7,-55,-92
M,42.69,950.92,-53,-44
Z,167.60,1550,-53,34
M,17.7,912.13,-48,5
M,77.89,581,-47,5
AB,5.89,243.32,-45,-38
AB,5.97,500.83,-42,-41
Y,127.5,693,-42,-3
M,69.45,618,-42,-9
M,49.67,476.06,-39,-63
M,82.11,3907,-36,-5
AB,4.47,143,-35,-18
AB,3.5,275.12,-35,-16
Y,118,3468,-35,17
AB,7.40,75,-34,18
Y,130.48,1493,-34,5
AB,4.55,151,-33,-16
AB,2.37,111.03,-32.51,-19.50
M,65.87,4355.43,-31.17,-3.91
Y,124.01,1492,-31,-5
M,67.4,620,-30.8,-2.6
Z,32.8,559,-30,17
M,64.55,5038.77,-29.84,-8.91
Y,119,1610,-29.2,0.9
Z,23,1347,-29,153
M,30.76,3366,-29,10
AB,2.36,231,-28,7
AB,5.29,397,-27.7,-16.2
AB,4.25,4680,-27,14
M,58.69,413.14,-27,40
M,96.75,2007.48,-27,-17
M,44.84,2570,-27,4
AB,3.23,396,-26,-4
AB,3.27,384,-25,-3
M,64.36,1459,-24,16
AB,3.27,374,-23,-4
Y,150,2000,-22.6,18.8
Y,146.0,931,-22.4,23.5
Y,116.1,480,-22.4,9.9
M,57.5,1475.87,-22,21
M,94.4,2164,-22,-7
X,50.8,250.7,-21,-44
M,33.8,1167,-21.2,15.7
M,34.36,1864,-21,24
M,51.29,718.52,-21,26
M,65.70,1113,-21,23
M,68.36,1433,-21,-1
AB,2.83,132,-21,-7
M,86.0,2793,-20.6,-1.3
M,91.1,300,-20.6,-10.8
M,45.70,497,-20,13
AB,3.26,97,-20,-16
AB,3.73,514.17,-20,13
AB,4.37,176,-20,1
AB,5.55,329,-20,22
Z,28,3869,-20,91
Y,112.65,1491,-20,16
Y,117.97,1696,-20,16
Y,98.85,829.34,-19.93,14.04
Y,122.0,396,-19.9,25.2
M,83.6,2532,-19.4,-1.9
M,44.5,1665,-19.2,9.9
AB,6.43,3061,-19,10
M,67.17,1623,-19,18
Z,25.6,6536,-18.8,26.8
Y,99.5,293,-19,12
M,45.5,1094,-18.2,2.6
M,77.7,239,-18.0,16.9
AB,8.78,4514,-18,9
M,51.3,263,-18,14
M,57.3,969.62,-18,24
M,87.06,2594,-18,-1
M,46.98,1051,-17,2
M,33.40,2007,-16,-8
AB,7.39,756,-16,69
M,93.1,1380,-16,2
Y,154.79,2751,-16,8
AB,3.02,101,-15.9,-9.7
M,90.2,304,-16,39
M,90.4,340,-15.7,0.4
Y,123,1024,-15.6,32.2
M,82.85,1877,-15,9
AB,9.01,4286,-15,33
Z,11,6461,-15,65
Y,110,336,-15,34
Y,159,3163,-14.9,63.7
AB,3.42,382,-14,17
M,90.29,516.87,-14,-107
M,67.0,769,-13.9,26.2
AB,6.10,475,-14,32
M,91.9,309,-13.6,-20.3
AB,6.86,1919,-13,3
M,11.12,996.66,-13,-31
M,33.99,2505,-13,40
M,46.4,1651.29,-13,35
M,46.61,3365,-13,18
M,47.08,2392,-13,5
M,59.61,1863.78,-13,28
Y,145,2544,-12.7,55.6
Y,112,2388,-12.5,26.9
M,37.29,513.02,-12,25
M,46.48,994,-12,15
M,46.78,1214,-12,21
M,60.57,3288,-12,22
M,66.52,368.91,-12,16
M,98.1,1423,-12,3
Y,141.2,678,-12,44
M,45.0,2421,-11.7,-11.5
AB,8.89,4303,-12,14
M,16.7,1658,-11.3,-0.1
M,41.35,831,-11,31
M,57.7,244,-11,-14
AB,9.71,1101,-10,3
AB,3.02,116.2,-10.4,11.9
M,52.8,4069,-10,25
Z,57.3,660,-10,31
M,90.0,256,-10,-36
M,94.0,651,-9.4,16.8
Z,65.50,5556,-9.4,35.4
AB,2.98,96,-9,2
AB,3.17,99,-9,-2
AB,3.46,422,-9,4
AB,3.5,423,-9,4
M,52.77,494.54,-9,7
M,64.9,2755,-9,26
M,92.59,270,-9.0,-11.1
Y,112,311,-9,14
AB,6.3,1552,-8,24
M,53.03,1450,-8,26
M,91.7,1463,-8,33
M,54.91,1405,-8,6
